A;SECTION A HUMAN NECESSITIES
A01J0025000000;Cheese-making
A01J0025000000;Cheese-making (coating the cheese A01J0027020000)
A01J0025020000;Cheese basins
A01J0025040000;Devices for cleaning cheese basins
A01J0025060000;Devices for dividing curdled milk
A01J0025080000;Devices for removing cheese from basins
A01J0025100000;Devices for removing whey from basins
A01J0025110000;Separating whey from curds. Washing the curds
A01J0025120000;Forming the cheese
A01J0025130000;Moulds therefor
A01J0025150000;Presses therefor
A01J0025160000;Devices for treating cheese during ripening
A01J0027000000;After-treatment of cheese. Coating the cheese
A01J0027020000;Coating the cheese, e.g. with paraffin wax (applying liquids or other fluent materials to surfaces in general B05)
A01J0027040000;Milling or recasting cheese
A01J0099000000;Subject matter not provided for in other groups of this subclass
A01K;ANIMAL HUSBANDRY. CARE OF BIRDS, FISHES, INSECTS. FISHING. REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR. NEW BREEDS OF ANIMALS
A01K0001000000;Animal husbandry in general, especially cattle-raising
A01K0001000000;Housing animals. Equipment therefor
A01K0001010000;Removal of dung or urine (A01K0001015000 takes precedence)..
A01K0001015000;Floor coverings, e.g. bedding-down sheets
A01K0001020000;Pigsties. Dog-kennels. Rabbit-hutches or the like
A01K0001030000;Housing for domestic or laboratory animals
A01K0001035000;Devices for use in keeping domestic animals, e.g. fittings in housings or dog beds
A01K0001040000;Tethering-poles or the like
A01K0001060000;Devices for fastening animals, e.g. halters, toggles, neck-bars or chain fastenings
A01K0001062000;Neck-bars
A01K0001064000;Chain fastenings
A01K0001080000;Arrangements for simultaneously releasing several animals
A01K0001100000;Feed racks
A01K0001120000;Milking stations
A01K0003000000;Pasturing equipment, e.g. tethering devices. Grids for preventing cattle from straying. Electrified wire fencing (electric circuits or apparatus for supplying electric wire fencing H05C)
A01K0005000000;Feeding devices for stock or game (A01K0001100000 takes precedence.feeding devices for poultry or other birds A01K0039000000)
A01K0005010000;Feed troughs. Feed pails
A01K0005015000;Licking-stone holders
A01K0005020000;Automatic devices
A01K0007000000;Watering equipment for stock or game
A01K0007020000;Automatic devices
A01K0007040000;actuated by float
A01K0007060000;actuated by the animal
A01K0009000000;Sucking apparatus for young stock
A01K0011000000;Marking of animals (marking poultry or other birds A01K0035000000)
A01K0013000000;Devices for grooming or caring of animals, e.g. curry-combs. Fetlock rings. Tail-holders (as part of the harness B68B0005040000). Devices for preventing crib-biting. Washing devices. Protection against weather conditions or insects
A01K0014000000;Removing the fleece from live sheep or similar animals (hand-held clippers or shavers with a plurality of cutting edges, specially adapted for shearing animals, e.g. sheep, B26B0019240000)
A01K0015000000;Devices for taming animals, e.g. nose-rings or hobbles. Devices for overturning animals in general. Training or exercising equipment. Covering boxes
A01K0015020000;Training or exercising equipment, e.g. mazes or labyrinths for animals (A01K0015040000 takes precedence)..
A01K0015040000;Devices for impeding movement. Devices for impeding passage through fencing
A01K0017000000;Dehorners. Horn trainers
A01K0019000000;Weaning apparatus
A01K0021000000;Devices for assisting or preventing mating
A01K0023000000;Manure or urine pouches
A01K0025000000;Muzzles
A01K0027000000;Leads or collars, e.g. for dogs
A01K0029000000;Other apparatus for animal husbandry
A01K0031000000;Aviculture. Testing, cleaning, stamping, or grading eggs
A01K0031000000;Housing birds
A01K0031020000;Door appliances. Automatic door-openers
A01K0031040000;Dropping-boards. Devices for removing excrement
A01K0031060000;Cages
A01K0031070000;Transportable cages (A01K0031080000 takes precedence)..
A01K0031080000;Collapsible cages
A01K0031100000;Doors. Trap-doors
A01K0031120000;Perches
A01K0031140000;Nest-boxes
A01K0031160000;Laying nests for poultry. Egg collecting
A01K0031170000;Laying batteries
A01K0031180000;Chicken coops or houses. Brooders
A01K0031190000;Brooders
A01K0031200000;Heating arrangements
A01K0031220000;Poultry runs
A01K0031240000;Dovecots. Pigeonlofts
A01K0033000000;Nest-eggs
A01K0035000000;Marking poultry or other birds
A01K0037000000;Constraining birds, e.g. wing clamps
A01K0039000000;Feeding or drinking appliances for poultry or other birds
A01K0039010000;Feeding devices (A01K0039040000 takes precedence)..
A01K0039012000;filling automatically
A01K0039014000;Feed troughs. Feed throwers
A01K0039020000;Drinking appliances (A01K0039040000 takes precedence)..
A01K0039022000;with weight-controlled supply
A01K0039024000;with float-controlled supply
A01K0039026000;kept filled to constant level from incorporated storage
A01K0039040000;Combined feeding and drinking appliances
A01K0039060000;Cramming appliances
A01K0041000000;Incubators for poultry
A01K0041020000;Heating arrangements
A01K0041040000;Controlling humidity in incubators
A01K0041060000;Egg-turning appliances for incubators
A01K0043000000;Testing, sorting, or cleaning eggs (investigating or analysing eggs, e.g. by candling, G01N0033080000)
A01K0043040000;Grading eggs
A01K0043060000;according to size
A01K0043080000;according to weight
A01K0043100000;Grading and stamping
A01K0045000000;Other aviculture appliances, e.g. devices for determining whether a bird is about to lay
A01K0047000000;Apiculture
A01K0047000000;Beehives
A01K0047020000;Construction or arrangement of frames for honeycombs
A01K0047040000;Artificial honeycombs
A01K0047060000;Other details of beehives, e.g. ventilating devices, entrances to hives, guards, partitions or bee escapes
A01K0049000000;Rearing-boxes. Queen transporting or introducing cages
A01K0051000000;Appliances for treating beehives or parts thereof, e.g. for cleaning or disinfecting
A01K0053000000;Feeding or drinking appliances for bees
A01K0055000000;Bee-smokers. Bee-keepers' accessories, e.g. veils
A01K0057000000;Appliances for providing, preventing, or catching swarms. Drone-catching devices
A01K0059000000;Honey collection
A01K0059020000;Devices for uncapping honeycombs
A01K0059040000;Honey strainers
A01K0059060000;Devices for extracting wax
A01K0061000000;Pisciculture. Aquaria. Terraria
A01K0061000000;Culture of fish, mussels, crayfish, lobsters, sponges, pearls or the like
A01K0061020000;Feeding devices for fish
A01K0063000000;Receptacles for live fish, e.g. aquaria (keepnets or other containers for keeping captured fish A01K0097200000). Terraria
A01K0063020000;Receptacles specially adapted for transporting live fish
A01K0063040000;Arrangements for treating water specially adapted to receptacles for live fish
A01K0063060000;Arrangements for heating or lighting in, or attached to, receptacles for live fish
A01K0065000000;Fish stringers
A01K0067000000;Rearing or breeding animals, not otherwise provided for. New breeds of animals
A01K0067020000;Breeding vertebrates
A01K0067027000;New breeds of vertebrates
A01K0067033000;Rearing or breeding invertebrates. New breeds of invertebrates
A01K0067040000;Silkworms
A01K0069000000;Fishing
A01K0069000000;Stationary catching devices for fishing
A01K0069020000;Fixed nets without traps
A01K0069040000;Fixed nets with traps
A01K0069060000;Traps
A01K0069080000;Rigid traps, e.g. lobster pots
A01K0069100000;Collapsible traps
A01K0071000000;Floating fishing nets
A01K0073000000;Drawn fishing nets
A01K0073020000;Trawling nets
A01K0073040000;Devices for spreading or positioning, e.g. control thereof
A01K0073045000;for lateral sheering, e.g. trawl boards
A01K0073050000;for vertical sheering
A01K0073053000;Ground-line rollers
A01K0073060000;Hauling devices for the headlines
A01K0073100000;Determining the quantity of the catch, e.g. by the pull or drag on the lines
A01K0073120000;Nets held vertically in the water, e.g. seines
A01K0074000000;Other catching nets or the like for fishing
A01K0075000000;Accessories for fishing nets. Details of fishing nets, e.g. structure
A01K0075020000;Illuminating devices for nets
A01K0075040000;Floats
A01K0075060000;Sinkers
A01K0077000000;Landing-nets for fishing. Landing-spoons for fishing
A01K0079000000;Methods or means of catching fish in bulk not provided for in groups . A01K0069000000-A01K0077000000
A01K0079020000;by electrocution
A01K0080000000;Harvesting oysters, mussels, sponges or the like
A01K0081000000;Fishing with projectiles (weapons, projectiles other than fish-spears F41, F42)
A01K0081040000;Fish-spears
A01K0081060000;Equipment for hunting fish under water (swimming equipment A63B0031000000-A63B0035000000)
A01K0083000000;Angling
A01K0083000000;Fish-hooks
A01K0083020000;Expanding fish-hook assembly
A01K0083040000;with special gripping arms
A01K0083060000;Devices for holding bait on hooks
A01K0085000000;Artificial bait for fishing
A01K0085010000;with light emission, sound emission, scent dispersal or the like
A01K0085020000;with means for concealing or protecting hooks, e.g. to prevent entanglement with weeds
A01K0085080000;Artificial flies
A01K0085100000;with at least one flat rotating body having its axis of rotation substantially non-coincident with the longitudinal axis of the body
A01K0085120000;comprising a body rotating around its longitudinal axis, e.g. devons
A01K0085140000;with flat, or substantially flat, undulating bodies, e.g. spoons
A01K0085160000;with other than flat, or substantially flat, undulating bodies, e.g. plugs
A01K0085180000;in two or more pieces
A01K0087000000;Fishing rods
A01K0087020000;Connecting devices for parts of the rods
A01K0087040000;Fishing-line guides on rods
A01K0087060000;Devices for fixing reels on rods
A01K0087080000;Handgrips
A01K0089000000;Fishing reels
A01K0089010000;with pick-up, i.e. with the guiding member rotating and the spool being stationary during normal retrieval of the line (A01K0089027000 takes precedence)..
A01K0089012000;motor-driven
A01K0089015000;with rotary drum (A01K0089033000 takes precedence)..
A01K0089015500;Antibacklash devices
A01K0089016000;Fly reels
A01K0089016500;for trolling
A01K0089017000;motor-driven
A01K0089020000;Brake devices for reels
A01K0089027000;with pick-up
A01K0089033000;with rotary drum
A01K0089060000;Reversible reels
A01K0089080000;Pole-less fishing apparatus, i.e. hand-held reels
A01K0091000000;Fishing lines
A01K0091020000;Devices for casting lines
A01K0091030000;Connecting devices (devices for fixing on or removing sinkers from lines A01K0095020000)
A01K0091040000;for connecting lines to hooks or lures
A01K0091047000;for connecting lines to lines
A01K0091053000;Fishing booms, i.e. connecting devices spreading out the leaders, e.g. to avoid tangling thereof
A01K0091060000;Apparatus on lines not otherwise provided for, e.g. automatic hookers
A01K0091080000;Trolling devices
A01K0091100000;for automatic hook setting
A01K0091120000;Fly lines
A01K0091140000;Leaders
A01K0091160000;for fly fishing
A01K0091180000;Trotlines, longlines. Accessories therefor, e.g. baiting devices, lifters or setting reelers
A01K0091200000;Line length or depth measuring devices
A01K0093000000;Floats for angling, with or without signalling devices
A01K0093020000;with signalling devices
A01K0095000000;Sinkers for angling
A01K0095020000;Devices for fixing on or removing sinkers from lines
A01K0097000000;Accessories for angling (fish stringers A01K0065000000. landing-nets or landing-spoons forfishingA01K0077000000)
A01K0097010000;for ice-fishing
A01K0097020000;Devices for laying ground-bait, e.g. chum dispensers
A01K0097040000;Containers for bait. Preparation of bait
A01K0097050000;Containers for live bait kept in water, e.g. for minnows or shrimps
A01K0097060000;Containers or holders for hooks, lines, sinkers, flies or the like
A01K0097080000;Containers for rods
A01K0097100000;Supports for rods
A01K0097110000;with automatic hooking devices
A01K0097120000;Signalling devices, e.g. tip-up devices (A01K0091060000 takes precedence)..
A01K0097140000;Gaffs
A01K0097160000;Devices for drying fishing lines
A01K0097180000;for removing fish-hooks from the fish
A01K0097200000;Keepnets or other containers for keeping captured fish (A01K0097050000 takes precedence)..
A01K0097220000;Platforms or seat-boxes specially adapted for angling, e.g. tackle boxes for use as seats
A01K0097240000;Arrangements for disengaging fish-hooks from obstacles
A01K0097260000;Fly tying devices
A01K0097280000;Vices specially adapted therefor
A01K0099000000;Methods or apparatus for fishing not provided for in groups . A01K0069000000-A01K0097000000
A01L;SHOEING OF ANIMALS
A01L0001000000;Shoes for horses or other solipeds fastened with nails (A01L0003000000 takes precedence)..
A01L0001020000;Solid horseshoes consisting of one part
A01L0001040000;Solid horseshoes consisting of multiple parts
A01L0003000000;Horseshoes fastened by means other than nails, with or without additional fastening by nailing
A01L0003020000;Horseshoes consisting of one part
A01L0003040000;Horseshoes consisting of two or more parts connected by hinged joints
A01L0003060000;Shoe-like appliances enabling draught animals to walk on bogs or the like
A01L0005000000;Horseshoes made of elastic materials
A01L0007000000;Accessories for shoeing animals
A01L0007020000;Elastic inserts or soles for horseshoes
A01L0007040000;Solid calks or studs
A01L0007060000;Elastic calks or studs
A01L0007080000;Ice-spurs for horseshoes
A01L0007100000;Horseshoe nails
A01L0009000000;Shoes for other animals, e.g. oxen
A01L0011000000;Farriers' tools or appliances (making horseshoes by rolling B21H0007120000, by forging B21K0015020000)
A01L0013000000;Pens for animals while being shod
A01L0015000000;Apparatus or use of substances for the care of hoofs
A01M;CATCHING, TRAPPING OR SCARING OF ANIMALS (appliances for catching swarms or drone-catching A01K0057000000. fishing A01K0069000000-A01K0097000000.  biocides, pest repellants or attractants A01N). APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS
A01M0001000000;Stationary means for catching or killing insects
A01M0001020000;with devices attracting the insects
A01M0001040000;using illumination
A01M0001060000;using a suction effect
A01M0001080000;using combined illumination and suction effects
A01M0001100000;Traps
A01M0001120000;automatically reset
A01M0001140000;Catching by adhesive surfaces
A01M0001160000;Fly papers or ribbons
A01M0001180000;Adhesive bands or coatings for trees
A01M0001200000;Poisoning, narcotising, or burning insects
A01M0001220000;by electric means (electric circuits therefor H05C)
A01M0001240000;Arrangements connected with buildings, doors, windows, or the like
A01M0003000000;Manual implements, other than sprayers or powder distributors, for catching or killing insects, e.g. butterfly nets
A01M0003020000;Fly-swatters
A01M0003040000;with adhesive surfaces
A01M0005000000;Catching insects in fields, gardens, or forests by movable appliances
A01M0005020000;Portable appliances
A01M0005040000;Wheeled machines, with means for stripping-off or brushing-off insects
A01M0005060000;with adhesive surfaces
A01M0005080000;with fans
A01M0007000000;Special adaptations or arrangements of liquid-spraying apparatus for purposes covered by this subclass
A01M0009000000;Special adaptations or arrangements of powder-spraying apparatus for purposes covered by this subclass
A01M0011000000;Special adaptations or arrangements of combined liquid- and powder-spraying apparatus for purposes covered by this subclass
A01M0013000000;Fumigators. Apparatus for distributing gases
A01M0015000000;Flame-throwers specially adapted for purposes covered by this subclass
A01M0017000000;Apparatus for the destruction of vermin in soil or in foodstuffs
A01M0019000000;Apparatus for the destruction of noxious animals, other than insects, by hot water, steam, hot air, or electricity (electric circuits therefor H05C)
A01M0021000000;Apparatus for the destruction of unwanted vegetation, e.g. weeds (control of undesirable vegetation on roads or permanent ways of railways E01H0011000000)
A01M0021020000;Apparatus for mechanical destruction
A01M0021040000;Apparatus for destruction by steam, chemicals, burning, or electricity
A01M0023000000;Traps for animals
A01M0023020000;Collecting-traps
A01M0023040000;with tipping platforms
A01M0023060000;with locking mechanism for the tipping platform
A01M0023080000;with approaches permitting entry only
A01M0023100000;with rotating cylinders or turnstiles
A01M0023120000;with devices for throwing the animal to a collecting chamber
A01M0023140000;Other traps automatically reset
A01M0023160000;Box traps
A01M0023180000;with pivoted closure flaps
A01M0023200000;with dropping doors or slides
A01M0023220000;with dropping covers
A01M0023240000;Jaw or like spring traps
A01M0023260000;of the double-jaw or pincer type
A01M0023280000;Jaw trap setting-devices
A01M0023300000;Break-back traps
A01M0023320000;Racket net traps
A01M0023340000;with snares
A01M0023360000;with arrangements for piercing the victim
A01M0023380000;Electric traps
A01M0025000000;Devices for dispensing poison for animals (A01M0027000000 takes precedence.for insects A01M0001200000)
A01M0027000000;Apparatus having projectiles or killing implements projected to kill the animal, e.g. pierce or shoot, and triggered thereby
A01M0029000000;Scaring or repelling devices, e.g. bird-scaring apparatus
A01M0029060000;using visual means, e.g. scarecrows, moving elements, specific shapes, patterns or the like
A01M0029080000;using reflection, colours or films with specific transparency or reflectivity
A01M0029100000;using light sources, e.g. lasers or flashing lights
A01M0029120000;using odoriferous substances, e.g. aromas, pheromones or chemical agents
A01M0029140000;using thermal effects
A01M0029160000;using sound waves
A01M0029180000;using ultrasonic signals
A01M0029200000;with generation of periodically explosive reports
A01M0029220000;using vibrations (A01M0029160000 takes precedence)..
A01M0029240000;using electric or magnetic effects, e.g. electric shocks, magnetic fields or microwaves
A01M0029260000;specially adapted for birds, e.g. electrified rods, cords or strips
A01M0029280000;specially adapted for insects
A01M0029300000;preventing or obstructing access or passage, e.g. by means of barriers, spikes, cords, obstacles or sprinkled water
A01M0029320000;specially adapted for birds, e.g. spikes
A01M0029340000;specially adapted for insects
A01M0031000000;Hunting appliances
A01M0031020000;Shooting stands
A01M0031040000;Beater rattles
A01M0031060000;Decoys
A01M0099000000;Subject matter not provided for in other groups of this subclass
A01N;PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF (preservation of food or foodstuff A23). BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES (preparations for medical, dental or toilet purposes which kill or prevent the growth or proliferation of unwanted organisms A61K). PEST REPELLANTS OR ATTRACTANTS. PLANT GROWTH REGULATORS (mixtures of pesticides with fertilisers C05G)
A01N0001000000;Preservation of bodies of humans or animals, or plants, or parts thereof
A01N0001000000;Preservation of bodies of humans or animals, or parts thereof
A01N0001020000;Preservation of living parts
A01N0003000000;Preservation of plants or parts thereof, e.g. inhibiting evaporation, improvement of the appearance of leaves (preservation or chemical ripening of harvested fruit or vegetables A23B0007000000). Grafting wax
A01N0003020000;Keeping cut flowers fresh chemically (apparatus therefor A01G0005060000)
A01N0003040000;Grafting wax
A01N0025000000;Biocides. Pest repellants or attractants. Plant growth regulators
A01N0025000000;Biocides, pest repellants or attractants, or plant growth regulators, characterised by their forms, or by their non-active ingredients or by their methods of application (fungicidal, bactericidal, insecticidal, disinfecting or antiseptic paper D21H). Substances for reducing the noxious effect of the active ingredients to organisms other than pests
A01N0025020000;containing liquids as carriers, diluents or solvents
A01N0025040000;Dispersions or gels (foams A01N0025160000)
A01N0025060000;Aerosols
A01N0025080000;containing solids as carriers or diluents
A01N0025100000;Macromolecular compounds
A01N0025120000;Powders or granules (A01N0025260000 takes precedence)..
A01N0025140000;wettable
A01N0025160000;Foams
A01N0025180000;Vapour or smoke emitting compositions with delayed or sustained release
A01N0025200000;Combustible or heat-generating compositions
A01N0025220000;containing ingredients stabilising the active ingredients
A01N0025240000;containing ingredients to enhance the sticking of the active ingredients
A01N0025260000;in coated particulate form
A01N0025280000;Microcapsules
A01N0025300000;characterised by the surfactants
A01N0025320000;Ingredients for reducing the noxious effect of the active substances to organisms other than pests, e.g. toxicity reducing compositions, self-destructing compositions
A01N0025340000;Shaped forms, e.g. sheets, not provided for in any other group of this main group
A01N0027000000;Biocides, pest repellants or attractants, or plant growth regulators containing hydrocarbons
A01N0029000000;Biocides, pest repellants or attractants, or plant growth regulators containing halogenated hydrocarbons
A01N0029020000;Acyclic compounds or compounds containing halogen attached to an aliphatic side chain of a cycloaliphatic ring system
A01N0029040000;Halogen directly attached to a carbocyclic ring system
A01N0029060000;Hexachlorocyclohexane
A01N0029080000;Halogen directly attached to a polycyclic ring system
A01N0029100000;Halogen attached to an aliphatic side chain of an aromatic ring system
A01N0029120000;1,1-Di- or 1,1,1-tri-halo-2-aryl-ethane or -ethene or derivatives thereof, e.g. DDT
A01N0031000000;Biocides, pest repellants or attractants, or plant growth regulators containing organic oxygen or sulfur compounds
A01N0031020000;Acyclic compounds
A01N0031040000;Oxygen or sulfur attached to an aliphatic side chain of a carbocyclic ring system
A01N0031060000;Oxygen or sulfur directly attached to a cycloaliphatic ring system
A01N0031080000;Oxygen or sulfur directly attached to an aromatic ring system
A01N0031100000;Pentachlorophenol
A01N0031120000;Bis-chlorophenols
A01N0031140000;Ethers
A01N0031160000;with two or more oxygen or sulfur atoms directly attached to the same aromatic ring system
A01N0033000000;Biocides, pest repellants or attractants, or plant growth regulators containing organic nitrogen compounds
A01N0033020000;Amines. Quaternary ammonium compounds
A01N0033040000;Nitrogen directly attached to aliphatic or cycloaliphatic carbon atoms
A01N0033060000;Nitrogen directly attached to an aromatic ring system
A01N0033080000;containing oxygen or sulfur
A01N0033100000;having at least one oxygen or sulfur atom directly attached to an aromatic ring system
A01N0033120000;Quaternary ammonium compounds
A01N0033140000;containing nitrogen-to-halogen bonds
A01N0033160000;containing nitrogen-to-oxygen bonds
A01N0033180000;Nitro compounds
A01N0033200000;containing oxygen or sulfur attached to the carbon skeleton containing the nitro group
A01N0033220000;having at least one oxygen or sulfur atom and at least one nitro group directly attached to the same aromatic ring system
A01N0033240000;only one oxygen atom attached to the nitrogen atom
A01N0033260000;containing nitrogen-to-nitrogen bonds, e.g. azides, diazo-amino compounds, diazonium compounds, hydrazine derivatives
A01N0035000000;Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having two bonds to hetero atoms with at the most one bond to halogen, e.g. aldehyde radical
A01N0035020000;containing aliphatically bound aldehyde or keto groups, or thio-analogues thereof. Derivatives thereof, e.g. acetals
A01N0035040000;containing aldehyde or keto groups, or thio-analogues thereof, directly attached to an aromatic ring system, e.g. acetophenone. Derivatives thereof, e.g. acetals
A01N0035060000;containing keto or thioketo groups as part of a ring, e.g. cyclohexanone, quinone. Derivatives thereof, e.g. ketals
A01N0035080000;at least one of the bonds to hetero atoms is to nitrogen
A01N0035100000;containing a carbon-to-nitrogen double bond
A01N0037000000;Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a carbon atom having three bonds to hetero atoms with at the most two bonds to halogen, e.g. carboxylic acids (containing cyclopropane carboxylic acids or derivatives thereof, e.g. cyclopropane carboxylic acid nitriles, A01N0053000000)
A01N0037020000;Saturated carboxylic acids or thio-analogues thereof. Derivatives thereof
A01N0037040000;polybasic
A01N0037060000;Unsaturated carboxylic acids or thio-analogues thereof. Derivatives thereof
A01N0037080000;containing carboxylic groups or thio-analogues thereof, directly attached by the carbon atom to a cycloaliphatic ring. Derivatives thereof
A01N0037100000;Aromatic or araliphatic carboxylic acids, or thio-analogues thereof. Derivatives thereof
A01N0037120000;containing the group , wherein Cn means a carbon skeleton not containing a ringThio-analogues thereof
A01N0037140000;containing the group . Thio-analogues thereof
A01N0037160000;containing the group . Thio-analogues thereof
A01N0037180000;containing the group . CON, e.g. carboxylic acid amides or imidesThio-analogues thereof
A01N0037200000;containing the group , wherein Cn means a carbon skeleton not containing a ringThio-analogues thereof
A01N0037220000;the nitrogen atom being directly attached to an aromatic ring system, e.g. anilides
A01N0037240000;containing at least one oxygen or sulfur atom being directly attached to the same aromatic ring system
A01N0037260000;containing the group . Thio-analogues thereof
A01N0037280000;containing the group . Thio-analogues thereof
A01N0037300000;containing the groups . CON and  both being directly attached by their carbon atoms to the same carbon skeleton, e.g. H2NNHCOC6H4COOCH3Thio-analogues thereof
A01N0037320000;Cyclic imides of polybasic carboxylic acids or thio-analogues thereof
A01N0037340000;Nitriles
A01N0037360000;containing at least one carboxylic group or a thio-analogue, or a derivative thereof, and a singly bound oxygen or sulfur atom attached to the same carbon skeleton, this oxygen or sulfur atom not being a member of a carboxylic group or of a thio-analogue, or of a derivative thereof, e.g. hydroxy-carboxylic acids
A01N0037380000;having at least one oxygen or sulfur atom attached to an aromatic ring system
A01N0037400000;having at least one carboxylic group or a thio-analogue, or a derivative thereof, and one oxygen or sulfur atom attached to the same aromatic ring system
A01N0037420000;containing within the same carbon skeleton a carboxylic group or a thio-analogue, or a derivative thereof, and a carbon atom having only two bonds to hetero atoms with at the most one bond to halogen, e.g. keto-carboxylic acids
A01N0037440000;containing at least one carboxylic group or a thio-analogue, or a derivative thereof, and a nitrogen atom attached to the same carbon skeleton by a single or double bond, this nitrogen atom not being a member of a derivative or of a thio-analogue of a carboxylic group, e.g. amino-carboxylic acids
A01N0037460000;N-acyl derivatives
A01N0037480000;Nitro-carboxylic acids. Derivatives thereof
A01N0037500000;the nitrogen atom being doubly bound to the carbon skeleton
A01N0037520000;containing groups, e.g. carboxylic acid amidines
A01N0039000000;Biocides, pest repellants or attractants, or plant growth regulators containing aryloxy- or arylthio-aliphatic or cycloaliphatic compounds, containing the group or , e.g. phenoxyethylamine, phenylthio-acetonitrile, phenoxyacetone
A01N0039020000;Aryloxy-carboxylic acids. Derivatives thereof
A01N0039040000;Aryloxy-acetic acids. Derivatives thereof
A01N0041000000;Biocides, pest repellants or attractants, or plant growth regulators containing organic compounds containing a sulfur atom bound to a hetero atom
A01N0041020000;containing a sulfur-to-oxygen double bond
A01N0041040000;Sulfonic acids. Derivatives thereof
A01N0041060000;Sulfonic acid amides
A01N0041080000;Sulfonic acid halides. alpha-Hydroxy-sulfonic acids. Amino-sulfonic acids. Thiosulfonic acids. Derivatives thereof
A01N0041100000;Sulfones. Sulfoxides
A01N0041120000;not containing sulfur-to-oxygen bonds, e.g. polysulfides
A01N0043000000;Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds (containing cyclic anhydrides, cyclic imides A01N0037000000. containing compounds of the formula , containing only one heterocyclic ring, wherein m1 and n0 and  is unsubstituted or alkylsubstituted pyrrolidine, piperidine, morpholine, thiomorpholine, piperazine or a polymethyleneimine with four or more CH2 groups A01N0033000000-A01N0041120000. containing cyclopropane carboxylic acids or derivatives thereof, e.g. esters having heterocyclic rings, A01N0053000000)
A01N0043020000;having rings with one or more oxygen or sulfur atoms as the only ring hetero atom
A01N0043040000;with one hetero atom
A01N0043060000;five-membered rings
A01N0043080000;with oxygen as the ring hetero atom
A01N0043100000;with sulfur as the ring hetero atom
A01N0043120000;condensed with a carbocyclic ring
A01N0043140000;six-membered rings
A01N0043160000;with oxygen as the ring hetero atom
A01N0043180000;with sulfur as the ring hetero atom
A01N0043200000;three- or four-membered rings
A01N0043220000;rings with more than six members
A01N0043240000;with two or more hetero atoms
A01N0043260000;five-membered rings
A01N0043280000;with two hetero atoms in positions 1,3
A01N0043300000;with two oxygen atoms in positions 1,3, condensed with a carbocyclic ring
A01N0043320000;six-membered rings
A01N0043340000;having rings with one nitrogen atom as the only ring hetero atom
A01N0043360000;five-membered rings
A01N0043380000;condensed with carbocyclic rings
A01N0043400000;six-membered rings
A01N0043420000;condensed with carbocyclic rings
A01N0043440000;three- or four-membered rings
A01N0043460000;rings with more than six members
A01N0043480000;having rings with two nitrogen atoms as the only ring hetero atoms
A01N0043500000;1,3-Diazoles. Hydrogenated 1,3-diazoles
A01N0043520000;condensed with carbocyclic rings, e.g. benzimidazoles
A01N0043540000;1,3-Diazines. Hydrogenated 1,3-diazines
A01N0043560000;1,2-Diazoles. Hydrogenated 1,2-diazoles
A01N0043580000;1,2-Diazines. Hydrogenated 1,2-diazines
A01N0043600000;1,4-Diazines. Hydrogenated 1,4-diazines
A01N0043620000;three- or four-membered rings or rings with more than six members
A01N0043640000;having rings with three nitrogen atoms as the only ring hetero atoms
A01N0043647000;Triazoles. Hydrogenated triazoles
A01N0043653000;1,2,4-Triazoles. Hydrogenated 1,2,4-triazoles
A01N0043660000;1,3,5-Triazines, not hydrogenated and not substituted at the ring nitrogen atoms
A01N0043680000;with two or three nitrogen atoms directly attached to ring carbon atoms
A01N0043700000;Diamino-1,3,5-triazines with only one oxygen, sulfur or halogen atom or only one cyano, thiocyano (. SCN), cyanato (OCN) or azido (N3) group directly attached to a ring carbon atom
A01N0043707000;1,2,3- or 1,2,4-Triazines. Hydrogenated 1,2,3- or 1,2,4-triazines
A01N0043713000;having rings with four or more nitrogen atoms as the only ring hetero atoms
A01N0043720000;having rings with nitrogen atoms and oxygen or sulfur atoms, as ring hetero atoms
A01N0043740000;five-membered rings with one nitrogen atom and either one oxygen atom or one sulfur atom in positions 1,3
A01N0043760000;1,3-Oxazoles. Hydrogenated 1,3-oxazoles
A01N0043780000;1,3-Thiazoles. Hydrogenated 1,3-thiazoles
A01N0043800000;five-membered rings with one nitrogen atom and either one oxygen atom or one sulfur atom in positions 1,2
A01N0043820000;five-membered rings with three hetero atoms
A01N0043824000;1,3,4-Oxa(thia)diazoles. Hydrogenated 1,3,4-oxa(thia)diazoles
A01N0043828000;1,2,3-Oxa(thia)diazoles. Hydrogenated 1,2,3-oxa(thia)diazoles
A01N0043832000;1,2,5-Oxa(thia)diazoles. Hydrogenated 1,2,5-oxa(thia)diazoles
A01N0043836000;1,2,4-Oxa(thia)diazoles. Hydrogenated 1,2,4-oxa(thia)diazoles
A01N0043840000;six-membered rings with one nitrogen atom and either one oxygen atom or one sulfur atom in positions 1,4
A01N0043860000;six-membered rings with one nitrogen atom and either one oxygen atom or one sulfur atom in positions 1,3
A01N0043880000;six-membered rings with three ring hetero atoms
