D;SECTION D TEXTILESPAPER
D06M0015055000;with the residual liquors derived of the sulfatic process for the preparation of cellulose
D06M0015070000;Cellulose esters
D06M0015090000;Cellulose ethers
D06M0015110000;Starch or derivatives thereof
D06M0015130000;Alginic acid or derivatives thereof
D06M0015150000;Proteins or derivatives thereof
D06M0015170000;Natural resins, resinous alcohols, resinous acids, or derivatives thereof
D06M0015190000;with synthetic macromolecular compounds (with synthetic rubber D06M0015693000)
D06M0015210000;Macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds
D06M0015227000;of hydrocarbons, or reaction products thereof, e.g. afterhalogenated or sulfochlorinated
D06M0015233000;aromatic, e.g. styrene
D06M0015244000;of halogenated hydrocarbons (afterhalogenated hydrocarbons D06M0015227000)
D06M0015248000;containing chlorine
D06M0015252000;containing bromine
D06M0015256000;containing fluorine
D06M0015263000;of unsaturated carboxylic acids. Salts or esters thereof
D06M0015267000;of unsaturated carboxylic esters having amino or quaternary ammonium groups
D06M0015270000;of alkylpolyalkylene glycol esters of unsaturated carboxylic acids
D06M0015273000;of unsaturated carboxylic esters having epoxy groups
D06M0015277000;containing fluorine
D06M0015285000;of unsaturated carboxylic acid amides or imides
D06M0015290000;containing a N-methylol group or an etherified N-methylol group. containing a N-aminomethylene group. containing a N-sulfido-methylene group
D06M0015295000;containing fluorine
D06M0015310000;of unsaturated nitriles
D06M0015327000;of unsaturated alcohols or esters thereof
D06M0015330000;Esters containing fluorine
D06M0015333000;of vinyl acetate. Polyvinylalcohol
D06M0015347000;of unsaturated ethers, acetals, hemiacetals, ketones or aldehydes
D06M0015353000;containing fluorine
D06M0015356000;of other unsaturated compounds containing nitrogen, sulfur, silicon or phosphorus atoms
D06M0015370000;Macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D06M0015390000;Aldehyde resins. Ketone resins. Polyacetals
D06M0015410000;Phenol-aldehyde or phenol-ketone resins
D06M0015415000;modified by compounds containing phosphorus
D06M0015423000;Amino-aldehyde resins
D06M0015427000;modified by alkoxylated compounds or alkylene oxides
D06M0015429000;modified by compounds containing sulfur
D06M0015430000;modified by phosphorus compounds
D06M0015431000;by phosphines or phosphine oxides. by oxides or salts of the phosphonium radical
D06M0015432000;by phosphonic acids or derivatives thereof
D06M0015433000;by phosphoric acids
D06M0015437000;containing fluorine
D06M0015450000;Use of special catalysts
D06M0015507000;Polyesters
D06M0015510000;Unsaturated polymerisable polyesters
D06M0015513000;Polycarbonates
D06M0015530000;Polyethers (polyacetals D06M0015390000)
D06M0015550000;Epoxy resins
D06M0015555000;modified by compounds containing phosphorus
D06M0015564000;Polyureas, polyurethanes or other polymers having ureide or urethane links. Precondensation products forming them
D06M0015568000;Reaction products of isocyanates with polyethers
D06M0015572000;Reaction products of isocyanates with polyesters or polyesteramides
D06M0015576000;containing fluorine
D06M0015579000;modified by compounds containing phosphorus
D06M0015590000;Polyamides. Polyimides
D06M0015592000;made of polymerised unsaturated fatty acids and polyamines
D06M0015595000;Derivatives obtained by substitution of a hydrogen atom of the carboxamide radical
D06M0015598000;modified by compounds containing phosphorus
D06M0015610000;Polyamines
D06M0015630000;containing sulfur in the main chain, e.g. polysulfones
D06M0015643000;containing silicon in the main chain
D06M0015647000;containing polyether sequences
D06M0015650000;containing epoxy groups
D06M0015653000;modified by isocyanate compounds
D06M0015657000;containing fluorine
D06M0015667000;containing phosphorus in the main chain
D06M0015673000;containing phosphorus and nitrogen in the main chain
D06M0015687000;containing atoms other than phosphorus, silicon, sulfur, nitrogen, oxygen or carbon in the main chain
D06M0015693000;with natural or synthetic rubber, or derivatives thereof
D06M0015700000;combined with mechanical treatment (decorating textiles D06Q)
D06M0015705000;Embossing. Calendering. Pressing (moulding D06M0023140000)
D06M0015710000;Cooling. Steaming or heating, e.g. in fluidised beds. with molten metals
D06M0015715000;Suction. Vacuum treatment. Degassing. Blowing
D06M0016000000;Biochemical treatment of fibres, threads, yarns, fabrics or fibrous goods made from such materials, e.g. enzymatic
D06M0017000000;Producing multi-layer textile fabrics
D06M0017020000;by applying cellulose derivatives as adhesives
D06M0017040000;by applying synthetic resins as adhesives
D06M0017060000;Polymers of vinyl compounds
D06M0017080000;Polyamides
D06M0017100000;Polyurethanes
D06M0019000000;Treatment of feathers
D06M0023000000;Treatment of fibres, threads, yarns, fabrics or fibrous goods made from such materials, characterised by the process
D06M0023020000;Processes in which the treating agent is releasably affixed or incorporated into a dispensing means
D06M0023040000;Processes in which the treating agent is applied in the form of a foam
D06M0023060000;Processes in which the treating agent is dispersed in a gas, e.g. aerosols
D06M0023080000;Processes in which the treating agent is applied in powder or granular form (adhesives for multi-layer textile fabrics D06M0017000000. decorating textiles D06Q)
D06M0023100000;Processes in which the treating agent is dissolved or dispersed in organic solvents. Processes for the recovery of organic solvents thereof
D06M0023120000;Processes in which the treating agent is incorporated in microcapsules
D06M0023140000;Processes for the fixation or treatment of textile materials in three-dimensional forms
D06M0023160000;Processes for the non-uniform application of treating agents, e.g. one-sided treatment. Differential treatment (decorating textiles D06Q)
D06M0023180000;for the chemical treatment of borders of fabrics or knittings. for the thermal or chemical fixation of cuttings, seams or fibre ends
D06M0101000000;Indexing scheme, associated with groups D06M0011000000, D06M0013000000, D06M0015000000, D06M0016000000 and D06M0023000000, relating to the fibres to be treated.
D06M0101000000;Chemical constitution of the fibres, threads, yarns, fabrics or fibrous goods made from such materials, to be treated
D06M0101020000;Natural fibres, other than mineral fibres
D06M0101040000;Vegetal fibres
D06M0101060000;cellulosic
D06M0101080000;Esters or ethers of cellulose
D06M0101100000;Animal fibres
D06M0101120000;Keratin fibres or silk
D06M0101140000;Collagen fibres
D06M0101160000;Synthetic fibres, other than mineral fibres
D06M0101180000;Synthetic fibres consisting of macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds
D06M0101200000;Polyalkenes, polymers or copolymers of compounds with alkenyl groups bonded to aromatic groups
D06M0101220000;Polymers or copolymers of halogenated mono-olefins
D06M0101240000;Polymers or copolymers of alkenylalcohols or esters thereofPolymers or copolymers of alkenylethers, acetals or ketones
D06M0101260000;Polymers or copolymers of unsaturated carboxylic acids or derivatives thereof
D06M0101280000;AcrylonitrileMethacrylonitrile
D06M0101300000;Synthetic polymers consisting of macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D06M0101320000;Polyesters
D06M0101340000;Polyamides
D06M0101360000;Aromatic polyamides
D06M0101380000;Polyurethanes
D06M0101400000;Fibres of carbon
D06N;WALL, FLOOR, OR LIKE COVERING MATERIALS, e.g. LINOLEUM, OILCLOTH, ARTIFICIAL LEATHER, ROOFING FELT, CONSISTING OF A FIBROUS WEB COATED WITH A LAYER OF MACROMOLECULAR MATERIAL (paper-based or board-based structures for surface covering D21H0027180000). FLEXIBLE SHEET MATERIAL NOT OTHERWISE PROVIDED FOR
D06N0001000000;Linoleum
D06N0003000000;Artificial leather, oilcloth, or like material obtained by covering fibrous webs with macromolecular material, e.g. resins, rubber or derivatives thereof
D06N0003020000;with cellulose derivatives
D06N0003040000;with macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds
D06N0003060000;with polyvinyl chloride or its copolymerisation products
D06N0003080000;with a finishing layer consisting of polyacrylates, polyamides, or polyurethanes
D06N0003100000;with styrene-butadiene copolymerisation products
D06N0003120000;with macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
D06N0003140000;with polyurethanes
D06N0003160000;with oil varnishes
D06N0003180000;with two layers of different macromolecular materials (D06N0003080000 takes precedence)..
D06N0005000000;Roofing felt, i.e. fibrous webs coated with bitumen
D06N0007000000;Flexible sheet materials not otherwise provided for, e.g. textile threads, filaments, yarns or tow, glued on macromolecular material
D06N0007020000;composed of mixtures of substances
D06N0007040000;characterised by their surface properties
D06N0007060000;impregnated
D06P;DYEING OR PRINTING TEXTILES. DYEING LEATHER, FURS OR SOLID MACROMOLECULAR SUBSTANCES IN ANY FORM (for mechanical matters D06B, D06C. surface treatment of fibres or filaments from glass, minerals or slags C03C0025000000)
D06P0001000000;General processes of dyeing or printing textiles or general processes of dyeing leather, furs or solid macromolecular substances in any form, classified according to the dyes, pigments or auxiliary substances employed
D06P0001020000;using azo dyes (D06P0001180000, D06P0001380000, D06P0001390000, D06P0001410000 take precedence)..
D06P0001040000;not containing metal
D06P0001060000;containing acid groups
D06P0001080000;cationic azo dyes
D06P0001100000;containing metal
D06P0001120000;prepared . in situ
D06P0001130000;using azomethine dyes
D06P0001140000;using phthalocyanine dyes without vatting (D06P0001380000, D06P0001400000 take precedence)..
D06P0001160000;using dispersed, e.g. acetate, dyestuffs
D06P0001180000;Azo dyes
D06P0001190000;Nitro dyes
D06P0001200000;Anthraquinone dyes
D06P0001220000;using vat dyestuffs
D06P0001240000;Anthraquinone dyes
D06P0001260000;Phthalocyanine dyes
D06P0001280000;Esters of vat dyestuffs
D06P0001300000;using sulfur dyes
D06P0001320000;using oxidation dyes
D06P0001340000;using natural dyestuffs
D06P0001360000;using mordant dyes
D06P0001380000;using reactive dyes
D06P0001382000;with a reactive group directly attached to the heterocyclic group
D06P0001384000;with a reactive group not directly attached to the heterocyclic group
D06P0001390000;using acid dyes
D06P0001400000;using acid dyes without azo groups
D06P0001410000;using basic dyes
D06P0001420000;using basic dyes without azo groups
D06P0001440000;using insoluble pigments or auxiliary substances, e.g. binders
D06P0001460000;using compositions containing natural macromolecular substances or derivatives thereof
D06P0001480000;Derivatives of carbohydrates
D06P0001500000;Derivatives of cellulose
D06P0001520000;using compositions containing synthetic macromolecular substances (D06P0001600000 takes precedence)..
D06P0001540000;Substances with reactive groups together with crosslinking agents
D06P0001560000;Condensation products or precondensation products prepared with aldehydes
D06P0001580000;together with other synthetic macromolecular substances
D06P0001600000;using compositions containing polyethers
D06P0001607000;Nitrogen-containing polyethers
D06P0001613000;Polyethers without nitrogen
D06P0001620000;using compositions containing low-molecular-weight organic compounds with sulfate or sulfonate groups
D06P0001640000;using compositions containing low-molecular-weight organic compounds without sulfate or sulfonate groups
D06P0001642000;Compounds containing nitrogen
D06P0001645000;Aliphatic, araliphatic or cycloaliphatic compounds containing amino groups
D06P0001647000;Nitrogen-containing carboxylic acids or their salts
D06P0001649000;Compounds containing carbonamide, thiocarbonamide or guanyl groups
D06P0001651000;Compounds without nitrogen
D06P0001653000;Nitrogen-free carboxylic acids or their salts
D06P0001655000;Compounds containing ammonium groups
D06P0001660000;containing quaternary ammonium groups
D06P0001667000;Organo-phosphorus compounds
D06P0001673000;Inorganic compounds
D06P0001810000;using dyes dissolved in inorganic solvents
D06P0001900000;using dyes dissolved in organic solvents or aqueous emulsions thereof
D06P0001920000;in organic solvents
D06P0001940000;using dyes dissolved in solvents which are in the supercritical state
D06P0001960000;Dyeing characterised by a short bath ratio
D06P0003000000;Special processes of dyeing or printing textiles or dyeing leather, furs or solid macromolecular substances in any form, classified according to the material treated
D06P0003020000;Material containing basic nitrogen
D06P0003040000;containing amide groups
D06P0003060000;using acid dyes
D06P0003080000;using oxidation dyes
D06P0003100000;using reactive dyes
D06P0003120000;Preparing azo dyes on the material
D06P0003140000;Wool
D06P0003160000;using acid dyes
D06P0003180000;using basic dyes
D06P0003200000;using mordant dyes
D06P0003220000;Preparing azo dyes on the fibre
D06P0003240000;Polyamides. Polyurethanes
D06P0003260000;using dispersed dyestuffs
D06P0003280000;Preparing azo dyes on the material
D06P0003300000;Furs
D06P0003320000;Leather
D06P0003340000;Material containing ester groups (D06P0003040000 takes precedence)..
D06P0003360000;using dispersed dyestuffs
D06P0003380000;Preparing azo dyes on the material
D06P0003400000;Cellulose acetate
D06P0003420000;using dispersed dyestuffs
D06P0003440000;Preparing azo dyes on the material
D06P0003460000;Cellulose triacetate
D06P0003480000;using dispersed dyestuffs
D06P0003500000;Preparing azo dyes on the material
D06P0003520000;Polyesters
D06P0003540000;using dispersed dyestuffs
D06P0003560000;Preparing azo dyes on the material
D06P0003580000;Material containing hydroxyl groups
D06P0003600000;Natural or regenerated cellulose
D06P0003620000;using direct dyes
D06P0003640000;using mordant dyes
D06P0003660000;using reactive dyes
D06P0003680000;Preparing azo dyes on the material
D06P0003700000;Material containing nitrile groups
D06P0003720000;using dispersed dyestuffs
D06P0003740000;using acid dyes
D06P0003760000;using basic dyes
D06P0003780000;Preparing azo dyes on the material
D06P0003790000;Polyolefins
D06P0003800000;Inorganic fibres
D06P0003820000;Textiles which contain different kinds of fibres
D06P0003840000;in the same shade
D06P0003850000;dyed with one dye
D06P0003852000;containing half-wool or cellulose-polyamide mixture
D06P0003854000;containing modified or unmodified fibres
D06P0003860000;in different shades
D06P0003870000;dyed with two or more dyes
D06P0003872000;dyed with dispersed and reactive dyes
D06P0003874000;with non-reactive anionic and non-reactive dispersed or cationic dyes
D06P0005000000;Other features in dyeing or printing textiles or dyeing leather, furs or solid macromolecular substances in any form
D06P0005020000;After-treatment
D06P0005040000;with organic compounds
D06P0005060000;containing nitrogen
D06P0005080000;macromolecular
D06P0005100000;with compounds containing metal
D06P0005120000;Reserving parts of the material before dyeing or printing
D06P0005130000;Fugitive dyeing or stripping dyes
D06P0005150000;Locally discharging the dyes
D06P0005170000;Azo dyes
D06P0005200000;Physical treatments affecting dyeing, e.g. ultrasonic or electric
D06P0005220000;Effecting variation of dye affinity on textile material by chemical means that react with the fibre
D06P0005240000;Transfer printing
D06P0005260000;Heat transfer printing
D06P0005280000;using subliming dyes
D06P0005300000;Ink jet printing
D06P0007000000;Dyeing or printing processes combined with mechanical treatment
D06Q;DECORATING TEXTILES (for treatment of textiles by mechanical means, seeD06B-D06J. metallising the entire surface of textiles D06M0011830000. textile threads, filaments, yarns or tow, glued on macromolecular material D06N0007000000. dyeing or printing D06P)
D06Q0001000000;Decorating textiles (partial dyeing D06B0011000000. reserving parts of the material before dyeing or printing textiles D06P0005120000)
D06Q0001020000;Producing patterns by locally destroying or modifying the fibres of a web by chemical actions, e.g. making translucent
D06Q0001040000;by metallising (transfer of metal particles D06Q0001120000)
D06Q0001060000;by local treatment of pile fabrics with chemical means
D06Q0001080000;by fixation of mechanical effects, e.g. calendering, embossing or Chintz effects, using chemical means
D06Q0001100000;by treatment with, or fixation of, a particulate material, e.g. mica, glass beads (by metallising D06Q0001040000. by transferring D06Q0001120000)
D06Q0001120000;by transferring a chemical agent or a metallic or non-metallic material in particulate or other form, from a solid temporary carrier to the textile
D06Q0001140000;by transferring fibres, or adhesives for fibres, to the textile
D07;ROPES. CABLES OTHER THAN ELECTRIC
D07B;ROPES OR CABLES IN GENERAL (joining ropes or cables to one another or to other objects B65H0069000000, F16G0011000000. mechanical finishing or dressing of ropes D02J. decorative ropes or cords D04D. suspension cables for bridges E01D0019160000. specially adapted for driving, or for being driven by, pulleys or other gearing elements F16G0009000000. electric cables or joints insofar as electrical aspects are essential H01B, H01R)
D07B0001000000;Constructional features of ropes or cables
D07B0001020000;Ropes built-up from fibrous or filamentary material, e.g. of vegetable origin, of animal origin, regenerated cellulose, plastics
D07B0001040000;with a core of fibres or filaments arranged parallel to the centre line
D07B0001060000;Ropes or cables built-up from metal wires, e.g. of section wires around a hemp core
D07B0001080000;the layers of which are formed of profiled interlocking wires, i.e. the strands forming concentric layers
D07B0001100000;with a core of wires arranged parallel to the centre line
D07B0001120000;Ropes or cables with a hollow core
D07B0001140000;Ropes or cables with incorporated auxiliary elements, e.g. for making, extending throughout the length of the rope or cable
D07B0001160000;Ropes or cables with an enveloping sheathing or inlays of rubber or plastics (D07B0001040000, D07B0001100000 take precedence)..
D07B0001180000;Grommets
D07B0001200000;Buoyant ropes, e.g. with air-filled cellular cores. Accessories therefor
D07B0001220000;Flat or flat-sided ropes. Sets of ropes consisting of a series of parallel ropes
D07B0003000000;Manufacture of ropes or cables
D07B0003000000;General-purpose machines or apparatus for producing twisted ropes or cables from component strands of the same or different material
D07B0003020000;in which the supply reels rotate about the axis of the rope or cable
D07B0003040000;and are arranged in tandem along the axis of the machine
D07B0003060000;and are spaced radially from the axis of the machine
D07B0003080000;in which the take-up reel rotates about the axis of the rope or cable and the supply reels are fixed in position
D07B0003100000;with provision for imparting more than one complete twist to the ropes or cables for each revolution of the take-up reel
D07B0003120000;operating with rotating loops of filaments
D07B0003140000;hand-operated
D07B0005000000;Making ropes or cables from special materials or of particular form
D07B0005020000;from straw or like vegetable material
D07B0005040000;Rope bands
D07B0005060000;from natural or man-made staple fibres
D07B0005080000;agglutinated by adhesives
D07B0005100000;from strands of non-circular cross-section
D07B0005120000;of low twist or low tension by processes comprising setting or straightening treatments
D07B0007000000;Details of, or auxiliary devices incorporated in, rope- or cable-making machines. Auxiliary apparatus associated with such machines
D07B0007020000;Machine details. Auxiliary devices
D07B0007040000;Devices for imparting reverse rotation to bobbin- or reel cages
D07B0007060000;Bearing supports or brakes for supply bobbins or reels
D07B0007080000;Alarms or stop motions responsive to exhaustion or breakage of filamentary material fed from supply reels or bobbins
D07B0007100000;Devices for taking-up or winding the finished rope or cable
D07B0007120000;for softening, lubricating, or impregnating ropes, cables, or component strands thereof
D07B0007140000;for coating or wrapping ropes, cables, or component strands thereof (applying liquids or other fluent materials to surfaces in general B05. wrapping elongated cores in general B65H0081060000)
D07B0007160000;Auxiliary apparatus
D07B0007180000;for spreading or untwisting ropes or cables into constituent parts for treatment or splicing purposes
D07B0009000000;Binding or sealing ends, e.g. to prevent unravelling
D21;PAPER-MAKING. PRODUCTION OF CELLULOSE
D21B;FIBROUS RAW MATERIALS OR THEIR MECHANICAL TREATMENT
D21B0001000000;Fibrous raw materials or their mechanical treatment (pretreatment of the finely-divided materials before digesting D21C0001000000. methods of beating or refining pulp D21D0001000000. purification of the pulp suspension by mechanical means D21D0005000000)
D21B0001020000;Pretreatment of the raw materials by physical or chemical means (removal of bark B27L)
D21B0001040000;by dividing raw materials into small particles, e.g. fibres (breaking-up or cutting wood or the like by dry methods B27L.  mechanical separation of fibres from plant material D01B0001000000. hackling or heckling machines D01B0005000000)
D21B0001060000;by dry methods
D21B0001080000;the raw material being waste paper. the raw material being rags
D21B0001100000;by cutting actions
D21B0001120000;by wet methods, by the use of steam
D21B0001140000;Disintegrating in mills
D21B0001160000;in the presence of chemical agents
D21B0001180000;in magazine-type machines
D21B0001200000;with chain feed
D21B0001220000;with screw feed
D21B0001240000;of the pocket type
D21B0001260000;Driving or feeding arrangements
D21B0001280000;Dressers for mill stones, combined with the mill
D21B0001300000;Defibrating by other means
D21B0001320000;of waste paper
D21B0001340000;Kneading or mixing. Pulpers
D21B0001360000;Explosive disintegration by sudden pressure reduction
D21B0001380000;Conserving the finely-divided cellulosic material
D21C;PRODUCTION OF CELLULOSE BY REMOVING NON-CELLULOSE SUBSTANCES FROM CELLULOSE- CONTAINING MATERIALS. REGENERATION OF PULPING LIQUORS. APPARATUS THEREFOR
D21C0001000000;Pretreatment of the finely-divided materials before digesting (of waste paper D21C0005020000)
D21C0001020000;with water or steam
D21C0001040000;with acid reacting compounds
D21C0001060000;with alkaline reacting compounds
D21C0001080000;with oxygen-generating compounds
D21C0001100000;Physical methods for facilitating impregnation
D21C0003000000;Pulping cellulose-containing materials
D21C0003020000;with inorganic bases or alkaline reacting compounds, e.g. sulfate processes
D21C0003040000;with acids, acid salts, or acid anhydrides
D21C0003060000;sulfur dioxide. sulfurous acid. bisulfites
D21C0003080000;calcium bisulfite
D21C0003100000;magnesium bisulfite
D21C0003120000;sodium bisulfite
D21C0003140000;ammonium bisulfite
D21C0003160000;nitrogen oxides. nitric acid
D21C0003180000;with halogens or halogen-generating compounds (bleaching cellulose pulp D21C0009120000)
D21C0003200000;with organic solvents
D21C0003220000;Other features of pulping processes
D21C0003240000;Continuous processes
D21C0003260000;Multi-stage processes
D21C0003280000;Prevention of foam
D21C0005000000;Other processes for obtaining cellulose, e.g. cooking cotton linters
D21C0005020000;Working-up waste paper (mechanical processes for working-up waste paper D21B0001080000, D21B0001320000)
D21C0007000000;Digesters
D21C0007020000;Rotary digesters
D21C0007040000;Linings
D21C0007060000;Feeding devices
D21C0007080000;Discharge devices
D21C0007100000;Heating devices
D21C0007120000;Devices for regulating or controlling
D21C0007140000;Means for circulating the lye
D21C0007160000;Safety devices
D21C0009000000;After-treatment of cellulose pulp, e.g. of wood pulp, or cotton linters
D21C0009020000;Washing
D21C0009040000;in diffusers
D21C0009060000;in filters
D21C0009080000;Removal of fats, resins, pitch, or waxes
D21C0009100000;Bleaching
D21C0009120000;with halogens or halogen-containing compounds (D21C0009160000 takes precedence)..
D21C0009140000;with ClO. 2 or chlorites
D21C0009147000;with oxygen or its allotropic modifications (D21C0009160000 takes precedence)..
D21C0009153000;with ozone
D21C0009160000;with per compounds
D21C0009180000;De-watering
D21C0011000000;Regeneration of pulp liquors
D21C0011020000;of sulfite lye
D21C0011040000;of alkali lye
D21C0011060000;Treatment of pulp gases. Recovery of the heat content of the gases
D21C0011080000;Deodorisation
D21C0011100000;Concentrating spent liquor by evaporation
D21C0011120000;Combustion of pulp liquors
D21C0011140000;Wet combustion
D21D;TREATMENT OF THE MATERIALS BEFORE PASSING TO THE PAPER-MAKING MACHINE
D21D0001000000;Methods of beating or refining. Beaters of the Hollander type
D21D0001020000;Methods of beating. Beaters of the Hollander type
D21D0001040000;Beater rolls or bars
D21D0001060000;Bed plates
D21D0001080000;Beaters with means for driving the pulp quickly
D21D0001100000;Beaters with means for regulating the pressure between the beater roll and the bed plate
D21D0001120000;Beaters with means for continuous pulp discharge
D21D0001140000;Beaters with one beater roll and with vertical stuff circulation canal
D21D0001160000;Beaters with means for returning the pulp over the head of the beater roll
D21D0001180000;Beaters with two or more beater rolls
D21D0001200000;Methods of refining
D21D0001220000;Jordans
D21D0001240000;Jordan rolls
D21D0001260000;Jordan bed plates
D21D0001280000;Ball or rod mills
D21D0001300000;Disc mills
D21D0001320000;Hammer mills
D21D0001340000;Other mills or refiners
D21D0001360000;with vertical shaft
D21D0001380000;with horizontal shaft
D21D0001400000;Washing the fibres
D21D0005000000;Purification of the pulp suspension by mechanical means. Apparatus therefor
D21D0005020000;Straining or screening the pulp
D21D0005040000;Flat screens
D21D0005060000;Rotary screen-drums
D21D0005080000;combined with a rocking movement
D21D0005100000;of the tank
D21D0005120000;of the screen
D21D0005140000;of the tank and the screen
D21D0005160000;Cylinders and plates for screens
D21D0005180000;with the aid of centrifugal force
D21D0005200000;in apparatus with a horizontal axis
D21D0005220000;in apparatus with a vertical axis
D21D0005240000;in cyclones
D21D0005260000;De-aeration of paper stock
D21D0005280000;Tanks for storing or agitating pulp
D21D0099000000;Subject matter not provided for in other groups of this subclass
D21F;PAPER-MAKING MACHINES. METHODS OF PRODUCING PAPER THEREON
D21F0001000000;Wet end of machines for making continuous webs of paper
D21F0001020000;Head boxes of Fourdrinier machines
D21F0001040000;Head boxes of cylinder machines
D21F0001060000;Regulating pulp flow
D21F0001080000;Regulating consistency
D21F0001100000;Wire-cloths
D21F0001120000;Seams thereof
D21F0001140000;welded
D21F0001160000;sewn
D21F0001180000;Shaking-apparatus for wire-cloths and associated parts
D21F0001200000;in Fourdrinier machines
D21F0001220000;in cylinder machines
D21F0001240000;Tilting, raising, or lowering mechanisms for wire-cloths
D21F0001260000;in Fourdrinier machines
D21F0001280000;in cylinder machines
D21F0001300000;Protecting wire-cloths from mechanical damage
D21F0001320000;Washing wire-cloths or felts
D21F0001340000;Construction or arrangement of spraying pipes
D21F0001360000;Guiding mechanisms
D21F0001380000;Pads
D21F0001400000;Rolls
D21F0001420000;Jets
D21F0001440000;Watermarking devices
D21F0001460000;Dandy rolls
D21F0001480000;Suction apparatus (suction rolls D21F0003100000)
D21F0001500000;Suction boxes with rolls
D21F0001520000;Suction boxes without rolls
D21F0001540000;Skimming devices, e.g. froth ledges
D21F0001560000;Deckle frame arrangements
D21F0001580000;Deckle straps
D21F0001600000;Cylinder moulds
D21F0001620000;Sand traps
D21F0001640000;Magnetic separators
D21F0001660000;Pulp catching, de-watering, or recovering. Re-use of pulp-water
D21F0001680000;using hydrocyclones
D21F0001700000;by flotation
D21F0001720000;using funnels
D21F0001740000;using cylinders
D21F0001760000;with suction
D21F0001780000;with pressure
D21F0001800000;using endless screening belts
D21F0001820000;adding fibre agglomeration compositions
D21F0002000000;Transferring continuous webs from wet ends to press sections
D21F0003000000;Press section of machines for making continuous webs of paper
D21F0003020000;Wet presses
D21F0003040000;Arrangements thereof
D21F0003060000;Means for regulating the pressure
D21F0003080000;Pressure rolls
D21F0003100000;Suction rolls, e.g. couch rolls
D21F0005000000;Dryer section of machines for making continuous webs of paper
D21F0005020000;Drying on cylinders
D21F0005040000;on two or more drying cylinders
D21F0005060000;Regulating temperature
D21F0005080000;Arrangement of steam points in the cylinders
D21F0005100000;Removing condensate from the interior of the cylinders
D21F0005120000;Festoon drying
D21F0005140000;Drying webs by applying vacuum
D21F0005160000;Drying webs by electrical heating
D21F0005180000;Drying webs by hot air
D21F0005200000;Waste heat recovery
D21F0007000000;Other details of machines for making continuous webs of paper
D21F0007020000;Mechanical driving arrangements
D21F0007040000;Paper-break control devices
D21F0007060000;Indicating or regulating the thickness of the layer. Signal devices
D21F0007080000;Felts
D21F0007100000;Seams thereof
D21F0007120000;Drying
D21F0009000000;Complete machines for making continuous webs of paper
D21F0009020000;of the Fourdrinier type
D21F0009040000;of the cylinder type
D21F0011000000;Processes for making continuous lengths of paper, or of cardboard, or of wet web for fibreboard production, on paper-making machines
D21F0011020000;of the Fourdrinier type
D21F0011040000;paper or board consisting of two or more layers
D21F0011060000;of the cylinder type
D21F0011080000;paper or board consisting of two or more layers
D21F0011100000;Making imitation mould-made paper
D21F0011120000;Making corrugated paper or board
D21F0011140000;Making cellulose wadding, filter- or blotting paper
D21F0011160000;Making paper strips for spinning or twisting
D21F0013000000;Methods or apparatus for making discontinuous sheets of paper, pulpboard, or cardboard, or of wet web, for fibreboard production (making discontinuous sheets of board in moulds D21J. drying paper, pulpboard, or cardboard, in discontinuous-sheet form F26B)
D21F0013020000;Making hand-made paper
D21F0013040000;on cylinder board machines
D21F0013060000;Format rolls
D21F0013080000;Automatic cut-off rolls
D21F0013100000;using board presses
D21F0013120000;Platen presses
D21G;CALENDERS. ACCESSORIES FOR PAPER-MAKING MACHINES (winders or rewinders for finished products, means for adjustment of wrinkles or lateral extensions B65H)
D21G0001000000;Calenders (if restricted to the treatment of particular materials, see the relevant place, e.g. B29C0043240000, D06). Smoothing apparatus
D21G0001020000;Rolls. Their bearings (in general F16C0013000000)
D21G0003000000;Doctors
D21G0003020000;for calenders
D21G0003040000;for drying cylinders
D21G0005000000;Safety devices
D21G0007000000;Damping devices
D21G0009000000;Other accessories for paper-making machines
D21H;PULP COMPOSITIONS. PREPARATION THEREOF NOT COVERED BY SUBCLASSES . D21C, D21D. IMPREGNATING OR COATING OF PAPER. TREATMENT OF FINISHED PAPER NOT COVERED BY CLASS . B31.  OR SUBCLASS D21G. PAPER NOT OTHERWISE PROVIDED FOR
D21H0011000000;Pulp or paper, comprising cellulose or lignocellulose fibres of natural origin only
D21H0011020000;Chemical or chemomechanical pulp
D21H0011040000;Kraft or sulfate pulp
D21H0011060000;Sulfite or bisulfite pulp
D21H0011080000;Mechanical or thermomechanical pulp
D21H0011100000;Mixtures of chemical and mechanical pulp
D21H0011120000;Pulp from non-woody plants or crops, e.g. cotton, flax, straw or bagasse
D21H0011140000;Secondary fibres (working-up waste paper D21C0005020000)
D21H0011160000;modified by a particular after-treatment
D21H0011180000;Highly hydrated, swollen or fibrillatable fibres
D21H0011200000;Chemically or biochemically modified fibres
D21H0011220000;cationised
D21H0013000000;Pulp or paper, comprising synthetic cellulose or non-cellulose fibres or web-forming material (chemical features in the manufacture of artificial fibres D01F)
D21H0013020000;Synthetic cellulose fibres
