E;SECTION E FIXED CONSTRUCTIONS
E03B0001040000;for domestic or like local supply
E03B0003000000;Methods or installations for obtaining or collecting drinking water or tap water (treatment of water C02F)
E03B0003020000;from rain-water
E03B0003030000;Special vessels for collecting or storing rain-water for use in the household, e.g. water-butts
E03B0003040000;from surface water
E03B0003060000;from underground
E03B0003080000;Obtaining and confining water by means of wells (applicable to a combination of water and other liquids or to other liquids only E21B0043000000)
E03B0003100000;by means of pit wells
E03B0003110000;in combination with tubes, e.g. perforated, extending horizontally, or upwardly inclined, exterior to the pits
E03B0003120000;by means of vertical pipe wells
E03B0003140000;by means of horizontal or oblique wells
E03B0003150000;Keeping wells in good condition, e.g. by cleaning, repairing, regenerating. Maintaining or enlarging the capacity of wells or water-bearing layers (with artificial enrichment E03B0003320000)
E03B0003160000;Component parts of wells
E03B0003180000;Well filters (filters in general B01D0024000000-B01D0035000000)
E03B0003200000;of elements of special shape
E03B0003220000;Selection of specified materials
E03B0003240000;formed of loose materials, e.g. gravel
E03B0003260000;with packed filtering material
E03B0003280000;from humid air (condensing of vapours in general B01D0005000000. dehumidification of air for air-conditioning F24F0003140000)
E03B0003300000;from snow or ice
E03B0003320000;with artificial enrichment, e.g. by adding water from a pond or a river
E03B0003340000;of underground water
E03B0003360000;of surface water
E03B0003380000;Curbs for springs
E03B0003400000;Other devices for confining, e.g. trenches, drainage
E03B0005000000;Use of pumping plants or installations. Layouts thereof (pumps, pumping plants or installations per se, F04)
E03B0005020000;arranged in buildings
E03B0005040000;arranged in wells
E03B0005060000;Special equipment
E03B0007000000;Water main or service pipe systems (pipes or tubes in general F16L)
E03B0007020000;Public or like main pipe systems
E03B0007040000;Domestic or like local pipe systems (domestic plumbing E03C0001020000)
E03B0007070000;Arrangement of devices, e.g. filters, flow controls, measuring devices, siphons, valves, in the pipe systems (devices per se, see the relevant classes for these devices)..
E03B0007080000;Arrangement of draining devices (draining devices in general F16K, F16L)
E03B0007090000;Component parts or accessories (tools for cleaning pipes B08B0009020000. devices for preventing contamination of drinking water pipes for domestic use E03C0001100000. devices for preventing damage in case of bursts of pipes F16L. heating of pipes in general F16L0053000000)
E03B0007100000;Devices preventing bursting of pipes by freezing (devices preventing bursting of pipes in general F16L0055000000)
E03B0007120000;by preventing freezing
E03B0007140000;Devices for thawing frozen pipes
E03B0009000000;Methods or installations for drawing-off water (domestic water-drawing devices E03C. taps or valves per seF16K)
E03B0009020000;Hydrants. Arrangement of valves therein. Keys for hydrants
E03B0009040000;Column hydrants
E03B0009060000;Covers
E03B0009080000;Underground hydrants
E03B0009100000;Protective plates or covers
E03B0009120000;Stand-pipes
E03B0009140000;Draining devices for hydrants
E03B0009160000;Devices for retaining foreign matter, e.g. sand
E03B0009180000;Cleaning tools for hydrants
E03B0009200000;Pillar fountains or like apparatus for dispensing drinking water
E03B0011000000;Arrangements or adaptations of tanks for water supply (water-butts E03B0003030000. storage aspects B65D, B65G, F17B, F17C. foundations E02D0027380000. construction or assembling of bulk storage containers employing civil engineering techniques E04H0007000000. tower aspects E04H0012000000)
E03B0011020000;for domestic or like local water supply
E03B0011040000;without air regulator
E03B0011060000;with air regulator
E03B0011080000;Air regulators
E03B0011100000;for public or like main water supply
E03B0011120000;of high-level tanks
E03B0011140000;of underground tanks
E03B0011160000;Adaptations of devices for putting pumping plants in and out of operation, e.g. automatic control devices
E03C;DOMESTIC PLUMBING INSTALLATIONS FOR FRESH WATER OR WASTE WATER (not connected to either water-supply main or to waste pipe A47K. devices of the kind used in the ground E03B, E03F). SINKS
E03C0001000000;Domestic plumbing installations for fresh water or waste water. Sinks
E03C0001010000;for combinations of baths, showers, sinks, wash-basins, closets, urinals, or the like
E03C0001020000;Plumbing installations for fresh water
E03C0001040000;Water-basin installations specially adapted to wash-basins or baths (valves, faucets, mixing valves, taps F16K)
E03C0001042000;Arrangements on taps for wash-basins or baths for connecting to the wall
E03C0001044000;having a heating or cooling apparatus in the supply line (water heaters, e.g. with continuous flow, F24H)
E03C0001046000;Adding soap, disinfectant, or the like, in the supply line (preventing contamination of drinking-water pipes E03C0001100000)
E03C0001048000;supplying water through two or more openings around or along one side of the water-basin
E03C0001050000;Arrangements of devices on wash-basins, baths, sinks, or the like, for remote control of taps (remote control of taps or the like, per seF16K)
E03C0001060000;Devices for suspending or supporting the supply pipe or supply hose of a shower-bath
E03C0001080000;Jet regulators, e.g. anti-splash devices
E03C0001084000;Jet regulators with aerating means
E03C0001086000;Jet regulators or jet guides, easily mountable on the outlet of taps
E03C0001100000;Devices for preventing contamination of drinking-water pipes, e.g. means for aerating self-closing flushing valves (vacuum-breakers in general F16K, F16L)
E03C0001120000;Plumbing installations for waste water. Basins or fountains connected thereto (drainage devices in floors E03F0005040000). Sinks
E03C0001122000;Pipe-line systems for waste water in buildings (pipe-line systems in general F17D)
E03C0001126000;Installations for disinfecting or deodorising waste-water plumbing installations
E03C0001140000;Wash-basins connected to the waste pipe
E03C0001160000;Wash-fountains connected to the waste pipe
E03C0001180000;Sinks, whether or not connected to the waste-pipe
E03C0001181000;Anti-splash devices in sinks (jet regulators E03C0001080000)
E03C0001182000;connected to the waste pipe
E03C0001184000;adapted for attachment of washing machines or heating or cooling devices (washing machines for attachment D06F0007000000)
E03C0001186000;Separate partition walls, lids, protecting borders, or the like, for sinks
E03C0001200000;Connecting baths or bidets to the waste pipe
E03C0001220000;Outlet devices mounted in basins, baths, or sinks (stoppers A47K0001140000)
E03C0001230000;with mechanical closure mechanisms
E03C0001232000;combined with overflow devices (overflow devices for basins or baths per seE03C0001240000)
E03C0001240000;Overflow devices for basins or baths (E03C0001232000 takes precedence)..
E03C0001242000;automatically actuating supply or draining valves
E03C0001244000;Separate devices to be placed on the outlet opening
E03C0001260000;Object-catching inserts or similar devices for waste pipes or outlets (E03C0001280000 takes precedence)..
E03C0001262000;combined with outlet stoppers
E03C0001264000;Separate sieves or similar object-catching inserts
E03C0001266000;Arrangement of disintegrating apparatus in waste pipes or outlets. Disintegrating apparatus specially adapted for installation in waste pipes or outlets
E03C0001280000;Odour seals
E03C0001282000;combined with additional object-catching devices
E03C0001284000;having U-shaped trap
E03C0001286000;having hand-operated valves against return of waste water
E03C0001288000;having non-return valves against return of waste water (E03C0001286000 takes precedence)..
E03C0001290000;having housing containing dividing wall, e.g. tubular
E03C0001292000;having elastic housing
E03C0001294000;with provisions against loss of water lock
E03C0001295000;using air-supply valves
E03C0001296000;using water-supply valves
E03C0001298000;consisting only of non-return valve
E03C0001300000;Devices to facilitate removing of obstructions in waste pipes or sinks
E03C0001302000;using devices moved through the pipes
E03C0001304000;using fluid under pressure
E03C0001306000;by means of a tube connected to the water mains
E03C0001308000;by means of a pumping device
E03C0001320000;Holders or supports for basins
E03C0001322000;connected to the wall only
E03C0001324000;adjustable
E03C0001326000;resting on the floor
E03C0001328000;adjustable
E03C0001330000;Fastening sinks or basins in an apertured support
E03D;WATER-CLOSETS OR URINALS WITH FLUSHING DEVICES. FLUSHING VALVES THEREFOR
E03D0001000000;Water flushing devices with cisterns
E03D0001010000;Shape or selection of material for flushing cisterns
E03D0001012000;Details of shape of cisterns, e.g. for connecting to wall, for supporting or connecting flushing-device actuators
E03D0001020000;High-level flushing systems
E03D0001040000;Cisterns with bell siphons
E03D0001050000;with movable siphon bells
E03D0001060000;Cisterns with tube siphons
E03D0001070000;with movable or deformable siphon tubes
E03D0001080000;Siphon action initiated by air or water pressure
E03D0001100000;Siphon action initiated by raising the water level in the cistern, e.g. by means of displacement members
E03D0001120000;Siphon action initiated by outlet of air
E03D0001140000;Cisterns discharging variable quantities of water (twin or multiple flushing cisterns E03D0001220000. flushing devices operated by pressure of the water supply system and discharging variable quantities of water E03D0003120000)
E03D0001160000;Cisterns for periodical discharge
E03D0001180000;Cisterns empty when not in action
E03D0001200000;Cisterns with tiltably-mounted containers
E03D0001220000;Twin or multiple flushing cisterns
E03D0001240000;Low-level flushing systems
E03D0001260000;Bowl with flushing cistern mounted on the rearwardly extending end of the bowl (shape or material of the cistern E03D0001010000. constructional features of the bowl E03D0011020000-E03D0011120000)
E03D0001280000;Bowl integral with the flushing cistern
E03D0001300000;Valves for high or low cisterns. Their arrangement (inlet valves, valves in general F16K)
E03D0001320000;Arrangement of inlet valves (devices for reducing noise E03D0009140000)
E03D0001330000;Adaptations or arrangements of floats (actuating-floats in general F16K0033000000)
E03D0001340000;Flushing valves for outlets. Arrangement of outlet valves
E03D0001350000;Flushing valves having buoyancy
E03D0001360000;Associated working of inlet and outlet valves
E03D0001380000;Adaptations or arrangements of flushing pipes (noise-absorbing means in pipe systems F16L0055000000)
E03D0003000000;Flushing devices operated by pressure of the water supply system
E03D0003020000;Self-closing flushing valves (self-closing valves in general F16K0021040000)
E03D0003040000;with piston valve and pressure chamber for retarding the valve-closing movement
E03D0003060000;with diaphragm valve and pressure chamber for retarding the valve-closing movement
E03D0003080000;with other retarding devices
E03D0003100000;Flushing devices with pressure-operated reservoir, e.g. air chamber
E03D0003120000;Flushing devices discharging variable quantities of water (flushing cisterns discharging variable quantities of water E03D0001140000)
E03D0005000000;Special constructions of flushing devices (in motor vehicles or trailers B60R0015000000. in railway carriages B61D0035000000. in ships B63B0029140000. in aircraft B64D0011020000)
E03D0005010000;using flushing pumps
E03D0005012000;combined with movable closure elements in the bowl outlet (bowls with closure elements between bottom or outlet and outlet pipe E03D0011100000)
E03D0005014000;with devices for separate removal of liquids and solids
E03D0005016000;with recirculation of bowl-cleaning fluid
E03D0005020000;operated mechanically or hydraulically (E03D0005010000, E03D0005120000 take precedence)..
E03D0005040000;directly by the seat or cover
E03D0005060000;directly by the door
E03D0005080000;directly by foot
E03D0005090000;directly by hand
E03D0005092000;the flushing element, e.g. siphon bell, being actuated through a lever
E03D0005094000;the flushing element, e.g. siphon bell, being actuated through a cable, chain, or the like
E03D0005100000;operated electrically (E03D0005010000, E03D0005120000 take precedence)..
E03D0005120000;discharging periodically (high-level cisterns for periodical discharge E03D0001160000)
E03D0007000000;Wheeled lavatories (wheeled closets without flushing A47K0011000000. construction of land vehicles B62)
E03D0009000000;Sanitary or other accessories for lavatories (hand tools for cleaning the toilet bowl A47K0011100000. seats or covers for closets A47K0013000000. body supports, other than seats, for closets A47K0017020000. devices for preventing contamination of drinking-water pipes E03C0001100000)
E03D0009020000;Devices adding a disinfecting, deodorising or cleaning agent to the water while flushing, or in the flushing tank (apparatus for disinfection of materials or objects in general A61L0002000000. treatment of water in general C02F)
E03D0009030000;consisting of a separate container with an outlet through which the agent is introduced into the flushing water, e.g. by suction
E03D0009040000;Special arrangement or operation of ventilating devices (ventilating rooms in general F24F)
E03D0009050000;ventilating the bowl
E03D0009052000;using incorporated fans
E03D0009060000;Auxiliary chambers with water connection to the flushing pipe and adapted to receive utensils for bowl-cleaning, e.g. brushes
E03D0009080000;Devices in the bowl producing upwardly-directed sprays. Modifications of the bowl for use with such devices (showers A47K0003280000. bathing devices for special therapeutic or hygienic purposes A61H0033000000, for specific parts of the body A61H0035000000)
E03D0009100000;Waste-disintegrating apparatus combined with the bowl
E03D0009120000;Means to prevent freezing of lavatories
E03D0009140000;Noise-reducing means combined with flushing valves (noise-absorbing means in pipe systems F16L0055000000)
E03D0009160000;Water pressure regulating means in flushing pipes
E03D0011000000;Other component parts of water-closets (pipe joints or couplings in general F16L)
E03D0011020000;Water-closet bowls (auxiliary chambers with connections to flushing water for bowl-cleaning utensils E03D0009060000. modified for using upwardly-directed sprays E03D0009080000. seats or covers A47K0013000000)
E03D0011040000;Bowls of flat shape with only slightly inclined bottom
E03D0011060000;Bowls with downwardly-extending flanges
E03D0011080000;Bowls with means producing a flushing water swirl
E03D0011100000;Bowls with closure elements provided between bottom or outlet and the outlet pipe. Bowls with pivotally supported inserts
E03D0011110000;Bowls combined with a reservoir, e.g. containing apparatus for disinfecting or for disintegrating
E03D0011120000;Swivel-mounted bowls, e.g. for use in restricted spaces
E03D0011130000;Parts or details of bowls. Special adaptations of pipe joints or couplings for use with bowls
E03D0011140000;Means for connecting the bowl to the wall, e.g. to a wall outlet
E03D0011160000;Means for connecting the bowl to the floor, e.g. to a floor outlet
E03D0011170000;Means for connecting the bowl to the flushing pipe
E03D0011180000;Siphons (for pipes in general F16L0043000000, F16L0045000000)
E03D0013000000;Urinals (without flushing devices A47K0011000000)
E03F;SEWERS. CESSPOOLS
E03F0001000000;Methods, systems, or installations for draining-off sewage or storm water
E03F0003000000;Sewer pipe-line systems
E03F0003020000;Arrangement of sewer pipe-lines or pipe-line systems
E03F0003040000;Pipes or fittings specially adapted to sewers (manufacture of concrete tubes B28. pipes or pipe fittings in general F16L)
E03F0003060000;Methods of, or installations for, laying sewer pipes (making pipes in situF16L0001038000)
E03F0005000000;Sewerage structures
E03F0005020000;Manhole shafts or other inspection chambers (in general E02D0029120000). Snow-filling openings. Accessories (covers or frames for manholes or the like E02D0029140000)
E03F0005040000;Gullies with or without odour seals or sediment traps
E03F0005042000;Arrangements of means against overflow of water, backing-up from the drain
E03F0005046000;adapted to be used with kerbs (E03F0005060000 takes precedence)..
E03F0005060000;Gully gratings
E03F0005080000;Ventilation of sewers
E03F0005100000;Collecting-tanks. Equalising-tanks for regulating the run-off. Laying-up basins
E03F0005120000;Emergency outlets
E03F0005140000;Devices for separating liquid or solid substances from sewage, e.g. sand or sludge traps, rakes or grates (for use in sewage purification plants or both in sewage purification plants or in sewer systems B01D, C02F)
E03F0005160000;Devices for separating oil, water, or grease from sewage in drains leading to the main sewer
E03F0005180000;Tanks for disinfecting, neutralising, or cooling sewage (arrangements in tanks as to the biological or chemical aspect C02F)
E03F0005200000;Siphon pipes or inverted siphons (for connections of baths, basins, or the like E03C0001120000)
E03F0005220000;Adaptations of pumping plants for lifting sewage (wheeled apparatus for emptying sewers or cesspools E03F0007100000. pumps, pumping plants, per seF04)
E03F0005240000;Installations for neutralising explosions in sewers
E03F0005260000;Installations for stirring-up sewage
E03F0007000000;Other installations or implements for operating sewer systems, e.g. for preventing or indicating stoppage. Emptying cesspools
E03F0007020000;Shut-off devices (in general F16K)
E03F0007040000;Valves for preventing return flow
E03F0007060000;Devices for restraining rats or other animals
E03F0007080000;Hand implements for emptying sewers or cesspools
E03F0007100000;Wheeled apparatus for emptying sewers or cesspools
E03F0007120000;Installations enabling inspection personnel to drive along sewer canals
E03F0009000000;Arrangements or fixed installations for cleaning sewer pipes, e.g. by flushing (sediment traps, rakes, screens, or the like, arranged in sewer lines E03F0005140000. cleaning pipes in general, devices for cleaning pipes B08B0009020000)
E03F0011000000;Cesspools (emptying cesspools E03F0007000000. features relating to treatment of sewage C02F)
E04;BUILDING
E04B;GENERAL BUILDING CONSTRUCTIONS. WALLS, e.g. PARTITIONS. ROOFS. FLOORS. CEILINGS. INSULATION OR OTHER PROTECTION OF BUILDINGS (border constructions of openings in walls, floors, or ceilings E06B0001000000)
E04B0001000000;Constructions in general. Structures which are not restricted either to walls, e.g. partitions, or floors or ceilings or roofs (scaffolds, shutterings E04G. structures specially adapted for buildings for special purposes, general layout of buildings, e.g. modular co-ordination, E04H. the particular parts of buildings, see the relevant groups for those parts).
E04B0001020000;Structures consisting primarily of load-supporting, block-shaped or slab-shaped elements (E04B0001320000-E04B0001360000.  take precedence)..
E04B0001040000;the elements consisting of concrete, e.g. reinforced concrete, or other stone-like material
E04B0001060000;the elements being prestressed
E04B0001080000;the elements consisting of metal
E04B0001100000;the elements consisting of wood
E04B0001120000;the elements consisting of other material
E04B0001140000;the elements being composed of two or more materials (of reinforced concrete E04B0001040000)
E04B0001160000;Structures made from masses, e.g. concrete, cast or similarly formed  in situ with or without making use of additional elements, such as permanent forms, sub-structures to be coated with load-bearing material(E04B0001320000-E04B0001360000.  take precedence)..
E04B0001180000;Structures comprising elongated load-supporting parts, e.g. columns, girders, skeletons (E04B0001320000-E04B0001360000.  take precedence.elongated load-supporting parts as elements, trusses, truss-like structures E04C0003000000)
E04B0001190000;Three-dimensional framework structures
E04B0001200000;the supporting parts consisting of concrete, e.g. reinforced concrete, or other stone-like material
E04B0001210000;Connections specially adapted therefor
E04B0001220000;with parts being prestressed
E04B0001240000;the supporting parts consisting of metal
E04B0001260000;the supporting parts consisting of wood
E04B0001280000;the supporting parts consisting of other material
E04B0001300000;the supporting parts being composed of two or more materials. Composite steel and concrete constructions (of reinforced concrete E04B0001200000)
E04B0001320000;Arched structures. Vaulted structures. Folded structures (vaulted roofs E04B0007080000)
E04B0001340000;Extraordinary structures, e.g. with suspended or cantilever parts supported by masts or tower-like structures enclosing elevators or stairs. Features relating to the elastic stability (E04B0001342000, E04B0001343000, E04B0001348000 take precedence.for floors E04B0005430000. buildings for special purposes, e.g. withstanding earthquake, E04H)
E04B0001342000;Structures covering a large free area, whether open-sided or not, e.g. hangars, halls (roof trusses E04C0003000000. non-structural features for specified purposes, see the relevant groups of E04H)
E04B0001343000;Structures characterised by movable, separable, or collapsible parts, e.g. for transport (movable roof parts E04B0007160000. floatable buildings B63B. small prefabricated buildings, transportable as a whole, E04H0001120000. small garages E04H0006020000. tents or canopies, in general E04H0015000000)
E04B0001344000;with hinged parts
E04B0001346000;Rotary buildings. Buildings with rotary units, e.g. rooms
E04B0001348000;Structures composed of units comprising at least considerable parts of two sides of a room, e.g. box-like or cell-like units closed or in skeleton form (wall units locating conduits or the like E04C0002520000)
E04B0001350000;Extraordinary methods of construction, e.g. lift-slab, jack-block (E04B0001340000 takes precedence.falsework, shuttering for shaping walls, floors, ceilings or roofs for structures of particular shape in situE04G0011040000. conveying or assembling of building materials E04G0021000000. working measures on existing buildings E04G0023000000)
E04B0001360000;Bearings or like supports allowing movement (for bridges E01D0019040000. buildings withstanding earthquake E04H0009020000)
E04B0001380000;Connections for building structures in general
E04B0001410000;Connecting devices specially adapted for embedding in concrete or masonry (spacers for cavity walls E04B0002300000, E04B0002440000. connectors for reinforcing elements E04C0005160000. fastening frames to the border of openings E06B0001560000)
E04B0001480000;Dowels, i.e. members adapted to penetrate the surfaces of two parts and to take the shear stresses
E04B0001490000;with self-penetrating parts, e.g. claw dowels
E04B0001580000;of bar-shaped building elements
E04B0001610000;of slab-shaped building elements with each other
E04B0001620000;Insulation or other protection. Elements or use of specified material therefor (chemical compositions C01-C11. implements for applying insulation or sealings E04F0021000000. buildings to withstand, or to provide protection against, external undesired influences E04H0009000000. sealing pipes in walls or partitions F16L0005020000. shielding against dangerous radiation G21F. constructions of particular parts of buildings, see the relevant groups for those parts).
E04B0001640000;for making damp-proof. Protection against corrosion (sealings E04B0001660000)
E04B0001660000;Sealings (additions of anti-leak properties to plaster C04B. bituminous sealing masses C08L0095000000. sealings for hydraulic engineering work in general E02B0003160000. against ground humidity or ground water E02D0031020000. coverings against rain or other precipitations of the atmosphere E04D. composition of material or manufacture of sealing foils, see the relevant classes for these foils).
E04B0001680000;of joints, e.g. expansion joints (packing for joints in roads or airfields E01C0011020000. expansion joints for bridges E01D0019060000. sealing joints between foundation piles E02D0005140000. joints in foundation structures E02D0029160000. devices for sealing the spaces or joints between roof-covering elements E04D0001360000. sealing joints between roof-covering elements E04D0003380000. construction of joints for flooring or floor layers made of masses in situE04F0015140000)
E04B0001682000;formed . in situ
E04B0001684000;using preformed elastomeric elements
E04B0001686000;comprising a plurality of hollow, deformable internal cells
E04B0001700000;Drying or keeping dry, e.g. by air vents (by sealings E04B0001660000. during erection E04G0021280000)
E04B0001720000;Pest control (by keeping dry E04B0001700000. impregnation of wood or like materials B27K)
E04B0001740000;Heat, sound or noise insulation, absorption, or reflection (forms of, or arrangements in, rooms for influencing or directing sound E04B0001990000). Other building methods affording favourable thermal or acoustical conditions, e.g. accumulating of heat within walls (fire protection E04B0001940000. elements chiefly adapted for structural purposes E04C0001000000-E04C0003000000. chiefly adapted for surface coverings E04F0013000000. as underlayers for floor coverings E04F0015180000. closures for wall or like openings E06B)
E04B0001760000;specifically with respect to heat only (heat insulation in general F16L0059000000)
E04B0001780000;Heat insulating elements
E04B0001800000;slab-shaped
E04B0001820000;specifically with respect to sound only (noise damping in ducts or channels E04F0017000000. noise damping in general G10K0011160000)
E04B0001840000;Sound-absorbing elements
E04B0001860000;slab-shaped
E04B0001880000;Insulating elements for both heat and sound
E04B0001900000;slab-shaped
E04B0001920000;Protection against other undesired influences or dangers (buildings providing protection against external dangers E04H0009000000. shielding against dangerous radiation G21F)
E04B0001940000;against fire (fire-fighting A62C. impregnation of wood or similar materials B27K. fireproof doors E06B0005160000)
E04B0001980000;against vibrations or shocks (on foundations E02D0031080000). against mechanical destruction, e.g. by air-raids (against incendiary damage only E04B0001940000. finishing work therefor E04F. buildings withstanding earthquake or the like, shelters, arrangements of splinter-catching walls E04H0009000000)
E04B0001990000;Room acoustics, i.e. forms of, or arrangements in, rooms for influencing or directing sound (E04B0001820000 takes precedence.acoustics in general G10K0011000000. electric signal processing for producing a reverberation or echo sound G10K0015080000)
E04B0002000000;Walls, e.g. partitions, for buildings. Wall construction with regard to insulation. Connections specially adapted to walls (connections for building structures in general E04B0001380000. insulation for building in general E04B0001620000. building elements of relatively thin form for parts of buildings E04C0002000000)
E04B0002020000;built-up from layers of building elements
E04B0002040000;Walls having neither cavities between, nor in, the solid elements
E04B0002060000;using elements having specially-designed means for stabilising the position
E04B0002080000;by interlocking of projections or inserts with indentations, e.g. of tongues, grooves, dovetails
E04B0002100000;by filling material with or without reinforcements in small channels in, or in grooves between, the elements
E04B0002120000;using elements having a general shape differing from that of a parallelepiped
E04B0002140000;Walls having cavities in, but not between, the elements, i.e. each cavity being enclosed by at least four sides forming part of one single element
E04B0002160000;using elements having specially designed means for stabilising the position
E04B0002180000;by interlocking of projections or inserts with indentations, e.g. of tongues, grooves, dovetails
E04B0002200000;by filling material with or without reinforcements in small channels in, or in grooves between, the elements
E04B0002220000;using elements having a general shape differing from that of a parallelepiped
E04B0002240000;the walls being characterised by fillings in some of the cavities forming load-bearing pillars or beams
E04B0002260000;the walls being characterised by fillings in all cavities in order to form a wall construction
E04B0002280000;Walls having cavities between, but not in, the elements. Walls of elements each consisting of two or more parts kept in distance by means of spacers, all parts being solid
E04B0002300000;using elements having specially designed means for stabilising the position. Spacers for cavity walls
E04B0002320000;by interlocking of projections or inserts with indentations, e.g. of tongues, grooves, dovetails
E04B0002340000;by filling material with or without reinforcements in small channels in, or in grooves between, the elements
E04B0002360000;using elements having a general shape differing from that of a parallelepiped
E04B0002380000;the walls being characterised by fillings in some of the cavities forming load-bearing pillars or beams
E04B0002400000;the walls being characterised by fillings in all cavities in order to form a wall construction
E04B0002420000;Walls having cavities between, as well as in, the elements. Walls of elements each consisting of two or more parts, kept in distance by means of spacers, at least one of the parts having cavities
E04B0002440000;using elements having specially designed means for stabilising the position. Spacers for cavity walls
E04B0002460000;by interlocking of projections or inserts with indentations, e.g. of tongues, grooves, dovetails
E04B0002480000;by filling material with or without reinforcements in small channels in, or in grooves between, the elements
E04B0002500000;using elements having a general shape differing from that of a parallelepiped
E04B0002520000;the walls being characterised by fillings in some of the cavities forming load-bearing pillars or beams
E04B0002540000;the walls being characterised by fillings in all cavities in order to form a wall construction
E04B0002560000;Walls of framework or pillarwork. Walls incorporating load-bearing elongated members (E04B0002740000, E04B0002880000 take precedence.pillars E04C0003300000)
E04B0002580000;with elongated members of metal
E04B0002600000;characterised by special cross-section of the elongated members
E04B0002620000;the members being formed of two or more elements in side-by-side relationship
E04B0002640000;with elongated members of concrete
E04B0002660000;characterised by special cross-section of the elongated members
E04B0002680000;made by filling-up wall cavities (E04B0002240000, E04B0002380000, E04B0002520000 take precedence)..
E04B0002700000;with elongated members of wood
E04B0002720000;Walls of elements of relatively thin form (E04B0002560000, E04B0002740000, E04B0002880000 take precedence.with joint fillings acting as framework or pillars E04B0002680000. elements E04C0002000000)
E04B0002740000;Removable non-load-bearing partitions. Partitions with a free upper edge (framed panels E04C0002380000)
E04B0002760000;with framework or posts of metal
E04B0002780000;characterised by special cross-section of the frame members
E04B0002800000;with framework or posts of wood
E04B0002820000;characterised by the manner in which edges are connected to the building. Means therefor. Special details of easily-removable partitions
E04B0002840000;Walls made by casting, pouring, or tamping  in situ(E04B0002020000, E04B0002560000 take precedence.forms therefor E04G0011060000. working of concrete or similar masses able to be cast or poured in situE04G0021020000)
E04B0002860000;made in permanent forms
E04B0002880000;Curtain walls
E04B0002900000;comprising panels directly attached to the structure
E04B0002920000;Sandwich-type panels
E04B0002940000;Concrete panels (E04B0002920000 takes precedence)..
E04B0002960000;comprising panels attached to the structure through mullions or transoms
E04B0005000000;Floors. Floor construction with regard to insulation. Connections specially adapted therefor (elements for floors, e.g. bricks, stones, filling bodies, girders, E04C. flooring as finishing work, insulation of flooring, sectional false floors, e.g. for computers, E04F0015000000)
E04B0005020000;Load-carrying floor structures formed substantially of prefabricated units (E04B0005430000-E04B0005480000.  take precedence)..
E04B0005040000;with beams of concrete or other stone-like material, e.g. asbestos cement (E04B0005080000, E04B0005140000 take precedence)..
E04B0005060000;placed against one another
E04B0005080000;assembled of block-shaped elements, e.g. hollow stones (E04B0005140000 takes precedence.floors composed of reinforced brickwork E04B0005440000)
E04B0005100000;with metal beams or girders, e.g. with steel lattice girders (E04B0005140000 takes precedence)..
E04B0005120000;with wooden beams (E04B0005140000 takes precedence)..
E04B0005140000;with beams or girders laid in two directions
E04B0005160000;Load-carrying floor structures wholly or partly cast or similarly formed  in situ(E04B0005430000-E04B0005480000.  take precedence.floors merely characterised by the prefabricated elements E04C)
E04B0005170000;Floor structures partly formed . in situ
E04B0005180000;with stiffening ribs or other beam-like formations wholly cast between filling members
E04B0005190000;the filling members acting as self-supporting permanent forms (E04B0005210000 takes precedence)..
E04B0005210000;Cross-ribbed floors
E04B0005230000;with stiffening ribs or other beam-like formations wholly or partly prefabricated (with all load-carrying parts substantially consisting of prefabricated units E04B0005020000)
E04B0005260000;with filling members between the beams (E04B0005280000 takes precedence)..
E04B0005280000;Cross-ribbed floors
E04B0005290000;the prefabricated parts of the beams consisting wholly of metal (E04B0005280000 takes precedence)..
E04B0005320000;Floor structures wholly cast . in situ with or without form units or reinforcements
E04B0005360000;with form units as part of the floor
E04B0005380000;with slab-shaped form units acting simultaneously as reinforcement. Form slabs with reinforcements extending laterally outside the element
E04B0005400000;with metal form slabs
E04B0005430000;Floor structures of extraordinary design. Features relating to the elastic stability. Floor structures specially designed for resting on columns only, e.g. mushroom floors (extraordinary constructions in general E04B0001340000)
E04B0005440000;Floors composed of stones, mortar, and reinforcing elements (with inserts of glass E04B0005460000)
E04B0005460000;Special adaptation of floors for transmission of light, e.g. by inserts of glass (of ceilings E04B0009320000. block- shaped elements E04C0001420000. slab- or sheet-shaped elements E04C0002540000. for roof covering E04D0003060000)
E04B0005480000;Special adaptations of floors for incorporating ducts, e.g. for heating or ventilating (in block-shaped elements E04C0001390000. in slab- or sheet-shaped elements E04C0002520000)
E04B0007000000;Roofs. Roof construction with regard to insulation (structures for roofs as well as for floors E04B0005000000. ceilings E04B0009000000. greenhouses A01G0009140000. large containers having floating covers B65D0088340000. roof trusses, truss-like structures, joists E04C0003020000. roof coverings E04D)
E04B0007020000;with plane sloping surfaces, e.g. saddle roofs (E04B0007120000 takes precedence)..
E04B0007040000;supported by horizontal beams or the equivalent resting on the walls (E04B0007060000 takes precedence)..
E04B0007060000;Constructions of roof intersections or hopped ends
E04B0007080000;Vaulted roofs (E04B0007140000 takes precedence.vaulted structures in general E04B0001320000. inflatable tents or canopies, in general E04H0015200000. inflatable forms for shaping in situE04G0011040000)
E04B0007100000;Shell structures, e.g. of hyperbolic-parabolic shape. Grid-like formations acting as shell structures. Folded structures
E04B0007120000;formed in bays, e.g. sawtooth roofs (E04B0007100000 takes precedence)..
E04B0007140000;Suspended roofs (suspended tents or canopies, in general E04H0015040000)
