C;SECTION C CHEMISTRY METALLURGY
C07C0209580000;from or . via amides
C07C0209600000;by condensation or addition reactions, e.g. Mannich reaction, addition of ammonia or amines to alkenes or to alkynes or addition of compounds containing an active hydrogen atom to Schiff's bases, quinone imines, or aziranes
C07C0209620000;by cleaving carbon-to-nitrogen, sulfur-to-nitrogen, or phosphorus-to-nitrogen bonds, e.g. hydrolysis of amides, N-dealkylation of amines or quaternary ammonium compounds (C07C0209240000 takes precedence)..
C07C0209640000;by disproportionation
C07C0209660000;from or . via metallo-organic compounds
C07C0209680000;from amines, by reactions not involving amino groups, e.g. reduction of unsaturated amines, aromatisation, or substitution of the carbon skeleton
C07C0209700000;by reduction of unsaturated amines
C07C0209720000;by reduction of six-membered aromatic rings
C07C0209740000;by halogenation, hydrohalogenation, dehalogenation, or dehydrohalogenation
C07C0209760000;by nitration
C07C0209780000;from carbonyl compounds, e.g. from formaldehyde, and amines having amino groups bound to carbon atoms of six-membered aromatic rings, with formation of methylene-diarylamines
C07C0209800000;by photochemical reactions. by using free radicals
C07C0209820000;Purification. Separation. Stabilisation. Use of additives
C07C0209840000;Purification
C07C0209860000;Separation
C07C0209880000;Separation of optical isomers
C07C0209900000;Stabilisation. Use of additives
C07C0211000000;Compounds containing amino groups bound to a carbon skeleton
C07C0211010000;having amino groups bound to acyclic carbon atoms
C07C0211020000;of an acyclic saturated carbon skeleton
C07C0211030000;Monoamines
C07C0211040000;Mono-, di- or tri-methylamine
C07C0211050000;Mono-, di- or tri-ethylamine
C07C0211060000;containing only n- or iso-propyl groups
C07C0211070000;containing one, two or three alkyl groups, each having the same number of carbon atoms in excess of three
C07C0211080000;containing alkyl groups having a different number of carbon atoms
C07C0211090000;Diamines
C07C0211100000;Diaminoethanes
C07C0211110000;Diaminopropanes
C07C0211120000;1,6-Diaminohexanes
C07C0211130000;Amines containing three or more amino groups bound to the carbon skeleton
C07C0211140000;Amines containing amino groups bound to at least two aminoalkyl groups, e.g. diethylenetriamines
C07C0211150000;the carbon skeleton being further substituted by halogen atoms or by nitro or nitroso groups
C07C0211160000;of a saturated carbon skeleton containing rings other than six-membered aromatic rings
C07C0211170000;containing only non-condensed rings
C07C0211180000;containing at least two amino groups bound to the carbon skeleton
C07C0211190000;containing condensed ring systems
C07C0211200000;of an acyclic unsaturated carbon skeleton
C07C0211210000;Monoamines
C07C0211220000;containing at least two amino groups bound to the carbon skeleton
C07C0211230000;the carbon skeleton containing carbon-to-carbon triple bonds
C07C0211240000;the carbon skeleton being further substituted by halogen atoms or by nitro or nitroso groups
C07C0211250000;of an unsaturated carbon skeleton containing rings other than six-membered aromatic rings
C07C0211260000;of an unsaturated carbon skeleton containing at least one six-membered aromatic ring
C07C0211270000;having amino groups linked to the six-membered aromatic ring by saturated carbon chains
C07C0211280000;having amino groups linked to the six-membered aromatic ring by unsaturated carbon chains
C07C0211290000;the carbon skeleton being further substituted by halogen atoms or by nitro or nitroso groups
C07C0211300000;the six-membered aromatic ring being part of a condensed ring system formed by two rings
C07C0211310000;the six-membered aromatic ring being part of a condensed ring system formed by at least three rings
C07C0211320000;containing dibenzocycloheptane or dibenzocycloheptene ring systems or condensed derivatives thereof
C07C0211330000;having amino groups bound to carbon atoms of rings other than six-membered aromatic rings
C07C0211340000;of a saturated carbon skeleton
C07C0211350000;containing only non-condensed rings
C07C0211360000;containing at least two amino groups bound to the carbon skeleton
C07C0211370000;being further substituted by halogen atoms or by nitro or nitroso groups
C07C0211380000;containing condensed ring systems
C07C0211390000;of an unsaturated carbon skeleton
C07C0211400000;containing only non-condensed rings
C07C0211410000;containing condensed ring systems
C07C0211420000;with six-membered aromatic rings being part of the condensed ring systems
C07C0211430000;having amino groups bound to carbon atoms of six-membered aromatic rings of the carbon skeleton
C07C0211440000;having amino groups bound to only one six-membered aromatic ring
C07C0211450000;Monoamines
C07C0211460000;Aniline
C07C0211470000;Toluidines. Homologues thereof
C07C0211480000;N-alkylated amines
C07C0211490000;having at least two amino groups bound to the carbon skeleton
C07C0211500000;with at least two amino groups bound to carbon atoms of six-membered aromatic rings of the carbon skeleton
C07C0211510000;Phenylenediamines
C07C0211520000;the carbon skeleton being further substituted by halogen atoms or by nitro or nitroso groups
C07C0211530000;having the nitrogen atom of at least one of the amino groups further bound to a hydrocarbon radical substituted by amino groups
C07C0211540000;having amino groups bound to two or three six-membered aromatic rings
C07C0211550000;Diphenylamines
C07C0211560000;the carbon skeleton being further substituted by halogen atoms or by nitro or nitroso groups
C07C0211570000;having amino groups bound to carbon atoms of six-membered aromatic rings being part of condensed ring systems of the carbon skeleton
C07C0211580000;Naphthylamines. N-substituted derivatives thereof
C07C0211590000;the carbon skeleton being further substituted by halogen atoms or by nitro or nitroso groups
C07C0211600000;containing a ring other than a six-membered aromatic ring forming part of at least one of the condensed ring systems
C07C0211610000;with at least one of the condensed ring systems formed by three or more rings
C07C0211620000;Quaternary ammonium compounds
C07C0211630000;having quaternised nitrogen atoms bound to acyclic carbon atoms
C07C0211640000;having quaternised nitrogen atoms bound to carbon atoms of six-membered aromatic rings
C07C0211650000;Metal complexes of amines
C07C0213000000;Preparation of compounds containing amino and hydroxy, amino and etherified hydroxy or amino and esterified hydroxy groups bound to the same carbon skeleton
C07C0213020000;by reactions involving the formation of amino groups from compounds containing hydroxy groups or etherified or esterified hydroxy groups
C07C0213040000;by reaction of ammonia or amines with olefin oxides or halohydrins
C07C0213060000;from hydroxy amines by reactions involving the etherification or esterification of hydroxy groups
C07C0213080000;by reactions not involving the formation of amino groups, hydroxy groups or etherified or esterified hydroxy groups
C07C0213100000;Separation. Purification. Stabilisation. Use of additives
C07C0215000000;Compounds containing amino and hydroxy groups bound to the same carbon skeleton
C07C0215020000;having hydroxy groups and amino groups bound to acyclic carbon atoms of the same carbon skeleton
C07C0215040000;the carbon skeleton being saturated
C07C0215060000;and acyclic
C07C0215080000;with only one hydroxy group and one amino group bound to the carbon skeleton
C07C0215100000;with one amino group and at least two hydroxy groups bound to the carbon skeleton
C07C0215120000;the nitrogen atom of the amino group being further bound to hydrocarbon groups substituted by hydroxy groups
C07C0215140000;the nitrogen atom of the amino group being further bound to hydrocarbon groups substituted by amino groups
C07C0215160000;the nitrogen atom of the amino group being further bound to carbon atoms of six-membered aromatic rings
C07C0215180000;with hydroxy groups and at least two amino groups bound to the carbon skeleton
C07C0215200000;the carbon skeleton being saturated and containing rings
C07C0215220000;the carbon skeleton being unsaturated
C07C0215240000;and acyclic
C07C0215260000;and containing rings other than six-membered aromatic rings
C07C0215280000;and containing six-membered aromatic rings
C07C0215300000;containing hydroxy groups and carbon atoms of six-membered aromatic rings bound to the same carbon atom of the carbon skeleton
C07C0215320000;containing hydroxy groups and carbon atoms of two six-membered aromatic rings bound to the same carbon atom of the carbon skeleton
C07C0215340000;containing hydroxy groups and carbon atoms of six-membered aromatic rings bound to the same carbon atom of the carbon skeleton and at least one hydroxy group bound to another carbon atom of the carbon skeleton
C07C0215360000;1-Aryl-2-amino-1,3-propane diols
C07C0215380000;with rings other than six-membered aromatic rings being part of the carbon skeleton
C07C0215400000;with quaternised nitrogen atoms bound to carbon atoms of the carbon skeleton
C07C0215420000;having amino groups or hydroxy groups bound to carbon atoms of rings other than six-membered aromatic rings of the same carbon skeleton
C07C0215440000;bound to carbon atoms of the same ring or condensed ring system
C07C0215460000;having hydroxy groups bound to carbon atoms of at least one six-membered aromatic ring and amino groups bound to acyclic carbon atoms or to carbon atoms of rings other than six-membered aromatic rings of the same carbon skeleton
C07C0215480000;with amino groups linked to the six-membered aromatic ring, or to the condensed ring system containing that ring, by carbon chains not further substituted by hydroxy groups
C07C0215500000;with amino groups and the six-membered aromatic ring, or the condensed ring system containing that ring, bound to the same carbon atom of the carbon chain
C07C0215520000;linked by carbon chains having two carbon atoms between the amino groups and the six-membered aromatic ring or the condensed ring system containing that ring
C07C0215540000;linked by carbon chains having at least three carbon atoms between the amino groups and the six-membered aromatic ring or the condensed ring system containing that ring
C07C0215560000;with amino groups linked to the six-membered aromatic ring, or to the condensed ring system containing that ring, by carbon chains further substituted by hydroxy groups
C07C0215580000;with hydroxy groups and the six-membered aromatic ring, or the condensed ring system containing that ring, bound to the same carbon atom of the carbon chain
C07C0215600000;the chain having two carbon atoms between the amino groups and the six-membered aromatic ring or the condensed ring system containing that ring
C07C0215620000;the chain having at least three carbon atoms between the amino groups and the six-membered aromatic ring or the condensed ring system containing that ring
C07C0215640000;with rings other than six-membered aromatic rings being part of the carbon skeleton
C07C0215660000;with quaternised amino groups bound to the carbon skeleton
C07C0215680000;having amino groups bound to carbon atoms of six-membered aromatic rings and hydroxy groups bound to acyclic carbon atoms or to carbon atoms of rings other than six-membered aromatic rings of the same carbon skeleton
C07C0215700000;with rings other than six-membered aromatic rings being part of the carbon skeleton
C07C0215720000;with quaternised amino groups bound to the carbon skeleton
C07C0215740000;having hydroxy groups and amino groups bound to carbon atoms of six-membered aromatic rings of the same carbon skeleton
C07C0215760000;of the same non-condensed six-membered aromatic ring
C07C0215780000;containing at least two hydroxy groups bound to the carbon skeleton
C07C0215800000;containing at least two amino groups bound to the carbon skeleton
C07C0215820000;having the nitrogen atom of at least one of the amino groups further bound to a carbon atom of another six-membered aromatic ring
C07C0215840000;having amino groups bound to carbon atoms of six-membered aromatic rings being part of condensed ring systems
C07C0215860000;being formed by two rings
C07C0215880000;being formed by at least three rings
C07C0215900000;with quaternised amino groups bound to the carbon skeleton
C07C0217000000;Compounds containing amino and etherified hydroxy groups bound to the same carbon skeleton
C07C0217020000;having etherified hydroxy groups and amino groups bound to acyclic carbon atoms of the same carbon skeleton
C07C0217040000;the carbon skeleton being acyclic and saturated
C07C0217060000;having only one etherified hydroxy group and one amino group bound to the carbon skeleton, which is not further substituted
C07C0217080000;the oxygen atom of the etherified hydroxy group being further bound to an acyclic carbon atom
C07C0217100000;to an acyclic carbon atom of a hydrocarbon radical containing six-membered aromatic rings
C07C0217120000;the oxygen atom of the etherified hydroxy group being further bound to a carbon atom of a ring other than a six-membered aromatic ring
C07C0217140000;the oxygen atom of the etherified hydroxy group being further bound to a carbon atom of a six-membered aromatic ring
C07C0217160000;the six-membered aromatic ring or condensed ring system containing that ring not being further substituted
C07C0217180000;the six-membered aromatic ring or condensed ring system containing that ring being further substituted
C07C0217200000;by halogen atoms, by trihalomethyl, nitro or nitroso groups, or by singly-bound oxygen atoms
C07C0217220000;by carbon atoms having at least two bonds to oxygen atoms
C07C0217240000;the six-membered aromatic ring being part of a condensed ring system containing rings other than six-membered aromatic rings
C07C0217260000;having only one etherified hydroxy group and one amino group bound to the carbon skeleton, which is further substituted by halogen atoms or by nitro or nitroso groups
C07C0217280000;having one amino group and at least two singly-bound oxygen atoms, with at least one being part of an etherified hydroxy group, bound to the carbon skeleton, e.g. ethers of polyhydroxy amines
C07C0217300000;having the oxygen atom of at least one of the etherified hydroxy groups further bound to a carbon atom of a six-membered aromatic ring
C07C0217320000;the six-membered aromatic ring or condensed ring system containing that ring being further substituted
C07C0217340000;by halogen atoms, by trihalomethyl, nitro or nitroso groups, or by singly-bound oxygen atoms
C07C0217360000;by carbon atoms having at least two bonds to oxygen atoms
C07C0217380000;the six-membered aromatic ring being part of a condensed ring system containing rings other than six-membered aromatic rings
C07C0217400000;having at least two singly-bound oxygen atoms, with at least one being part of an etherified hydroxy group, bound to the same carbon atom of the carbon skeleton, e.g. amino-ketals, ortho esters
C07C0217420000;having etherified hydroxy groups and at least two amino groups bound to the carbon skeleton
C07C0217440000;the carbon skeleton being saturated and containing rings
C07C0217460000;the carbon skeleton being acyclic and unsaturated
C07C0217480000;the carbon skeleton being unsaturated and containing rings
C07C0217500000;Ethers of hydroxy amines of undetermined structure, e.g. obtained by reactions of epoxides with hydroxy amines
C07C0217520000;having etherified hydroxy groups or amino groups bound to carbon atoms of rings other than six-membered aromatic rings of the same carbon skeleton
C07C0217540000;having etherified hydroxy groups bound to carbon atoms of at least one six-membered aromatic ring and amino groups bound to acyclic carbon atoms or to carbon atoms of rings other than six-membered aromatic rings of the same carbon skeleton
C07C0217560000;with amino groups linked to the six-membered aromatic ring, or to the condensed ring system containing that ring, by carbon chains not further substituted by singly-bound oxygen atoms
C07C0217580000;with amino groups and the six-membered aromatic ring, or the condensed ring system containing that ring, bound to the same carbon atom of the carbon chain
C07C0217600000;linked by carbon chains having two carbon atoms between the amino groups and the six-membered aromatic ring or the condensed ring system containing that ring
C07C0217620000;linked by carbon chains having at least three carbon atoms between the amino groups and the six-membered aromatic ring or the condensed ring system containing that ring
C07C0217640000;with amino groups linked to the six-membered aromatic ring, or to the condensed ring system containing that ring, by carbon chains further substituted by singly-bound oxygen atoms
C07C0217660000;with singly-bound oxygen atoms and six-membered aromatic rings bound to the same carbon atom of the carbon chain
C07C0217680000;with singly-bound oxygen atoms, six-membered aromatic rings and amino groups bound to the same carbon atom of the carbon chain
C07C0217700000;linked by carbon chains having two carbon atoms between the amino groups and the six-membered aromatic ring or the condensed ring system containing that ring
C07C0217720000;linked by carbon chains having at least three carbon atoms between the amino groups and the six-membered aromatic ring or the condensed ring system containing that ring
C07C0217740000;with rings other than six-membered aromatic rings being part of the carbon skeleton
C07C0217760000;having amino groups bound to carbon atoms of six-membered aromatic rings and etherified hydroxy groups bound to acyclic carbon atoms or to carbon atoms of rings other than six-membered aromatic rings of the same carbon skeleton
C07C0217780000;having amino groups and etherified hydroxy groups bound to carbon atoms of six-membered aromatic rings of the same carbon skeleton
C07C0217800000;having amino groups and etherified hydroxy groups bound to carbon atoms of non-condensed six-membered aromatic rings
C07C0217820000;of the same non-condensed six-membered aromatic ring
C07C0217840000;the oxygen atom of at least one of the etherified hydroxy groups being further bound to an acyclic carbon atom
C07C0217860000;to an acyclic carbon atom of a hydrocarbon radical containing six-membered aromatic rings
C07C0217880000;the oxygen atom of at least one of the etherified hydroxy groups being further bound to a carbon atom of a ring other than a six-membered aromatic ring
C07C0217900000;the oxygen atom of at least one of the etherified hydroxy groups being further bound to a carbon atom of a six-membered aromatic ring, e.g. amino-diphenylethers
C07C0217920000;the nitrogen atom of at least one of the amino groups being further bound to a carbon atom of a six-membered aromatic ring
C07C0217940000;having amino groups bound to carbon atoms of six-membered aromatic rings being part of condensed ring systems and etherified hydroxy groups bound to carbon atoms of six-membered aromatic rings of the same carbon skeleton
C07C0219000000;Compounds containing amino and esterified hydroxy groups bound to the same carbon skeleton
C07C0219020000;having esterified hydroxy groups and amino groups bound to acyclic carbon atoms of the same carbon skeleton
C07C0219040000;the carbon skeleton being acyclic and saturated
C07C0219060000;having the hydroxy groups esterified by carboxylic acids having the esterifying carboxyl groups bound to hydrogen atoms or to acyclic carbon atoms of an acyclic saturated carbon skeleton
C07C0219080000;having at least one of the hydroxy groups esterified by a carboxylic acid having the esterifying carboxyl group bound to an acyclic carbon atom of an acyclic unsaturated carbon skeleton
C07C0219100000;having at least one of the hydroxy groups esterified by a carboxylic acid having the esterifying carboxyl group bound to an acyclic carbon atom of a carbon skeleton containing rings
C07C0219120000;having at least one of the hydroxy groups esterified by a carboxylic acid having the esterifying carboxyl group bound to a carbon atom of a ring other than a six-membered aromatic ring
C07C0219140000;having at least one of the hydroxy groups esterified by a carboxylic acid having the esterifying carboxyl group bound to a carbon atom of a six-membered aromatic ring
C07C0219160000;having at least one of the hydroxy groups esterified by an inorganic acid or a derivative thereof
C07C0219180000;the carbon skeleton being saturated and containing rings
C07C0219200000;the carbon skeleton being unsaturated
C07C0219220000;and containing six-membered aromatic rings
C07C0219240000;having esterified hydroxy groups or amino groups bound to carbon atoms of rings other than six-membered aromatic rings of the same carbon skeleton
C07C0219260000;having esterified hydroxy groups bound to carbon atoms of at least one six-membered aromatic ring and amino groups bound to acyclic carbon atoms or to carbon atoms of rings other than six-membered aromatic rings of the same carbon skeleton
C07C0219280000;having amino groups bound to acyclic carbon atoms of the carbon skeleton
C07C0219300000;with amino groups linked to the six-membered aromatic ring, or to the condensed ring system containing that ring, by carbon chains further substituted by singly-bound oxygen atoms
C07C0219320000;having amino groups bound to carbon atoms of six-membered aromatic rings and esterified hydroxy groups bound to acyclic carbon atoms or to carbon atoms of rings other than six-membered aromatic rings of the same carbon skeleton
C07C0219340000;having amino groups and esterified hydroxy groups bound to carbon atoms of six-membered aromatic rings of the same carbon skeleton
C07C0221000000;Preparation of compounds containing amino groups and doubly-bound oxygen atoms bound to the same carbon skeleton
C07C0223000000;Compounds containing amino and . CHO groups bound to the same carbon skeleton
C07C0223020000;having amino groups bound to acyclic carbon atoms of the carbon skeleton
C07C0223040000;having amino groups bound to carbon atoms of rings other than six-membered aromatic rings of the carbon skeleton
C07C0223060000;having amino groups bound to carbon atoms of six-membered aromatic rings of the carbon skeleton
C07C0225000000;Compounds containing amino groups and doubly-bound oxygen atoms bound to the same carbon skeleton, at least one of the doubly-bound oxygen atoms not being part of a . CHO group, e.g. amino ketones
C07C0225020000;having amino groups bound to acyclic carbon atoms of the carbon skeleton
C07C0225040000;the carbon skeleton being saturated
C07C0225060000;and acyclic
C07C0225080000;and containing rings
C07C0225100000;with doubly-bound oxygen atoms bound to carbon atoms not being part of rings
C07C0225120000;with doubly-bound oxygen atoms bound to carbon atoms being part of rings
C07C0225140000;the carbon skeleton being unsaturated
C07C0225160000;and containing six-membered aromatic rings
C07C0225180000;the carbon skeleton containing also rings other than six-membered aromatic rings
C07C0225200000;having amino groups bound to carbon atoms of rings other than six-membered aromatic rings of the carbon skeleton
C07C0225220000;having amino groups bound to carbon atoms of six-membered aromatic rings of the carbon skeleton
C07C0225240000;the carbon skeleton containing carbon atoms of quinone rings
C07C0225260000;having amino groups bound to carbon atoms of quinone rings or of condensed ring systems containing quinone rings
C07C0225280000;of non-condensed quinone rings
C07C0225300000;of condensed quinone ring systems formed by two rings
C07C0225320000;of condensed quinone ring systems formed by at least three rings
C07C0225340000;Amino anthraquinones
C07C0225360000;the carbon skeleton being further substituted by singly-bound oxygen atoms
C07C0227000000;Preparation of compounds containing amino and carboxyl groups bound to the same carbon skeleton
C07C0227020000;Formation of carboxyl groups in compounds containing amino groups, e.g. by oxidation of amino alcohols
C07C0227040000;Formation of amino groups in compounds containing carboxyl groups
C07C0227060000;by addition or substitution reactions, without increasing the number of carbon atoms in the carbon skeleton of the acid
C07C0227080000;by reaction of ammonia or amines with acids containing functional groups
C07C0227100000;with simultaneously increasing the number of carbon atoms in the carbon skeleton
C07C0227120000;Formation of amino and carboxyl groups
C07C0227140000;from compounds containing already amino and carboxyl groups or derivatives thereof
C07C0227160000;by reactions not involving the amino or carboxyl groups
C07C0227180000;by reactions involving amino or carboxyl groups, e.g. hydrolysis of esters or amides, by formation of halides, salts or esters
C07C0227200000;by hydrolysis of N-acylated amino acids or derivatives thereof, e.g. hydrolysis of carbamates
C07C0227220000;from lactams, cyclic ketones or cyclic oximes, e.g. by reaction involving Beckmann rearrangement
C07C0227240000;from hydantoins
C07C0227260000;from compounds containing carboxyl groups by reaction with HCN, or a salt thereof, and amines, or from aminonitriles
C07C0227280000;from natural products
C07C0227300000;Preparation of optical isomers
C07C0227320000;by stereospecific synthesis
C07C0227340000;by separation of optical isomers
C07C0227360000;Racemisation of optical isomers
C07C0227380000;Separation. Purification. Stabilisation. Use of additives (separation of optical isomers C07C0227340000)
C07C0227400000;Separation. Purification
C07C0227420000;Crystallisation
C07C0227440000;Stabilisation. Use of additives
C07C0229000000;Compounds containing amino and carboxyl groups bound to the same carbon skeleton
C07C0229020000;having amino and carboxyl groups bound to acyclic carbon atoms of the same carbon skeleton
C07C0229040000;the carbon skeleton being acyclic and saturated
C07C0229060000;having only one amino and one carboxyl group bound to the carbon skeleton
C07C0229080000;the nitrogen atom of the amino group being further bound to hydrogen atoms
C07C0229100000;the nitrogen atom of the amino group being further bound to acyclic carbon atoms or to carbon atoms of rings other than six-membered aromatic rings
C07C0229120000;to carbon atoms of acyclic carbon skeletons
C07C0229140000;to carbon atoms of carbon skeletons containing rings
C07C0229160000;to carbon atoms of hydrocarbon radicals substituted by amino or carboxyl groups, e.g. ethylenediamine-tetra-acetic acid, iminodiacetic acids
C07C0229180000;the nitrogen atom of the amino group being further bound to carbon atoms of six-membered aromatic rings
C07C0229200000;the carbon skeleton being further substituted by halogen atoms or by nitro or nitroso groups
C07C0229220000;the carbon skeleton being further substituted by oxygen atoms
C07C0229240000;having more than one carboxyl group bound to the carbon skeleton, e.g. aspartic acid
C07C0229260000;having more than one amino group bound to the carbon skeleton, e.g. lysine
C07C0229280000;the carbon skeleton being saturated and containing rings
C07C0229300000;the carbon skeleton being acyclic and unsaturated
C07C0229320000;the carbon skeleton being unsaturated and containing rings other than six-membered aromatic rings
C07C0229340000;the carbon skeleton containing six-membered aromatic rings
C07C0229360000;with at least one amino group and one carboxyl group bound to the same carbon atom of the carbon skeleton
C07C0229380000;having amino groups bound to acyclic carbon atoms and carboxyl groups bound to carbon atoms of six-membered aromatic rings of the same carbon skeleton
C07C0229400000;having amino groups bound to carbon atoms of at least one six-membered aromatic ring and carboxyl groups bound to acyclic carbon atoms of the same carbon skeleton
C07C0229420000;with carboxyl groups linked to the six-membered aromatic ring, or to the condensed ring system containing that ring, by saturated carbon chains
C07C0229440000;with carboxyl groups linked to the six-membered aromatic ring, or to the condensed ring system containing that ring, by unsaturated carbon chains
C07C0229460000;having amino or carboxyl groups bound to carbon atoms of rings other than six-membered aromatic rings of the same carbon skeleton
C07C0229480000;with amino groups and carboxyl groups bound to carbon atoms of the same non-condensed ring
C07C0229500000;with amino groups and carboxyl groups bound to carbon atoms being part of the same condensed ring system
C07C0229520000;having amino and carboxyl groups bound to carbon atoms of six-membered aromatic rings of the same carbon skeleton
C07C0229540000;with amino and carboxyl groups bound to carbon atoms of the same non-condensed six-membered aromatic ring
C07C0229560000;with amino and carboxyl groups bound in ortho- position
C07C0229580000;having the nitrogen atom of at least one of the amino groups further bound to a carbon atom of a six-membered aromatic ring, e.g. N-phenyl-anthranilic acids
C07C0229600000;with amino and carboxyl groups bound in meta- or para- positions
C07C0229620000;with amino groups and at least two carboxyl groups bound to carbon atoms of the same six-membered aromatic ring
C07C0229640000;the carbon skeleton being further substituted by singly-bound oxygen atoms
C07C0229660000;the carbon skeleton being further substituted by doubly-bound oxygen atoms
C07C0229680000;with amino and carboxyl groups bound to carbon atoms of six-membered aromatic rings being part of the same condensed ring system
C07C0229700000;the carbon skeleton being further substituted by singly-bound oxygen atoms
C07C0229720000;the carbon skeleton being further substituted by doubly-bound oxygen atoms
C07C0229740000;the condensed ring system being formed by at least three rings, e.g. amino anthraquinone carboxylic acids
C07C0229760000;Metal complexes of amino carboxylic acids
C07C0231000000;Preparation of carboxylic acid amides
C07C0231020000;from carboxylic acids or from esters, anhydrides, or halides thereof by reaction with ammonia or amines
C07C0231040000;from ketenes by reaction with ammonia or amines
C07C0231060000;from nitriles by transformation of cyano groups into carboxamide groups
C07C0231080000;from amides by reaction at nitrogen atoms of carboxamide groups
C07C0231100000;from compounds not provided for in groups . C07C0231020000-C07C0231080000
C07C0231120000;by reactions not involving the formation of carboxamide groups
C07C0231140000;by formation of carboxamide groups together with reactions not involving the carboxamide groups
C07C0231160000;Preparation of optical isomers
C07C0231180000;by stereospecific synthesis
C07C0231200000;by separation of optical isomers
C07C0231220000;Separation. Purification. Stabilisation. Use of additives (separation of optical isomers C07C0231200000)
C07C0231240000;Separation. Purification
C07C0233000000;Carboxylic acid amides
C07C0233010000;having carbon atoms of carboxamide groups bound to hydrogen atoms or to acyclic carbon atoms
C07C0233020000;having nitrogen atoms of carboxamide groups bound to hydrogen atoms or to carbon atoms of unsubstituted hydrocarbon radicals
C07C0233030000;with carbon atoms of carboxamide groups bound to hydrogen atoms
C07C0233040000;with carbon atoms of carboxamide groups bound to carbon atoms of an acyclic saturated carbon skeleton
C07C0233050000;having the nitrogen atoms of the carboxamide groups bound to hydrogen atoms or to acyclic carbon atoms
C07C0233060000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a ring other than a six-membered aromatic ring
C07C0233070000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a six-membered aromatic ring
C07C0233080000;with carbon atoms of carboxamide groups bound to acyclic carbon atoms of a saturated carbon skeleton containing rings
C07C0233090000;with carbon atoms of carboxamide groups bound to carbon atoms of an acyclic unsaturated carbon skeleton
C07C0233100000;with carbon atoms of carboxamide groups bound to carbon atoms of an unsaturated carbon skeleton containing rings other than six-membered aromatic rings
C07C0233110000;with carbon atoms of carboxamide groups bound to carbon atoms of an unsaturated carbon skeleton containing six-membered aromatic rings
C07C0233120000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by halogen atoms or by nitro or nitroso groups
C07C0233130000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by an acyclic carbon atom
C07C0233140000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a ring other than a six-membered aromatic ring
C07C0233150000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a six-membered aromatic ring
C07C0233160000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by singly-bound oxygen atoms
C07C0233170000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by an acyclic carbon atom
C07C0233180000;having the carbon atom of the carboxamide group bound to a hydrogen atom or to a carbon atom of an acyclic saturated carbon skeleton
C07C0233190000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of a saturated carbon skeleton containing rings
C07C0233200000;having the carbon atom of the carboxamide group bound to a carbon atom of an acyclic unsaturated carbon skeleton
C07C0233210000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of an unsaturated carbon skeleton containing rings other than six-membered aromatic rings
C07C0233220000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of a carbon skeleton containing six-membered aromatic rings
C07C0233230000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a ring other than a six-membered aromatic ring
C07C0233240000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a six-membered aromatic ring
C07C0233250000;having the carbon atom of the carboxamide group bound to a hydrogen atom or to a carbon atom of an acyclic saturated carbon skeleton
C07C0233260000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of a saturated carbon skeleton containing rings
C07C0233270000;having the carbon atom of the carboxamide group bound to a carbon atom of an acyclic unsaturated carbon skeleton
C07C0233280000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of an unsaturated carbon skeleton containing rings other than six-membered aromatic rings
C07C0233290000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of a carbon skeleton containing six-membered aromatic rings
C07C0233300000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by doubly-bound oxygen atoms
C07C0233310000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by an acyclic carbon atom
C07C0233320000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a ring other than a six-membered aromatic ring
C07C0233330000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by a carbon atom of a six-membered aromatic ring
C07C0233340000;having the nitrogen atom of at least one of the carboxamide groups bound to a carbon atom of a hydrocarbon radical substituted by amino groups
C07C0233350000;with the substituted hydrocarbon radical bound to the nitrogen atom of the carboxamide group by an acyclic carbon atom
C07C0233360000;having the carbon atom of the carboxamide group bound to a hydrogen atom or to a carbon atom of an acyclic saturated carbon skeleton
C07C0233370000;having the carbon atom of the carboxamide group bound to an acyclic carbon atom of a saturated carbon skeleton containing rings
C07C0233380000;having the carbon atom of the carboxamide group bound to a carbon atom of an acyclic unsaturated carbon skeleton
