H;SECTION H ELECTRICITY
H01J0015020000;Details, e.g. electrode, gas filling, shape of vessel
H01J0015040000;Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for
H01J0017000000;Gas-filled discharge tubes with solid cathodes (H01J0025000000, H01J0027000000, H01J0031000000-H01J0041000000. ¶ÿtake precedence.gas filled spark gaps H01T. Marx converters H02M0007260000)
H01J0017020000;Details
H01J0017040000;Electrodes. Screens
H01J0017060000;Cathodes
H01J0017080000;having mercury or liquid alkali metal deposited on the cathode surface during operation of the tube
H01J0017100000;Anodes
H01J0017120000;Control electrodes
H01J0017140000;Magnetic means for controlling the discharge
H01J0017160000;Vessels. Containers
H01J0017180000;Seals between parts of vessels. Seals for leading-in conductors. Leading-in conductors
H01J0017200000;Selection of substances for gas fillings. Specified operating pressures or temperatures
H01J0017220000;Means for obtaining or maintaining the desired pressure within the tube
H01J0017240000;Means for absorbing or adsorbing gas, e.g. by gettering
H01J0017260000;Means for producing, introducing, or replenishing gas or vapour during operation of the tube
H01J0017280000;Cooling arrangements
H01J0017300000;Igniting arrangements
H01J0017320000;Igniting by associated radioactive materials or fillings
H01J0017340000;One or more circuit elements structurally associated with the tube
H01J0017360000;Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for
H01J0017380000;Cold-cathode tubes
H01J0017400000;with one cathode and one anode, e.g. glow tubes, tuning-indicator glow tubes, voltage-stabiliser tubes or¶ÿvoltage-indicator tubes
H01J0017420000;having one or more probe electrodes, e.g. for potential dividing
H01J0017440000;having one or more control electrodes
H01J0017460000;for preventing and then permitting ignition, but thereafter having no control
H01J0017480000;with more than one cathode or anode, e.g. sequence-discharge tube, counting tube, dekatron
H01J0017490000;Display panels, e.g. with crossed electrodes
H01J0017500000;Thermionic-cathode tubes
H01J0017520000;with one cathode and one anode
H01J0017540000;having one or more control electrodes
H01J0017560000;for preventing and then permitting ignition, but thereafter having no control
H01J0017580000;with more than one cathode or anode
H01J0017600000;the discharge paths priming each other in a predetermined sequence, e.g. counting tube
H01J0017620000;with independent discharge paths controlled by intermediate electrodes, e.g. polyphase rectifier
H01J0017640000;Tubes specially designed for switching or modulating in a waveguide, e.g. TR box
H01J0019000000;Details of vacuum tubes of the types covered by group . H01J0021000000
H01J0019020000;Electron-emitting electrodes. Cathodes
H01J0019040000;Thermionic cathodes
H01J0019060000;characterised by the material
H01J0019062000;with alkaline-earth metal oxides, or such oxides used in conjunction with reducing agents, as an emissive material
H01J0019064000;with other metal oxides as an emissive material
H01J0019066000;with metals or alloys as an emissive material
H01J0019068000;with compounds having metallic conductive properties, e.g. lanthanum boride, as an emissive material
H01J0019080000;Cathodes heated directly by an electric current
H01J0019100000;characterised by the shape
H01J0019120000;Supports. Vibration-damping arrangements
H01J0019140000;Cathodes heated indirectly by an electric current. Cathodes heated by electron or ion bombardment
H01J0019160000;Heaters
H01J0019180000;Insulating layer or body located between heater and emissive material
H01J0019200000;Supports for the emissive material
H01J0019220000;Dispenser-type cathodes, e.g. L-cathode
H01J0019240000;Cold cathodes, e.g. field-emissive cathode
H01J0019280000;Non-electron-emitting electrodes. Screens
H01J0019300000;characterised by the material
H01J0019320000;Anodes
H01J0019340000;forming part of the envelope
H01J0019360000;Cooling of anodes
H01J0019380000;Control electrodes, e.g. grid
H01J0019400000;Screens for shielding
H01J0019420000;Mounting, supporting, spacing, or insulating of electrodes or of electrode assemblies
H01J0019440000;Insulation between electrodes or supports within the vacuum space
H01J0019460000;Mountings for the electrode assembly as a whole
H01J0019480000;Mountings for individual electrodes
H01J0019500000;Spacing members extending to the envelope
H01J0019520000;without fixed connection between spacing member and envelope
H01J0019540000;Vessels. Containers. Shields associated therewith
H01J0019560000;characterised by the material of the vessel or container
H01J0019570000;provided with coatings on the walls thereof. Selection of materials for the coatings
H01J0019580000;Seals between parts of vessels
H01J0019600000;Seals for leading-in conductors
H01J0019620000;Leading-in conductors
H01J0019640000;Means forming part of the tube for the purpose of supporting it
H01J0019660000;Means forming part of the tube for the purpose of providing electrical connection to it
H01J0019680000;Specified gas introduced into the tube at low pressure, e.g. for reducing or influencing space charge
H01J0019700000;Means for obtaining or maintaining the vacuum, e.g. by gettering
H01J0019720000;Tubulations therefor, e.g. for exhausting. Closures therefor
H01J0019740000;Cooling arrangements (cooling of anodes H01J0019360000)
H01J0019760000;Means structurally associated with the tube for indicating defects or previous use
H01J0019780000;One or more circuit elements structurally associated with the tube
H01J0019800000;Structurally associated resonator having distributed inductance and capacitance
H01J0019820000;Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for
H01J0021000000;Vacuum tubes (H01J0025000000, H01J0031000000-H01J0040000000, H01J0043000000, H01J0047000000, H01J0049000000¶ÿtake precedence.details of vacuum tubes H01J0019000000)
H01J0021020000;Tubes with a single discharge path
H01J0021040000;without control means, i.e. diodes
H01J0021060000;having electrostatic control means only
H01J0021080000;with movable electrode or electrodes
H01J0021100000;with one or more immovable internal control electrodes, e.g. triode, pentode, octode
H01J0021120000;Tubes with variable amplification factor
H01J0021140000;Tubes with means for concentrating the electron stream, e.g. beam tetrode
H01J0021160000;with external electrostatic control means and with or without internal control electrodes
H01J0021180000;having magnetic control means. having both magnetic and electrostatic control means
H01J0021200000;Tubes with more than one discharge path. Multiple tubes, e.g. double diode or triode-hexode
H01J0021220000;with movable electrode or electrodes
H01J0021240000;with variable amplification factor
H01J0021260000;with means for concentrating the electron stream
H01J0021340000;Tubes with electrode system arranged or dimensioned so as to eliminate transit-time effect (with flat electrodes H01J0021360000)
H01J0021360000;Tubes with flat electrodes, e.g. disc electrode
H01J0023000000;Details of transit-time tubes of the types covered by group . H01J0025000000
H01J0023020000;Electrodes. Magnetic control means. Screens (associated with resonator or delay system H01J0023160000)
H01J0023027000;Collectors
H01J0023033000;Collector cooling devices
H01J0023040000;Cathodes
H01J0023050000;having a cylindrical emissive surface, e.g. cathodes for magnetrons
H01J0023060000;Electron or ion guns
H01J0023065000;producing a solid cylindrical beam (H01J0023075000 takes precedence)..
H01J0023070000;producing a hollow cylindrical beam (H01J0023075000 takes precedence)..
H01J0023075000;Magnetron injection guns
H01J0023080000;Focusing arrangements, e.g. for concentrating stream of electrons, for preventing spreading of stream
H01J0023083000;Electrostatic focusing arrangements
H01J0023087000;Magnetic focusing arrangements
H01J0023090000;Electric systems for directing or deflecting the discharge along a desired path, e.g. E-type (focusing arrangements H01J0023080000)
H01J0023100000;Magnet systems for directing or deflecting the discharge along a desired path, e.g. a spiral path (magnetic focusing arrangements H01J0023080000)
H01J0023110000;Means for reducing noise (in electron or ion gun H01J0023060000)
H01J0023120000;Vessels. Containers
H01J0023140000;Leading-in arrangements. Seals therefor
H01J0023150000;Means for preventing wave energy leakage structurally associated with tube leading-in arrangements, e.g. filters, chokes, attenuating devices
H01J0023160000;Circuit elements, having distributed capacitance and inductance, structurally associated with the tube and interacting with the discharge
H01J0023180000;Resonators
H01J0023200000;Cavity resonators. Adjustment or tuning thereof
H01J0023207000;Tuning of single resonator
H01J0023213000;Simultaneous tuning of more than one resonator, e.g. resonant cavities of a magnetron
H01J0023220000;Connections between resonators, e.g. strapping for connecting resonators of a magnetron
H01J0023240000;Slow-wave structures
H01J0023260000;Helical slow-wave structures. Adjustment therefor
H01J0023270000;Helix-derived slow-wave structures
H01J0023280000;Interdigital slow-wave structures. Adjustment therefor
H01J0023300000;Damping arrangements associated with slow-wave structures, e.g. for suppression of unwanted oscillations
H01J0023340000;Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for
H01J0023360000;Coupling devices having distributed capacitance and inductance, structurally associated with the tube, for introducing or removing wave energy
H01J0023380000;to or from the discharge
H01J0023400000;to or from the interaction circuit
H01J0023420000;the interaction circuit being a helix or a helix-derived slow-wave structure (H01J0023440000-H01J0023480000.  take precedence)..
H01J0023440000;Rod-type coupling devices (H01J0023460000, H01J0023480000, H01J0023540000 take precedence)..
H01J0023460000;Loop coupling devices
H01J0023480000;for linking interaction circuit with coaxial lines. Devices of the coupled helices type (H01J0023460000 takes precedence)..
H01J0023500000;the interaction circuit being a helix or derived from a helix (H01J0023520000 takes precedence)..
H01J0023520000;the coupled helices being disposed coaxially around one another
H01J0023540000;Filtering devices preventing unwanted frequencies or modes to be coupled to, or out of, the interaction circuit. Prevention of high frequency leakage in the environment
H01J0025000000;Transit-time tubes, e.g. klystrons, travelling-wave tubes, magnetrons (details of transit-time tubes H01J0023000000. particle accelerators H05H)
H01J0025020000;Tubes with electron stream modulated in velocity or density in a modulator zone and thereafter giving-up energy in an inducing zone, the zones being associated with one or more resonators
H01J0025040000;Tubes having one or more resonators, without reflection of the electron stream, and in which the modulation produced in the modulator zone is mainly density modulation, e.g. Haeff tube
H01J0025060000;Tubes having only one resonator, without reflection of the electron stream, and in which the modulation produced in the modulator zone is mainly velocity modulation, e.g. LÇ¬di klystron
H01J0025080000;with electron stream perpendicular to the axis of the resonator
H01J0025100000;Klystrons, i.e. tubes having two or more resonators, without reflection of the electron stream, and in which the stream is modulated mainly by velocity in the zone of the input resonator
H01J0025110000;Extended interaction klystrons
H01J0025120000;with pencil-like electron stream in the axis of the resonators
H01J0025140000;with tube-like electron stream coaxial with the axis of the resonators
H01J0025160000;with pencil-like electron stream perpendicular to the axis of the resonators
H01J0025180000;with radial or disc-like electron stream perpendicular to the axis of the resonators
H01J0025200000;having special arrangements in the space between resonators, e.g. resistive-wall amplifier tube, space-charge amplifier tube, velocity-jump tube
H01J0025220000;Reflex klystrons, i.e. tubes having one or more resonators, with a single reflection of the electron stream, and in which the stream is modulated mainly by velocity in the modulator zone
H01J0025240000;in which the electron stream is in the axis of the resonator or resonators and is pencil-like before reflection
H01J0025260000;in which the electron stream is coaxial with the axis of the resonator or resonators and is tube-like before reflection
H01J0025280000;in which the electron stream is perpendicular to the axis of the resonator or resonators and is pencil-like before reflection
H01J0025300000;in which the electron stream is perpendicular to the axis of the resonator or resonators and is radial or disc-like before reflection
H01J0025320000;Tubes with plural reflection, e.g. Coeterier tube
H01J0025340000;Travelling-wave tubes. Tubes in which a travelling wave is simulated at spaced gaps
H01J0025360000;Tubes in which an electron stream interacts with a wave travelling along a delay line or equivalent sequence of impedance elements, and without magnet system producing an H-field crossing the E-field
H01J0025380000;the forward-travelling wave being utilised
H01J0025400000;the backward-travelling wave being utilised
H01J0025420000;Tubes in which an electron stream interacts with a wave travelling along a delay line or equivalent sequence of impedance elements, and with a magnet system producing an H-field crossing the E-field (with travelling wave moving completely around the electron space H01J0025500000)
H01J0025440000;the forward-travelling wave being utilised
H01J0025460000;the backward-travelling wave being utilised
H01J0025480000;Tubes in which two electron streams of different velocities interact with one another, e.g. electron-wave tube
H01J0025490000;Tubes using the parametric principle, e.g. for parametric amplification
H01J0025500000;Magnetrons, i.e. tubes with a magnet system producing an H-field crossing the E-field (with travelling wave not moving completely around the electron space H01J0025420000. functioning with plural reflection or with reversed cyclotron action H01J0025620000, H01J0025640000)
H01J0025520000;with an electron space having a shape that does not prevent any electron from moving completely around the cathode or guide electrode
H01J0025540000;having only one cavity or other resonator, e.g. neutrode tubes
H01J0025550000;Coaxial-cavity magnetrons
H01J0025560000;with interdigital arrangement of anodes, e.g. turbator tube
H01J0025580000;having a number of resonators. having a composite resonator, e.g. a helix
H01J0025587000;Multi-cavity magnetrons
H01J0025593000;Rising-sun magnetrons
H01J0025600000;with an electron space having a shape that prevents any electron from moving completely around the cathode or guide electrode. Linear magnetrons
H01J0025610000;Hybrid tubes, i.e. tubes comprising a klystron section and a travelling-wave section
H01J0025620000;Strophotrons, i.e. tubes with H-field crossing the E-field and functioning with plural reflection
H01J0025640000;Turbine tubes, i.e. tubes with H-field crossing the E-field and functioning with reversed cyclotron action
H01J0025660000;Tubes with electron stream crossing itself and thereby interrupting, or interfering with, itself
H01J0025680000;Tubes specially designed to act as oscillator with positive grid and retarding field, e.g. for Barkhausen-Kurz oscillators (with secondary emission H01J0025760000)
H01J0025700000;with resonator having distributed inductance and capacitance, e.g. Pintsch tube
H01J0025720000;in which a standing wave or a considerable part thereof is produced along an electrode, e.g. Clavier tube (with resonator having distributed inductance and capacitance H01J0025700000)
H01J0025740000;Tubes specially designed to act as transit-time diode oscillators, e.g. monotrons
H01J0025760000;Dynamic electron-multiplier tubes, e.g. Farnsworth multiplier tube, multipactor
H01J0025780000;Tubes with electron stream modulated by deflection in a resonator
H01J0027000000;Ion beam tubes (H01J0025000000, H01J0033000000, H01J0037000000 take precedence.particle accelerators H05H)
H01J0027020000;Ion sources. Ion guns
H01J0027040000;using reflex discharge, e.g. Penning ion sources
H01J0027060000;without applied magnetic field
H01J0027080000;using arc discharge
H01J0027100000;Duoplasmatrons
H01J0027120000;provided with an expansion cup
H01J0027140000;Other arc discharge ion sources using an applied magnetic field
H01J0027160000;using high-frequency excitation, e.g. microwave excitation
H01J0027180000;with an applied axial magnetic field
H01J0027200000;using particle bombardment, e.g. ionisers
H01J0027220000;Metal ion sources
H01J0027240000;using photo-ionisation, e.g. using laser beam
H01J0027260000;using surface ionisation, e.g. field effect ion sources, thermionic ion sources (H01J0027200000, H01J0027240000 take precedence)..
H01J0029000000;Details of cathode-ray tubes or of electron-beam tubes of the types covered by group . H01J0031000000
H01J0029020000;Electrodes. Screens. Mounting, supporting, spacing, or insulating thereof
H01J0029040000;Cathodes
H01J0029060000;Screens for shielding. Masks interposed in the electron stream
H01J0029070000;Shadow masks for colour-television tubes
H01J0029080000;Electrodes intimately associated with a screen on or from which an image or pattern is formed, picked-up, converted or stored, e.g. backing-plates for storage tubes or electrodes for collecting secondary electrons
H01J0029100000;Screens on, or from, which an image or pattern is formed, picked-up, converted, or stored
H01J0029120000;acting as light valves by shutter operation, e.g. for eidophor
H01J0029140000;acting by discolouration, e.g. halide screen
H01J0029160000;Incandescent screens
H01J0029180000;Luminescent screens
H01J0029200000;characterised by the luminescent material
H01J0029220000;characterised by the binder or adhesive for securing the luminescent material to its support, e.g. vessel
H01J0029240000;Supports for luminescent material
H01J0029260000;with superimposed luminescent layers
H01J0029280000;with protective, conductive, or reflective layers
H01J0029300000;with luminescent material discontinuously arranged, e.g. in dots or lines
H01J0029320000;with adjacent dots or lines of different luminescent material, e.g. for colour television
H01J0029340000;provided with permanent marks or references
H01J0029360000;Photoelectric screens. Charge-storage screens
H01J0029380000;not using charge storage, e.g. photo-emissive screen, extended cathode
H01J0029390000;Charge-storage screens
H01J0029410000;using secondary emission, e.g. for supericonoscope
H01J0029430000;using photo-emissive mosaic, e.g. for orthicon, for iconoscope
H01J0029440000;exhibiting internal electric effects caused by particle radiation, e.g. bombardment-induced conductivity
H01J0029450000;exhibiting internal electric effects caused by electromagnetic radiation, e.g. photoconductive screen, photodielectric screen, photovoltaic screen
H01J0029460000;Arrangements of electrodes and associated parts for generating or controlling the ray or beam, e.g. electron-optical arrangement
H01J0029480000;Electron guns
H01J0029500000;two or more guns being arranged in a single vacuum space, e.g. for plural-ray tubes (H01J0029510000 takes precedence)..
H01J0029510000;Arrangements for controlling convergence of a plurality of beams
H01J0029520000;Arrangements for controlling intensity of ray or beam, e.g. for modulation
H01J0029540000;Arrangements for centring ray or beam
H01J0029560000;Arrangements for controlling cross-section of ray or beam. Arrangements for correcting aberration of beam, e.g. due to lenses
H01J0029580000;Arrangements for focusing or reflecting ray or beam
H01J0029600000;Mirrors
H01J0029620000;Electrostatic lenses
H01J0029640000;Magnetic lenses
H01J0029660000;using electromagnetic means only
H01J0029680000;using permanent magnets only
H01J0029700000;Arrangements for deflecting ray or beam
H01J0029720000;along one straight line or along two perpendicular straight lines
H01J0029740000;Deflecting by electric fields only
H01J0029760000;Deflecting by magnetic fields only
H01J0029780000;along a circle, spiral, or rotating radial line, e.g. for radar display
H01J0029800000;Arrangements for controlling the ray or beam after passing the main deflection system, e.g. for post-acceleration or post-concentration, for colour switching
H01J0029810000;using shadow masks
H01J0029820000;Mounting, supporting, spacing, or insulating electron-optical or ion-optical arrangements
H01J0029840000;Traps for removing or diverting unwanted particles, e.g. negative ions or¶ÿfringing electrons. Arrangements for velocity or mass selection
H01J0029860000;Vessels. Containers. Vacuum locks
H01J0029870000;Arrangements for preventing or mitigating effects of implosion of vessels or containers
H01J0029880000;provided with coatings on the walls thereof. Selection of materials for the coatings
H01J0029890000;Optical or photographic arrangements structurally combined with the vessel
H01J0029900000;Leading-in arrangements. Seals therefor
H01J0029920000;Means forming part of the tube for the purpose of providing electrical connection to it
H01J0029940000;Selection of substances for gas fillings. Means for obtaining or maintaining the desired pressure within the tube, e.g. by gettering
H01J0029960000;One or more circuit elements structurally associated with the tube
H01J0029980000;Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for
H01J0031000000;Cathode-ray tubes. Electron-beam tubes (H01J0025000000, H01J0033000000, H01J0035000000, H01J0037000000¶ÿtake precedence.details of cathode-ray tubes or of electron-beam tubes H01J0029000000)
H01J0031020000;having one or more output electrodes which may be impacted selectively by the ray or beam, and onto, from, or over which the ray or beam may be deflected or de-focused
H01J0031040000;with only one or two output electrodes
H01J0031060000;with more than two output electrodes, e.g. for multiple switching or counting
H01J0031080000;having a screen on or from which an image or pattern is formed, picked-up, converted, or stored
H01J0031100000;Image or pattern display tubes, i.e. having electrical input and optical output. Flying-spot tubes for scanning purposes
H01J0031120000;with luminescent screen
H01J0031140000;Magic-eye or analogous tuning indicators
H01J0031150000;with ray or beam selectively directed to luminescent anode segments
H01J0031160000;with mask carrying a number of selectively displayable signs, e.g. numeroscope
H01J0031180000;with image written by a ray or beam on a grid-like charge-accumulating screen, and with a ray or beam passing through, and influenced by, this screen before striking the luminescent screen, e.g. direct-view storage tube
H01J0031200000;for displaying images or patterns in two or more colours
H01J0031220000;for stereoscopic displays
H01J0031240000;with screen acting as light valve by shutter operation, e.g. eidophor
H01J0031260000;Image pick-up tubes having an input of visible light and electric output (tubes without defined electron beams and having a light ray scanning a photo-emissive screen H01J0040200000)
H01J0031280000;with electron ray scanning the image screen
H01J0031300000;having regulation of screen potential at anode potential, e.g. iconoscope
H01J0031320000;Tubes with image-amplification section, e.g. image-iconoscope, supericonoscope
H01J0031340000;having regulation of screen potential at cathode potential, e.g. orthicon
H01J0031360000;Tubes with image-amplification section, e.g. image-orthicon
H01J0031380000;Tubes with photoconductive screen, e.g. vidicon
H01J0031400000;"having grid-like image screen through which the electron ray passes and by which the ray is influenced before striking the output electrode, i.e. having ""triode action"""
H01J0031420000;with image screen generating a composite electron beam which is deflected as a whole past a stationary probe to simulate a scanning effect, e.g. Farnsworth pick-up tube
H01J0031440000;Tubes with image-amplification section
H01J0031460000;Tubes in which electrical output represents both intensity and colour of image
H01J0031480000;Tubes with amplification of output effected by electron-multiplier arrangements within the vacuum space
H01J0031490000;Pick-up tubes adapted for an input of electromagnetic radiation other than visible light and having an electric output, e.g. for an input of X-rays, for an input of infra-red radiation
H01J0031495000;Pick-up tubes adapted for an input of sonic, ultrasonic, or mechanical vibrations and having an electric output
H01J0031500000;Image-conversion or image-amplification tubes, i.e. having optical, X-ray, or analogous input, and optical output
H01J0031520000;"having grid-like image screen through which the electron ray or beam passes and by which the ray or beam is influenced before striking the luminescent output screen, i.e. having ""triode action"""
H01J0031540000;in which the electron ray or beam is reflected by the image input screen on to the image output screen
H01J0031560000;for converting or amplifying images in two or more colours
H01J0031580000;Tubes for storage of image or information pattern or for conversion of definition of television or like images, i.e. having electrical input and electrical output
H01J0031600000;having means for deflecting, either selectively or sequentially, an electron ray on to separate surface elements of the screen (by circuitry alone H01J0029980000)
H01J0031620000;with separate reading and writing rays
H01J0031640000;on opposite sides of screen, e.g. for conversion of definition
H01J0031660000;having means for allowing all but selected cross-section elements of a homogeneous electron beam to reach corresponding elements of the screen, e.g. selectron
H01J0031680000;in which the information pattern represents two or more colours
H01J0033000000;Discharge tubes with provision for emergence of electrons or ions from the vessel (particle accelerators H05H). Lenard tubes
H01J0033020000;Details
H01J0033040000;Windows
H01J0035000000;X-ray tubes
H01J0035020000;Details
H01J0035040000;Electrodes
H01J0035060000;Cathodes
H01J0035080000;Anodes. Anticathodes
H01J0035100000;Rotary anodes. Arrangements for rotating anodes. Cooling rotary anodes
H01J0035120000;Cooling non-rotary anodes
H01J0035140000;Arrangements for concentrating, focusing, or directing the cathode ray
H01J0035160000;Vessels. Containers. Shields associated therewith
H01J0035180000;Windows
H01J0035200000;Selection of substances for gas fillings. Means for obtaining or maintaining the desired pressure within the tube, e.g. by gettering
H01J0035220000;specially designed for passing a very high current for a very short time, e.g. for flash operation
H01J0035240000;Tubes wherein the point of impact of the cathode ray on the anode or anticathode is movable relative to the surface thereof
H01J0035260000;by rotation of the anode or anticathode
H01J0035280000;by vibration, oscillation, reciprocation, or swash-plate motion of the anode or anticathode
H01J0035300000;by deflection of the cathode ray
H01J0035320000;Tubes wherein the X-rays are produced at or near the end of the tube or a part thereof, which tube or part has a small cross-section to facilitate introduction into a small hole or cavity
H01J0037000000;Discharge tubes with provision for introducing objects or material to be exposed to the discharge, e.g. for the purpose of examination or processing thereof (H01J0033000000, H01J0040000000, H01J0041000000, H01J0047000000, H01J0049000000¶ÿtake precedence)..
H01J0037020000;Details
H01J0037040000;Arrangements of electrodes and associated parts for generating or controlling the discharge, e.g. electron-optical arrangement, ion-optical arrangement
H01J0037050000;Electron- or ion-optical arrangements for separating electrons or ions according to their energy (particle separator tubes H01J0049000000)
H01J0037060000;Electron sources. Electron guns
H01J0037063000;Geometrical arrangement of electrodes for beam-forming
H01J0037065000;Construction of guns or parts thereof (H01J0037067000-H01J0037077000.  take precedence)..
H01J0037067000;Replacing parts of guns. Mutual adjustment of electrodes (H01J0037073000-H01J0037077000.  take precedence.vacuum locks H01J0037180000)
H01J0037070000;Eliminating deleterious effects due to thermal effects or electric or magnetic fields (H01J0037073000-H01J0037077000.  take precedence)..
H01J0037073000;Electron guns using field emission, photo emission, or secondary emission electron sources
H01J0037075000;Electron guns using thermionic emission from cathodes heated by particle bombardment or by irradiation, e.g. by laser
H01J0037077000;Electron guns using discharge in gases or vapours as electron sources
H01J0037080000;Ion sources. Ion guns
H01J0037090000;Diaphragms. Shields associated with electron- or ion-optical arrangements. Compensation of disturbing fields
H01J0037100000;Lenses
H01J0037120000;electrostatic
H01J0037140000;magnetic
H01J0037141000;Electromagnetic lenses
H01J0037143000;Permanent magnetic lenses
H01J0037145000;Combinations of electrostatic and magnetic lenses
H01J0037147000;Arrangements for directing or deflecting the discharge along a desired path (lenses H01J0037100000)
H01J0037150000;External mechanical adjustment of electron- or ion-optical components (H01J0037067000, H01J0037200000 take precedence)..
H01J0037153000;Electron-optical or ion-optical arrangements for the correction of image defects, e.g. stigmators
H01J0037160000;Vessels. Containers
H01J0037180000;Vacuum locks
H01J0037200000;Means for supporting or positioning the object or the material. Means for adjusting diaphragms or lenses associated with the support
H01J0037210000;Means for adjusting the focus
H01J0037220000;Optical or photographic arrangements associated with the tube
H01J0037240000;Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for
H01J0037244000;Detectors. Associated components or circuits therefor
H01J0037248000;Components associated with high voltage supply
H01J0037252000;Tubes for spot-analysing by electron or ion beams. Microanalysers
H01J0037256000;using scanning beams
H01J0037260000;Electron or ion microscopes. Electron- or ion-diffraction tubes
H01J0037270000;Shadow microscopy
H01J0037280000;with scanning beams
H01J0037285000;Emission microscopes, e.g. field-emission microscopes
H01J0037290000;Reflection microscopes
H01J0037295000;Electron- or ion-diffraction tubes
H01J0037300000;Electron-beam or ion-beam tubes for localised treatment of objects
H01J0037301000;Arrangements enabling beams to pass between regions of different pressure
H01J0037302000;Controlling tubes by external information, e.g. programme control (H01J0037304000 takes precedence)..
H01J0037304000;Controlling tubes by information coming from the objects, e.g. correction signals
H01J0037305000;for casting, melting, evaporating, or etching
H01J0037310000;for cutting or drilling
H01J0037315000;for welding
H01J0037317000;for changing properties of the objects or for applying thin layers thereon, e.g. ion implantation (H01J0037360000 takes precedence)..
H01J0037320000;Gas-filled discharge tubes (heating by discharge H05B)
H01J0037340000;operating with cathodic sputtering (H01J0037360000 takes precedence)..
H01J0037360000;for cleaning surfaces while plating with ions of materials introduced into the discharge, e.g. introduced by evaporation
H01J0040000000;Photoelectric discharge tubes not involving the ionisation of a gas (H01J0049000000¶ÿtakes precedence)..
H01J0040020000;Details
H01J0040040000;Electrodes
H01J0040060000;Photo-emissive cathodes
H01J0040080000;Magnetic means for controlling discharge
H01J0040100000;Selection of substances for gas fillings
H01J0040120000;One or more circuit elements structurally associated with the tube
H01J0040140000;Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for
H01J0040160000;having photo-emissive cathode, e.g. alkaline photoelectric cell (operating with secondary emission H01J0043000000)
H01J0040180000;with luminescent coatings for influencing the sensitivity of the tube, e.g. by converting the input wavelength
H01J0040200000;wherein a light-ray scans a photo-emissive screen
H01J0041000000;Discharge tubes and means integral therewith for measuring gas pressure. Discharge tubes for evacuation by diffusion of ions
H01J0041020000;Discharge tubes and means integral therewith for measuring gas pressure
H01J0041040000;with ionisation by means of thermionic cathodes
H01J0041060000;with ionisation by means of cold cathodes
H01J0041080000;with ionisation by means of radioactive substances, e.g. alphatrons
H01J0041100000;of particle-spectrometer type (particle spectrometers in general H01J0049000000)
H01J0041120000;Discharge tubes for evacuating by diffusion of ions, e.g. ion pumps, getter ion pumps
H01J0041140000;with ionisation by means of thermionic cathodes
H01J0041160000;using gettering substances
H01J0041180000;with ionisation by means of cold cathodes
H01J0041200000;using gettering substances
H01J0043000000;Secondary-emission tubes. Electron-multiplier tubes (dynamic electron-multiplier tubes H01J0025760000)
H01J0043020000;Tubes in which one or a few electrodes are secondary-electron-emitting electrodes
H01J0043040000;Electron multipliers
H01J0043060000;Electrode arrangements
H01J0043080000;Cathode arrangements (construction of photo cathodes H01J0040060000, H01J0040160000, H01J0047000000, H01J0049080000)
H01J0043100000;Dynodes (H01J0043240000, H01J0043260000¶ÿtake precedence)..
H01J0043120000;Anode arrangements
H01J0043140000;Control of electron beam by magnetic field
H01J0043160000;Electrode arrangements using essentially one dynode
H01J0043180000;Electrode arrangements using essentially more than one dynode
H01J0043200000;Dynodes consisting of sheet material, e.g. plane, bent
H01J0043220000;Dynodes consisting of electron-permeable material, e.g. foil, grid, tube, venetian blind
H01J0043240000;Dynodes having potential gradient along their surfaces
H01J0043260000;Box dynodes
H01J0043280000;Vessels. Windows. Screens. Suppressing undesired discharges or currents
H01J0043300000;Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for
H01J0045000000;Discharge tubes functioning as thermionic generators
H01J0047000000;Tubes for determining the presence, intensity, density or energy of radiation or particles (photoelectric discharge tubes not involving the ionisation of a gas H01J0040000000)
H01J0047020000;Ionisation chambers
H01J0047040000;Capacitive ionisation chambers, e.g. the electrodes of which are used as electrometers
H01J0047060000;Proportional counter tubes
H01J0047080000;Geiger-MÇ¬ller counter tubes
H01J0047100000;Spark counters (H01J0047140000 takes precedence.spark gaps H01T)
H01J0047120000;Neutron detector tubes, e.g. BF. 3 tubes
H01J0047140000;Parallel electrode spark or streamer chambers. Wire spark or streamer chambers
H01J0047160000;characterised by readout of each individual wire
H01J0047180000;the readout being electrical (H01J0047200000 takes precedence)..
H01J0047200000;the readout employing electrical or mechanical delay lines, e.g. magnetostrictive delay lines
H01J0047220000;characterised by another type of readout
H01J0047240000;the readout being acoustical
H01J0047260000;the readout being optical
H01J0049000000;Particle spectrometers or separator tubes
H01J0049020000;Details
H01J0049040000;Arrangements for introducing or extracting samples to be analysed, e.g. vacuum locks. Arrangements for external adjustment of electron- or ion-optical components
H01J0049060000;Electron- or ion-optical arrangements (H01J0049040000 takes precedence)..
H01J0049080000;Electron sources, e.g. for generating photo-electrons, secondary electrons or Auger electrons
H01J0049100000;Ion sources. Ion guns
H01J0049120000;using an arc discharge, e.g. of the duoplasmatron type
