G;SECTION G PHYSICS
G01N0029480000;by amplitude comparison
G01N0029500000;using auto-correlation techniques or cross-correlation techniques
G01N0029520000;using inversion methods other than spectral analysis, e.g. conjugated gradient inversion
G01N0030000000;Investigating or analysing materials by separation into components using adsorption, absorption or similar phenomena or using ion-exchange, e.g. chromatography (G01N0003000000-G01N0029000000.  take precedence)..
G01N0030020000;Column chromatography
G01N0030040000;Preparation or injection of sample to be analysed
G01N0030060000;Preparation
G01N0030080000;using an enricher
G01N0030100000;using a splitter
G01N0030120000;by evaporation
G01N0030140000;by elimination of some components
G01N0030160000;Injection (G01N0030240000 takes precedence)..
G01N0030180000;using a septum or microsyringe
G01N0030200000;using a sampling valve
G01N0030220000;in high pressure liquid systems
G01N0030240000;Automatic injection systems
G01N0030260000;Conditioning of the fluid carrier. Flow patterns
G01N0030280000;Control of physical parameters of the fluid carrier
G01N0030300000;of temperature
G01N0030320000;of pressure or speed (G01N0030360000 takes precedence)..
G01N0030340000;of fluid composition, e.g. gradient (G01N0030360000 takes precedence)..
G01N0030360000;in high pressure liquid systems
G01N0030380000;Flow patterns
G01N0030400000;using back flushing
G01N0030420000;using counter-current
G01N0030440000;using recycling of the fraction to be distributed
G01N0030460000;using more than one column
G01N0030500000;Conditioning of the sorbent material or stationary liquid
G01N0030520000;Physical parameters
G01N0030540000;Temperature
G01N0030560000;Packing methods or coating methods
G01N0030580000;the sorbent moving as a whole
G01N0030600000;Construction of the column
G01N0030620000;Detectors specially adapted therefor
G01N0030640000;Electrical detectors
G01N0030660000;Thermal conductivity detectors
G01N0030680000;Flame ionisation detectors
G01N0030700000;Electron capture detectors (G01N0030680000 takes precedence)..
G01N0030720000;Mass spectrometers
G01N0030740000;Optical detectors
G01N0030760000;Acoustical detectors
G01N0030780000;using more than one detector
G01N0030800000;Fraction collectors
G01N0030820000;Automatic means therefor
G01N0030840000;Preparation of the fraction to be distributed
G01N0030860000;Signal analysis
G01N0030880000;Integrated analysis systems specially adapted therefor, not covered by a single one of groups . G01N0030040000-G01N0030860000
G01N0030890000;Inverse chromatography, i.e. with the analyte in stationary phase
G01N0030900000;Plate chromatography, e.g. thin layer or paper chromatography
G01N0030910000;Application of the sample
G01N0030920000;Construction of the plate
G01N0030930000;Application of the sorbent layer
G01N0030940000;Development
G01N0030950000;Detectors specially adapted therefor. Signal analysis
G01N0030960000;using ion-exchange (G01N0030020000, G01N0030900000 take precedence)..
G01N0031000000;Investigating or analysing non-biological materials by the use of the chemical methods specified in the subgroups. Apparatus specially adapted for such methods
G01N0031020000;using precipitation
G01N0031100000;using catalysis
G01N0031120000;using combustion (G01N0025200000 takes precedence)..
G01N0031160000;using titration
G01N0031180000;Burettes specially adapted for titration
G01N0031200000;using micro-analysis, e.g. drop reaction
G01N0031220000;using chemical indicators (G01N0031020000 takes precedence)..
G01N0033000000;Investigating or analysing materials by specific methods not covered by groups . G01N0001000000-G01N0031000000
G01N0033020000;Food
G01N0033030000;Edible oils or edible fats
G01N0033040000;Dairy products
G01N0033060000;Determining fat content, e.g. by butyrometer
G01N0033080000;Eggs, e.g. by candling
G01N0033100000;Starch-containing substances, e.g. dough
G01N0033120000;Meat. fish
G01N0033140000;Beverages
G01N0033150000;Medicinal preparations
G01N0033180000;Water
G01N0033200000;Metals
G01N0033220000;Fuels. explosives
G01N0033240000;Earth materials (G01N0033420000 takes precedence)..
G01N0033260000;Oils. viscous liquids. paints. inks (G01N0033220000 takes precedence)..
G01N0033280000;Oils (edible oils or edible fats G01N0033030000)
G01N0033300000;for lubricating properties
G01N0033320000;Paints. inks
G01N0033340000;Paper
G01N0033360000;Textiles
G01N0033380000;Concrete. lime. mortar. gypsum. bricks. ceramics. glass
G01N0033400000;Grinding-materials
G01N0033420000;Road-making materials (G01N0033380000 takes precedence)..
G01N0033440000;Resins. plastics. rubber. leather
G01N0033460000;Wood
G01N0033480000;Biological material, e.g. blood, urine (G01N0033020000, G01N0033260000, G01N0033440000, G01N0033460000 take precedence)..Haemocytometers (counting blood corpuscules distributed over a surface by scanning the surface G06M0011020000)
G01N0033483000;Physical analysis of biological material
G01N0033487000;of liquid biological material
G01N0033490000;blood
G01N0033493000;urine
G01N0033497000;of gaseous biological material, e.g. breath
G01N0033500000;Chemical analysis of biological material, e.g. blood, urine. Testing involving biospecific ligand binding methods. Immunological testing (measuring or testing processes other than immunological involving enzymes or micro-organisms, compositions or test papers thereforprocesses of forming such compositions, condition responsive control in microbiological or enzymological processes C12Q)
G01N0033520000;Use of compounds or compositions for colorimetric, spectrophotometric or fluorometric investigation, e.g. use of reagent paper
G01N0033530000;Immunoassay. Biospecific binding assay. Materials therefor
G01N0033531000;Production of immunochemical test materials
G01N0033532000;Production of labelled immunochemicals
G01N0033533000;with fluorescent label
G01N0033534000;with radioactive label
G01N0033535000;with enzyme label
G01N0033536000;with immune complex formed in liquid phase
G01N0033537000;with separation of immune complex from unbound antigen or antibody
G01N0033538000;by sorbent column, particles or resin strip
G01N0033539000;involving precipitating reagent
G01N0033541000;Double or second antibody
G01N0033542000;with steric inhibition or signal modification, e.g. fluorescent quenching
G01N0033543000;with an insoluble carrier for immobilising immunochemicals
G01N0033544000;the carrier being organic
G01N0033545000;Synthetic resin
G01N0033546000;as water suspendable particles
G01N0033547000;with antigen or antibody attached to the carrier . via a bridging agent
G01N0033548000;Carbohydrates, e.g. dextran
G01N0033549000;with antigen or antibody entrapped within the carrier
G01N0033551000;the carrier being inorganic
G01N0033552000;Glass or silica
G01N0033553000;Metal or metal coated
G01N0033554000;the carrier being a biological cell or cell fragment, e.g. bacteria, yeast cells
G01N0033555000;Red blood cell
G01N0033556000;Fixed or stabilised red blood cell
G01N0033557000;using kinetic measurement, i.e. time rate of progress of an antigen-antibody interaction
G01N0033558000;using diffusion or migration of antigen or antibody
G01N0033559000;through a gel, e.g. Ouchterlony technique
G01N0033561000;Immunoelectrophoresis
G01N0033563000;involving antibody fragments
G01N0033564000;for pre-existing immune complex or autoimmune disease
G01N0033566000;using specific carrier or receptor proteins as ligand binding reagent
G01N0033567000;utilising isolate of tissue or organ as binding agent
G01N0033569000;for micro-organisms, e.g. protozoa, bacteria, viruses
G01N0033571000;for venereal disease, e.g. syphilis, gonorrhoea, herpes
G01N0033573000;for enzymes or isoenzymes
G01N0033574000;for cancer
G01N0033576000;for hepatitis
G01N0033577000;involving monoclonal antibodies
G01N0033579000;involving limulus lysate
G01N0033580000;involving labelled substances (G01N0033530000 takes precedence)..
G01N0033600000;involving radioactive labelled substances
G01N0033620000;involving urea
G01N0033640000;involving ketones
G01N0033660000;involving blood sugars, e.g. galactose
G01N0033680000;involving proteins, peptides or amino acids
G01N0033700000;involving creatine or creatinine
G01N0033720000;involving blood pigments, e.g. hemoglobin, bilirubin
G01N0033740000;involving hormones
G01N0033760000;Human chorionic gonadotropin
G01N0033780000;Thyroid gland hormones
G01N0033800000;involving blood groups or blood types
G01N0033820000;involving vitamins
G01N0033840000;involving inorganic compounds or pH
G01N0033860000;involving blood coagulating time
G01N0033880000;involving prostaglandins
G01N0033900000;involving iron binding capacity of blood
G01N0033920000;involving lipids, e.g. cholesterol
G01N0033940000;involving narcotics
G01N0033960000;involving blood or serum control standard
G01N0033980000;involving alcohol, e.g. ethanol in breath
G01N0035000000;Automatic analysis not limited to methods or materials provided for in any single one of groups . G01N0001000000-G01N0033000000. Handling materials therefor
G01N0035020000;using a plurality of sample containers moved by a conveyor system past one or more treatment or analysis stations
G01N0035040000;Details of the conveyor system
G01N0035080000;using a stream of discrete samples flowing along a tube system, e.g. flow injection analysis
G01N0035100000;Devices for transferring samples to, in, or from, the analysis apparatus, e.g. suction devices, injection devices
G01N0037000000;Details not covered by any other group of this subclass
G01P;MEASURING LINEAR OR ANGULAR SPEED, ACCELERATION, DECELERATION OR SHOCK. INDICATING PRESENCE OR ABSENCE OF MOVEMENT.  INDICATING DIRECTION OF MOVEMENT  (measuring angular rate using gyroscopic effects G01C0019000000. combined measuring devices for measuring two or more variables of movement G01C0023000000. measuring velocity of sound G01H0005000000. measuring velocity of light G01J0007000000. determining direction or velocity of solid objects by reflection or reradiation of radio or other waves and based on propagation effects, e.g. Doppler effect, propagation time or direction of propagation, G01S. measuring speed of nuclear radiation G01T)
G01P0001000000;Details of instruments
G01P0001020000;Housings
G01P0001040000;Special adaptations of driving means
G01P0001070000;Indicating devices, e.g. for remote indication
G01P0001080000;Arrangements of scales, pointers, lamps, or acoustic indicators, e.g. in automobile speedometers
G01P0001100000;for indicating predetermined speeds
G01P0001110000;by the detection of the position of the indicator needle
G01P0001120000;Recording devices
G01P0001140000;for permanent recording
G01P0001160000;for erasable recording, e.g. magnetic recording
G01P0003000000;Measuring linear or angular speed. Measuring differences of linear or angular speeds (G01P0005000000-G01P0011000000.  take precedence.measuring angular rate using gyroscopic effects G01C0019000000)
G01P0003020000;Devices characterised by the use of mechanical means
G01P0003040000;by comparing two speeds
G01P0003060000;using a friction gear
G01P0003080000;using differential gearing
G01P0003100000;by actuating an indicating element, e.g. pointer, for a fixed time
G01P0003120000;by making use of a system excited by impact
G01P0003140000;by exciting one or more mechanical resonance systems
G01P0003160000;by using centrifugal forces of solid masses
G01P0003180000;transferred to the indicator by mechanical means
G01P0003200000;transferred to the indicator by fluid means
G01P0003220000;transferred to the indicator by electric or magnetic means
G01P0003240000;by using friction effects (G01P0003060000 takes precedence)..
G01P0003260000;Devices characterised by the use of fluids
G01P0003280000;by using pumps
G01P0003300000;by using centrifugal forces of fluids
G01P0003320000;in a rotary container communicating with a fixed container
G01P0003340000;by using friction effects
G01P0003360000;Devices characterised by the use of optical means, e.g. using infra-red, visible, or ultra-violet light (G01P0003680000 takes precedence)..
G01P0003380000;using photographic means
G01P0003400000;using stroboscopic means
G01P0003420000;Devices characterised by the use of electric or magnetic means (G01P0003660000 takes precedence)..
G01P0003440000;for measuring angular speed (G01P0003560000 takes precedence)..
G01P0003460000;by measuring amplitude of generated current or voltage
G01P0003480000;by measuring frequency of generated current or voltage
G01P0003481000;of pulse signals
G01P0003482000;delivered by nuclear radiation detectors
G01P0003483000;delivered by variable capacitance detectors
G01P0003484000;delivered by contact-making switches
G01P0003486000;delivered by photo-electric detectors
G01P0003487000;delivered by rotating magnets
G01P0003488000;delivered by variable reluctance detectors
G01P0003489000;Digital circuits therefor
G01P0003490000;using eddy currents
G01P0003495000;where the indicating means responds to forces produced by the eddy currents and the generating magnetic field
G01P0003500000;for measuring linear speed (G01P0003560000 takes precedence)..
G01P0003520000;by measuring amplitude of generated current or voltage
G01P0003540000;by measuring frequency of generated current or voltage
G01P0003560000;for comparing two speeds
G01P0003580000;by measuring or comparing amplitudes of generated currents or voltages
G01P0003600000;by measuring or comparing frequency of generated currents or voltages
G01P0003620000;Devices characterised by the determination of the variation of atmospheric pressure with height to measure the vertical components of speed
G01P0003640000;Devices characterised by the determination of the time taken to traverse a fixed distance
G01P0003660000;using electric or magnetic means (G01P0003800000 takes precedence)..
G01P0003680000;using optical means, i.e. using infra-red, visible, or ultra-violet light (G01P0003800000 takes precedence)..
G01P0003800000;using auto-correlation or cross-correlation detection means
G01P0005000000;Measuring speed of fluids, e.g. of air stream. Measuring speed of bodies relative to fluids, e.g. of ship, of aircraft (application of speed-measuring devices for measuring volume of fluids G01F)
G01P0005010000;by using swirlflowmeter
G01P0005020000;by measuring forces exerted by the fluid on solid bodies, e.g. anemometer
G01P0005040000;using deflection of baffle-plates
G01P0005060000;using rotation of vanes
G01P0005070000;with electrical coupling to the indicating device
G01P0005080000;by measuring variation of an electric variable directly affected by the flow, e.g. by using dynamo-electric effect
G01P0005100000;by measuring thermal variables
G01P0005120000;using variation of resistance of a heated conductor
G01P0005140000;by measuring differences of pressure in the fluid
G01P0005160000;using Pitot tubes
G01P0005165000;Arrangements or constructions of Pitot tubes
G01P0005170000;Coupling arrangements to the indicating device
G01P0005175000;with the determination of Mach number
G01P0005180000;by measuring the time taken by the fluid to traverse a fixed distance
G01P0005200000;using particles entrained by a fluid stream (G01P0005220000 takes precedence)..
G01P0005220000;using auto-correlation or cross-correlation detection means
G01P0005240000;by measuring the direct influence of the streaming fluid on the properties of a detecting acoustical wave
G01P0005260000;by measuring the direct influence of the streaming fluid on the properties of a detecting optical wave
G01P0007000000;Measuring speed by integrating acceleration (inertial navigation, i.e. calculating position or speed aboard the object being navigated, by integration of speed or acceleration G01C0021160000)
G01P0011000000;Measuring average value of speed (by determining time taken to traverse a fixed distance G01P0003640000, G01P0005180000)
G01P0011020000;Measuring average speed of a number of bodies, e.g. of vehicles for traffic control
G01P0013000000;Indicating or recording presence or absence of movement. Indicating or recording of direction of movement
G01P0013020000;Indicating direction only, e.g. by weather vane
G01P0013040000;Indicating positive or negative direction of a linear movement or clockwise or anti-clockwise direction of a rotational movement
G01P0015000000;Measuring acceleration. Measuring deceleration. Measuring shock, i.e. sudden change of acceleration
G01P0015020000;by making use of inertia forces (G01P0015140000 takes precedence)..
G01P0015030000;by using non-electrical means
G01P0015040000;for indicating maximum value
G01P0015060000;using members subjected to a permanent deformation
G01P0015080000;with conversion into electric or magnetic values
G01P0015090000;by piezo-electric pick-up
G01P0015093000;by photoelectric pick-up
G01P0015097000;by vibratory elements
G01P0015100000;by vibratory strings
G01P0015105000;by magnetically sensitive devices
G01P0015110000;by inductive pick-up
G01P0015120000;by alteration of electrical resistance
G01P0015125000;by capacitive pick-up
G01P0015130000;by measuring the force required to restore a proofmass subjected to inertial forces to a null position
G01P0015135000;by making use of contacts which are actuated by a movable inertial mass
G01P0015140000;by making use of gyroscopes
G01P0015160000;by evaluating the time-derivative of a measured speed signal
G01P0015180000;in two or more dimensions
G01P0021000000;Testing or calibrating of apparatus or devices covered by the other groups of this subclass
G01P0021020000;of speedometers
G01Q;SCANNING-PROBE TECHNIQUES OR APPARATUS. APPLICATIONS OF SCANNING-PROBE TECHNIQUES, e.g. SCANNING-PROBE MICROSCOPY [SPM]
G01Q0010000000;Scanning or positioning arrangements, i.e. arrangements for actively controlling the movement or position of the probe
G01Q0010020000;Coarse scanning or positioning
G01Q0010040000;Fine scanning or positioning
G01Q0010060000;Circuits or algorithms therefor
G01Q0020000000;Monitoring the movement or position of the probe
G01Q0020020000;by optical means
G01Q0020040000;Self-detecting probes, i.e. wherein the probe itself generates a signal representative of its position, e.g. piezo-electric gauge
G01Q0030000000;Auxiliary means serving to assist or improve the scanning probe techniques or apparatus, e.g. display or data processing devices
G01Q0030020000;Non-SPM analysing devices, e.g. SEM [Scanning Electron Microscope], spectrometer or optical microscope
G01Q0030040000;Display or data processing devices
G01Q0030060000;for error compensation
G01Q0030080000;Means for establishing or regulating a desired environmental condition within a sample chamber
G01Q0030100000;Thermal environment
G01Q0030120000;Fluid environment
G01Q0030140000;Liquid environment
G01Q0030160000;Vacuum environment
G01Q0030180000;Means for protecting or isolating the interior of a sample chamber from external environmental conditions or influences, e.g. vibrations or electromagnetic fields
G01Q0030200000;Sample handling devices or methods
G01Q0040000000;Calibration, e.g. of probes
G01Q0040020000;Calibration standards or methods of fabrication thereof
G01Q0060000000;Particular types of SPM [Scanning-Probe Microscopy] or apparatus therefor. Essential components thereof
G01Q0060020000;Multiple-type SPM, i.e. involving two or more SPM techniques
G01Q0060040000;STM [Scanning Tunnelling Microscopy] combined with AFM [Atomic Force Microscopy]
G01Q0060060000;SNOM [Scanning Near-field Optical Microscopy] combined with AFM [Atomic Force Microscopy]
G01Q0060080000;MFM [Magnetic Force Microscopy] combined with AFM [Atomic Force Microscopy]
G01Q0060100000;STM [Scanning Tunnelling Microscopy] or apparatus therefor, e.g. STM probes
G01Q0060120000;STS [Scanning Tunnelling Spectroscopy]
G01Q0060140000;STP [Scanning Tunnelling Potentiometry]
G01Q0060160000;Probes, their manufacture or their related instrumentation, e.g. holders
G01Q0060180000;SNOM [Scanning Near-Field Optical Microscopy] or apparatus therefor, e.g. SNOM probes
G01Q0060200000;Fluorescence
G01Q0060220000;Probes, their manufacture or their related instrumentation, e.g. holders
G01Q0060240000;AFM [Atomic Force Microscopy] or apparatus therefor, e.g. AFM probes
G01Q0060260000;Friction force microscopy
G01Q0060280000;Adhesion force microscopy
G01Q0060300000;Scanning potential microscopy
G01Q0060320000;AC mode
G01Q0060340000;Tapping mode
G01Q0060360000;DC mode
G01Q0060380000;Probes, their manufacture or their related instrumentation, e.g. holders
G01Q0060400000;Conductive probes
G01Q0060420000;Functionalisation
G01Q0060440000;SICM [Scanning Ion-Conductance Microscopy] or apparatus therefor, e.g. SICM probes
G01Q0060460000;SCM [Scanning Capacitance Microscopy] or apparatus therefor, e.g. SCM probes
G01Q0060480000;Probes, their manufacture or their related instrumentation, e.g. holders
G01Q0060500000;MFM [Magnetic Force Microscopy] or apparatus therefor, e.g. MFM probes
G01Q0060520000;Resonance
G01Q0060540000;Probes, their manufacture or their related instrumentation, e.g. holders
G01Q0060560000;Probes with magnetic coating
G01Q0060580000;SThM [Scanning Thermal Microscopy] or apparatus therefor, e.g. SThM probes
G01Q0060600000;SECM [Scanning Electro-Chemical Microscopy] or apparatus therefor, e.g. SECM probes
G01Q0070000000;General aspects of SPM probes, their manufacture or their related instrumentation, insofar as they are not specially adapted to a single SPM technique covered by group . G01Q0060000000
G01Q0070020000;Probe holders
G01Q0070040000;with compensation for temperature or vibration induced errors
G01Q0070060000;Probe tip arrays
G01Q0070080000;Probe characteristics
G01Q0070100000;Shape or taper
G01Q0070120000;Nano-tube tips
G01Q0070140000;Particular materials
G01Q0070160000;Probe manufacture
G01Q0070180000;Functionalisation
G01Q0080000000;Applications, other than SPM, of scanning-probe techniques (manufacture or treatment of micro-structures B81C. manufacture or treatment of nano-structures B82B0003000000. recording or reproducing information using near-field interaction G11B0009120000, G11B0011240000.  or G11B0013080000)
G01Q0090000000;Scanning-probe techniques or apparatus not otherwise provided for
G01R;MEASURING ELECTRIC VARIABLES. MEASURING MAGNETIC VARIABLES (indicating correct tuning of resonant circuits H03J0003120000)
G01R0001000000;Details of instruments or arrangements of the types covered by groups  G01R0005000000-G01R0013000000.  or G01R0031000000. (constructional details particular to electromechanical arrangements for measuring the electric consumption G01R0011020000)
G01R0001020000;General constructional details
G01R0001040000;Housings. Supporting members. Arrangements of terminals
G01R0001060000;Measuring leads. Measuring probes (G01R0019145000, G01R0019165000 take precedence)..
G01R0001067000;Measuring probes
G01R0001070000;Non contact-making probes
G01R0001073000;Multiple probes
G01R0001080000;Pointers. Scales, Scale illumination
G01R0001100000;Arrangements of bearings
G01R0001120000;of strip or wire bearings
G01R0001140000;Braking arrangements. Damping arrangements
G01R0001160000;Magnets
G01R0001180000;Screening arrangements against electric or magnetic fields, e.g. against earth's field
G01R0001200000;Modifications of basic electric elements for use in electric measuring instruments. Structural combinations of such elements with such instruments
G01R0001220000;Tong testers acting as secondary windings of current transformers
G01R0001240000;Transmission-line, e.g. waveguide, measuring sections, e.g. slotted section
G01R0001260000;with linear movement of probe
G01R0001280000;Provision in measuring instruments for reference values, e.g. standard voltage, standard waveform
G01R0001300000;Structural combination of electric measuring instruments with basic electronic circuits, e.g. with amplifier
G01R0001360000;Overload-protection arrangements or circuits for electric measuring instruments
G01R0001380000;Arrangements for altering the indicating characteristic, e.g. by modifying the air gap
G01R0001400000;Modifications of instruments to indicate the maximum or the minimum value reached in a time interval, e.g. by maximum indicator pointer
G01R0001420000;thermally operated
G01R0001440000;Modifications of instruments for temperature compensation
G01R0003000000;Apparatus or processes specially adapted for the manufacture of measuring instruments
G01R0005000000;Instruments for converting a single current or a single voltage into a mechanical displacement
G01R0005020000;Moving-coil instruments
G01R0005040000;with magnet external to the coil
G01R0005060000;with core magnet
G01R0005080000;specially adapted for wide angle deflection. with eccentrically-pivoted moving coil
G01R0005100000;String galvanometers
G01R0005120000;Loop galvanometers
G01R0005140000;Moving-iron instruments
G01R0005160000;with pivoting magnet
G01R0005180000;with pivoting soft iron, e.g. needle galvanometer
G01R0005200000;Induction instruments e.g. Ferraris instruments
G01R0005220000;Thermoelectric instruments
G01R0005240000;operated by elongation of a strip or wire or by expansion of a gas or fluid
G01R0005260000;operated by deformation of a bimetallic element
G01R0005280000;Electrostatic instruments
G01R0005300000;Leaf electrometers
G01R0005320000;Wire electrometers. Needle electrometers
G01R0005340000;Quadrant electrometers
G01R0007000000;Instruments capable of converting two or more currents or voltages into a single mechanical displacement (G01R0009000000 takes precedence)..
G01R0007020000;for forming a sum or a difference
G01R0007040000;for forming a quotient (for measuring resistance G01R0027080000)
G01R0007060000;moving-iron type
G01R0007080000;moving-coil type, e.g. crossed-coil type
G01R0007100000;having more than two moving coils
G01R0007120000;for forming product
G01R0007140000;moving-iron type
G01R0007160000;having both fixed and moving coils, i.e. dynamometers
G01R0007180000;with iron core magnetically coupling fixed and moving coils
G01R0009000000;Instruments employing mechanical resonance
G01R0009020000;Vibration galvanometers, e.g. for measuring current
G01R0009040000;using vibrating reeds, e.g. for measuring frequency
G01R0009060000;magnetically driven
G01R0009080000;piezo-electrically driven
G01R0011000000;Electromechanical arrangements for measuring time integral of electric power or current, e.g. of consumption (monitoring electric consumption of electrically-propelled vehicles B60L0003000000)
G01R0011020000;Constructional details
G01R0011040000;Housings. Supporting racks. Arrangements of terminals
G01R0011060000;Magnetic circuits of induction meters
G01R0011067000;Coils therefor
G01R0011073000;Armatures therefor
G01R0011090000;Disc armatures
G01R0011100000;Braking magnets. Damping arrangements
G01R0011120000;Arrangements of bearings
G01R0011140000;with magnetic relief
G01R0011160000;Adaptations of counters to electricity meters
G01R0011170000;Compensating for errors. Adjusting or regulating means therefor
G01R0011180000;Compensating for variations in ambient conditions
G01R0011185000;Temperature compensation
G01R0011190000;Compensating for errors caused by disturbing torque, e.g. rotating-field errors of polyphase meters
G01R0011200000;Compensating for phase errors in induction meters
G01R0011210000;Compensating for errors caused by damping effects of the current, e.g. adjustment in the overload range
G01R0011220000;Adjusting torque, e.g. adjusting starting torque, adjusting of polyphase meters for obtaining equal torques
G01R0011230000;Compensating for errors caused by friction, e.g. adjustment in the light-load range
G01R0011240000;Arrangements for avoiding or indicating fraudulent use
G01R0011250000;Arrangements for indicating or signalling faults
G01R0011300000;Dynamo-electric motor meters
G01R0011320000;Watt-hour meters
G01R0011340000;Ampère-hour meters
G01R0011360000;Induction meters, e.g. Ferraris meters
G01R0011380000;for single-phase operation
G01R0011400000;for polyphase operation
G01R0011420000;Circuitry therefor
G01R0011460000;Electrically-operated clockwork meters. Oscillatory meters. Pendulum meters
G01R0011480000;Meters specially adapted for measuring real or reactive components. Meters specially adapted for measuring apparent energy
G01R0011500000;for measuring real component
G01R0011520000;for measuring reactive component
G01R0011540000;for measuring simultaneously at least two of the following three variables: real component, reactive component, apparent energy
G01R0011560000;Special tariff meters
G01R0011570000;Multi-rate meters (G01R0011630000 takes precedence)..
G01R0011580000;Tariff-switching devices therefor
G01R0011600000;Subtraction meters. Meters measuring maximum or minimum-load hours
G01R0011630000;Over-consumption meters, e.g. measuring consumption while a predetermined level of power is exceeded
G01R0011640000;Maximum meters, e.g. tariff for a period is based on maximum demand within that period
G01R0011660000;Circuitry
G01R0013000000;Arrangements for displaying electric variables or waveforms
G01R0013020000;for displaying measured electric variables in digital form
G01R0013040000;for producing permanent records
G01R0013060000;Modifications for recording transient disturbances, e.g. by starting or accelerating a recording medium
G01R0013080000;Electromechanical recording system using a mechanical direct-writing method
G01R0013100000;with intermittent recording by representing the variable by the length of a stroke or by the position of a dot
G01R0013120000;Chemical recording, e.g. clydonographs (G01R0013140000 takes precedence)..
G01R0013140000;Recording on a light-sensitive material
G01R0013160000;Recording on a magnetic medium
G01R0013180000;using boundary displacement
G01R0013200000;Cathode-ray oscilloscopes
G01R0013220000;Circuits therefor
G01R0013240000;Time-base deflection circuits
G01R0013260000;Circuits for controlling the intensity of the electron beam
G01R0013280000;Circuits for simultaneous or sequential presentation of more than one variable
G01R0013300000;Circuits for inserting reference markers, e.g. for timing, for calibrating, for frequency marking
G01R0013320000;Circuits for displaying non-recurrent functions such as transients. Circuits for triggering. Circuits for synchronisation. Circuits for time-base expansion
G01R0013340000;Circuits for representing a single waveform by sampling, e.g. for very high frequencies
G01R0013360000;using length of glow discharge, e.g. glowlight oscilloscopes
G01R0013380000;using the steady or oscillatory displacement of a light beam by an electromechanical measuring system
G01R0013400000;using modulation of a light beam otherwise than by mechanical displacement, e.g. by Kerr effect
G01R0013420000;Instruments using length of spark discharge, e.g. by measuring maximum separation of electrodes to produce spark
G01R0015000000;Details of measuring arrangements of the types provided for in groups . G01R0017000000-G01R0029000000, G01R0033000000-G01R0033260000.  or G01R0035000000
G01R0015040000;Voltage dividers
G01R0015060000;having reactive components, e.g. capacitive transformer
G01R0015080000;Circuits for altering the measuring range
G01R0015090000;Autoranging circuits
G01R0015120000;Circuits for multi-testers, e.g. for measuring voltage, current, or impedance at will
G01R0015140000;Adaptations providing voltage or current isolation, e.g. for high-voltage or high-current networks
G01R0015160000;using capacitive devices
G01R0015180000;using inductive devices, e.g. transformers
G01R0015200000;using galvano-magnetic devices, e.g. Hall-effect devices
G01R0015220000;using light-emitting devices, e.g. LED, optocouplers
G01R0015240000;using light-modulating devices
G01R0015260000;using modulation of waves other than light, e.g. radio or acoustic waves
G01R0017000000;Measuring arrangements involving comparison with a reference value, e.g. bridge
G01R0017020000;Arrangements in which the value to be measured is automatically compared with a reference value
G01R0017040000;in which the reference value is continuously or periodically swept over the range of values to be measured
G01R0017060000;Automatic balancing arrangements
G01R0017080000;in which a force or torque representing the measured value is balanced by a force or torque representing the reference value
G01R0017100000;ac or dc measuring bridges
G01R0017120000;using comparison of currents, e.g. bridges with differential current output
G01R0017140000;with indication of measured value by calibrated null indicator, e.g. percent bridge, tolerance bridge (G01R0017120000, G01R0017160000 take precedence)..
G01R0017160000;with discharge tubes or semiconductor devices in one or more arms of the bridge, e.g. voltmeter using a difference amplifier
G01R0017180000;with more than four branches
G01R0017200000;ac or dc potentiometric measuring arrangements
G01R0017220000;with indication of measured value by calibrated null indicator
G01R0019000000;Arrangements for measuring currents or voltages or for indicating presence or sign thereof (G01R0005000000 takes precedence.for measuring bioelectric currents or voltages A61B0005040000)
G01R0019020000;Measuring effective values, i.e. root-mean-square values
G01R0019030000;using thermoconverters
G01R0019040000;Measuring peak values of ac or of pulses
G01R0019060000;Measuring real component. Measuring reactive component
G01R0019080000;Measuring current density
G01R0019100000;Measuring sum, difference, or ratio
G01R0019120000;Measuring rate of change
G01R0019140000;Indicating direction of current. Indicating polarity of voltage
G01R0019145000;Indicating the presence of current or voltage
G01R0019150000;Indicating the presence of current
G01R0019155000;Indicating the presence of voltage
G01R0019165000;Indicating that current or voltage is either above or below a predetermined value or within or outside a predetermined range of values
G01R0019170000;giving an indication of the number of times this occurs
G01R0019175000;Indicating the instants of passage of current or voltage through a given value, e.g. passage through zero
G01R0019180000;using conversion of dc into ac, e.g. with choppers
G01R0019200000;using transductors
G01R0019220000;using conversion of ac into dc
G01R0019250000;using digital measurement techniques
G01R0019252000;using analogue/digital converters of the type with conversion of voltage or current into frequency and measuring of this frequency
G01R0019255000;using analogue/digital converters of the type with counting of pulses during a period of time proportional to voltage or current, delivered by a pulse generator with fixed frequency
G01R0019257000;using analogue/digital converters of the type with comparison of different reference values with the value of voltage or current, e.g. using step-by-step method
G01R0019280000;adapted for measuring in circuits having distributed constants
G01R0019300000;Measuring the maximum or the minimum value of current or voltage reached in a time interval (G01R0019040000 takes precedence)..
G01R0019320000;Compensating for temperature change
G01R0021000000;Arrangements for measuring electric power or power factor (G01R0007120000 takes precedence)..
G01R0021010000;in circuits having distributed constants (G01R0021040000, G01R0021070000, G01R0021090000, G01R0021120000 take precedence)..
G01R0021020000;by thermal methods
G01R0021040000;in circuits having distributed constants
