F01N0003260000;Construction of thermal reactors
F01N0003280000;Construction of catalytic reactors
F01N0003300000;Arrangements for supply of additional air (regulation, e.g. using by-passes or variable air pump drives, F01N0003220000)
F01N0003320000;using air pumps (using jet air pumps F01N0003340000. pumps in general F04)
F01N0003340000;using air conduits or jet air pumps, e.g. near the engine exhaust port
F01N0003360000;Arrangements for supply of additional fuel
F01N0003380000;Arrangements for igniting
F01N0005000000;Exhaust or silencing apparatus combined or associated with devices profiting by exhaust energy (using kinetic or wave energy of exhaust gases in exhaust systems for charging F02B. predominant aspects of such devices, see the relevant classes for the devices).
F01N0005020000;the devices using heat
F01N0005040000;the devices using kinetic energy
F01N0009000000;Electrical control of exhaust gas treating apparatus (monitoring or diagnostic devices for exhaust-gas treatment apparatus F01N0011000000. conjoint electrical control of two or more combustion engine functions F02D0043000000)
F01N0011000000;Monitoring or diagnostic devices for exhaust-gas treatment apparatus
F01N0013000000;Exhaust or silencing apparatus characterised by constructional features
F01N0013020000;having two or more separate silencers in series
F01N0013040000;having two or more silencers in parallel, e.g. having interconnections for multi-cylinder engines
F01N0013060000;specially adapted for star-arrangement of cylinders, e.g. exhaust manifolds
F01N0013080000;Other arrangements or adaptations of exhaust conduits
F01N0013100000;of exhaust manifolds
F01N0013120000;specially adapted for submerged exhausting
F01N0013140000;having thermal insulation
F01N0013160000;Selection of particular materials
F01N0013180000;Construction facilitating manufacture, assembly or disassembly
F01N0013200000;having flared outlets, e.g. of fish-tail shape
F01N0099000000;Subject matter not provided for in other groups of this subclass
F01P;COOLING OF MACHINES OR ENGINES IN GENERAL. COOLING OF INTERNAL-COMBUSTION ENGINES (arrangements in connection with cooling of propulsion units in vehicles B60K0011000000. heat-transfer, heat-exchange or heat-storage materials C09K0005000000. heat-exchange in general, radiators F28)
F01P0001000000;Air cooling. Liquid cooling
F01P0001000000;Air cooling (propelling cooling-air or liquid coolants F01P0005000000. controlling supply or circulation of coolants F01P0007000000)
F01P0001020000;Arrangements for cooling cylinders or cylinder heads, e.g. ducting cooling-air from its pressure source to cylinders or along cylinders
F01P0001040000;Arrangements for cooling pistons
F01P0001060000;Arrangements for cooling other engine or machine parts
F01P0001080000;for cooling intake or exhaust valves
F01P0001100000;for cooling fuel injectors or sparking-plugs
F01P0003000000;Liquid cooling (propelling cooling-air or liquid coolants F01P0005000000. controlling supply or circulation of coolants F01P0007000000)
F01P0003020000;Arrangements for cooling cylinders or cylinder heads
F01P0003040000;Liquid-to-air heat-exchangers combined with, or arranged on, cylinders or cylinder heads
F01P0003060000;Arrangements for cooling pistons
F01P0003080000;Cooling of piston exterior only, e.g. by jets
F01P0003100000;Cooling by flow of coolant through pistons
F01P0003120000;Arrangements for cooling other engine or machine parts
F01P0003140000;for cooling intake or exhaust valves
F01P0003160000;for cooling fuel injectors or sparking-plugs
F01P0003180000;Arrangement or mounting of liquid-to-air heat-exchangers (such arrangements on cylinders or cylinder heads F01P0003040000. relative to vehicles B60K0011040000)
F01P0003200000;Cooling circuits not specific to a single part of engine or machine (F01P0003220000 takes precedence)..
F01P0003220000;characterised by evaporation and condensation of coolant in closed cycles (other cooling by evaporation F01P0009020000). characterised by the coolant reaching higher temperatures than normal atmospheric boiling-point
F01P0005000000;Pumping cooling-air or liquid coolants. Controlling circulation or supply of coolants
F01P0005000000;Pumping cooling-air or liquid coolants (controlling circulation or supply of coolants by influencing drive of pumps F01P0007000000)
F01P0005020000;Pumping cooling-air. Arrangements of cooling-air pumps, e.g. fans or blowers
F01P0005040000;Pump-driving arrangements
F01P0005060000;Guiding or ducting air to or from ducted fans
F01P0005080000;Use of engine exhaust gases for pumping cooling-air
F01P0005100000;Pumping liquid coolant. Arrangements of coolant pumps
F01P0005120000;Pump-driving arrangements
F01P0005140000;Safety means against, or active at, failure of coolant-pump drives, e.g. shutting engine down. Means for indicating functioning of coolant pumps
F01P0007000000;Controlling of coolant flow
F01P0007020000;the coolant being cooling-air
F01P0007040000;by varying pump speed, e.g. by changing pump-drive gear ratio
F01P0007060000;by varying blade pitch
F01P0007080000;by cutting in or out of pumps
F01P0007100000;by throttling amount of air flowing through liquid-to-air heat-exchangers
F01P0007120000;by thermostatic control
F01P0007140000;the coolant being liquid
F01P0007160000;by thermostatic control
F01P0009000000;Cooling having pertinent characteristics not provided for in, or of interest apart from, groups  F01P0001000000-F01P0007000000. (profiting from waste heat of combustion-engine cooling F02G0005000000)
F01P0009020000;Cooling by evaporation, e.g. by spraying water on to cylinders (evaporation and condensation of liquid coolant in closed cycles F01P0003220000)
F01P0009040000;by simultaneous or alternative use of direct air cooling and liquid cooling (F01P0009020000 takes precedence)..
F01P0009060000;by use of refrigerating apparatus, e.g. of compressor or absorber type
F01P0011000000;Component parts, details, or accessories, not provided for in, or of interest apart from, groups . F01P0001000000-F01P0009000000
F01P0011020000;Liquid-coolant overflow, venting, or draining devices (automatic draining during freezing conditions F01P0011200000)
F01P0011040000;Arrangements of liquid pipes or hoses
F01P0011060000;Cleaning (in general B08B). Combating corrosion (in general C23F)
F01P0011080000;Arrangements of lubricant coolers (in lubrication apparatus F01M)
F01P0011100000;Guiding or ducting cooling-air to or from liquid-to-air heat-exchangers
F01P0011120000;Filtering, cooling, or silencing cooling-air
F01P0011140000;Indicating devices. Other safety devices
F01P0011160000;concerning coolant temperature (F01P0011200000 takes precedence)..
F01P0011180000;concerning coolant pressure, coolant flow, or liquid-coolant level
F01P0011200000;concerning atmospheric freezing conditions, e.g. automatically draining or heating during frosty weather
F02;COMBUSTION ENGINES. HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS
F02B;INTERNAL-COMBUSTION PISTON ENGINES. COMBUSTION ENGINES IN GENERAL (cyclically operating valves therefor F01L. lubricating internal-combustion engines F01M. gas-flow silencers or exhaust apparatus therefor F01N. cooling of internal-combustion engines F01P. internal-combustion turbines F02C. plants in which engines use combustion products F02C, F02G)
F02B0001000000;Engines characterised by the working fluid to be compressed or characterised by the type of ignition
F02B0001000000;Engines characterised by fuel-air mixture compression (characterised by both fuel-air mixture compression and air compression, or characterised by both positive ignition and compression ignition F02B0011000000. characterised by precombustion chambers F02B0019000000. characterised by air-storage chambers F02B0021000000. characterised by special shape or construction of combustion chambers F02B0023000000)
F02B0001020000;with positive ignition (with non-timed positive ignition F02B0009060000)
F02B0001040000;with fuel-air mixture admission into cylinder
F02B0001060000;Methods of operating
F02B0001080000;with separate admission of air and fuel into cylinder
F02B0001100000;Methods of operating
F02B0001120000;with compression ignition (with fuel-air charge ignited by compression ignition of an additional fuel F02B0007000000)
F02B0001140000;Methods of operating
F02B0003000000;Engines characterised by air compression andsubsequent fuel addition(characterised by bothfuel-air mixture compression and.air compression, or characterised by both.positive ignition and.compression ignition F02B0011000000. characterised byprecombustion chambers F02B0019000000. characterised byair-storage chambers F02B0021000000. characterised byspecial shape or construction of combustion chambers F02B0023000000)
F02B0003020000;with positive ignition (with non-timed positive ignition F02B0009060000)
F02B0003040000;Methods of operating
F02B0003060000;with compression ignition (F02B0013020000 takes precedence.with fuel-air charge ignited by compression ignition of an additional fuel F02B0007000000)
F02B0003080000;Methods of operating (F02B0003120000 takes precedence)..
F02B0003100000;with intermittent fuel introduction
F02B0003120000;Methods of operating
F02B0005000000;Engines characterised bypositive ignition(F02B0001020000, F02B0003020000. take precedence.with non-timed positive ignition F02B0009060000. characterised by bothfuel-air mixture compression andair compression, or characterised by bothpositive ignition andcompression ignition F02B0011000000. characterised byprecombustion chambers F02B0019000000. characterised byair-storage chambers F02B0021000000. characterised byspecial shape or construction of combustion chambers F02B0023000000)
F02B0005020000;Methods of operating
F02B0007000000;Engines characterised by thefuel-air charge being ignited by compression ignition of an additional fuel(characterised by bothfuel-air mixture compression and.air compression, or characterised by both.positive ignition and.compression ignition F02B0011000000. characterised byprecombustion chambers F02B0019000000. characterised byair-storage chambers F02B0021000000. characterised byspecial shape or construction of combustion chambers F02B0023000000)
F02B0007020000;the fuel in the charge being liquid
F02B0007040000;Methods of operating
F02B0007060000;the fuel in the charge being gaseous
F02B0007080000;Methods of operating
F02B0009000000;Engines characterised by other types of ignition (characterised by bothfuel-air mixture compression and.air compression, or characterised by both.positive ignition and.compression ignition F02B0011000000. characterised byprecombustion chambers F02B0019000000. characterised by air-storage chambers F02B0021000000. characterised byspecial shape or construction of combustion chambers F02B0023000000)
F02B0009020000;with compression ignition (F02B0001120000, F02B0003060000 take precedence)..
F02B0009040000;Methods of operating
F02B0009060000;with non-timed positive ignition, e.g. with hot-spots
F02B0009080000;with incandescent chambers
F02B0009100000;Chamber shapes or constructions
F02B0011000000;Engines characterised by bothfuel-air mixture compression andair compression, orcharacterised bybothpositive ignition andcompression ignition, e.g. in different cylinders(characterised byprecombustion chambers F02B0019000000. characterised byair-storage chambers F02B0021000000. characterised byspecial shape or construction of combustion chambers F02B0023000000)
F02B0011020000;convertible from fuel-air mixture compression to air compression or . vice versa
F02B0013000000;Engines characterised by the method of introducing liquid fuel into cylinders
F02B0013000000;Engines. characterised by theintroduction of liquid fuel into cylinders by use of auxiliary fluid
F02B0013020000;Compression ignition engines using air or gas for blowing fuel into compressed air in cylinder
F02B0013040000;Arrangements or adaptations of pumps
F02B0013060000;Engines having secondary air mixed with fuel in pump, compressed therein without ignition, and fuel-air mixture being injected into air in cylinder
F02B0013080000;Arrangements or adaptations of pumps
F02B0013100000;Use of specific auxiliary fluids, e.g. steam, combustion gas
F02B0015000000;Engines characterised by the method of introducing liquid fuel into cylinders and not otherwise provided for
F02B0015020000;having means for sucking fuel directly into cylinder
F02B0017000000;Engines characterised by means for effecting stratification of charge in cylinders
F02B0019000000;Engines characterised by. precombustion chambers or air-storage chambers, or characterised by special shape or construction of combustion chambers to improve operation
F02B0019000000;Engines characterised byprecombustion chambers(engines with incandescent chambers F02B0009080000)
F02B0019020000;the chamber being periodically isolated from its cylinder
F02B0019040000;the isolation being effected by a protuberance on piston or cylinder head
F02B0019060000;with auxiliary piston in chamber for transferring ignited charge to cylinder space
F02B0019080000;the chamber being of air-swirl type
F02B0019100000;with fuel introduced partly into pre-combustion chamber, and partly into cylinder (F02B0019020000-F02B0019080000.  take precedence)..
F02B0019120000;with positive ignition (F02B0019020000-F02B0019100000.  take precedence)..
F02B0019140000;with compression ignition (F02B0019020000-F02B0019100000.  take precedence)..
F02B0019160000;Chamber shapes or constructions not specific to groups . F02B0019020000-F02B0019100000
F02B0019180000;Transfer passages between chamber and cylinder
F02B0021000000;Engines characterised by. air-storage chambers
F02B0021020000;Chamber shapes or constructions
F02B0023000000;Other engines characterised byspecial shape or construction of combustion chambers to improve operation(engines with incandescent chambers F02B0009080000)
F02B0023020000;with compression ignition
F02B0023040000;the combustion space being subdivided into two or more chambers (with pre-combustion chambers F02B0019000000)
F02B0023060000;the combustion space being arranged in working piston (F02B0023040000 takes precedence)..
F02B0023080000;with positive ignition
F02B0023100000;with separate admission of air and fuel into cylinder
F02B0025000000;Engines characterised by provision for charging or scavenging
F02B0025000000;Engines characterised by using fresh charge for scavenging cylinders (aspectscharacterised by provision of.driven charging or scavenging pumps F02B0033000000-F02B0039000000)
F02B0025020000;using unidirectional scavenging
F02B0025040000;Engines having ports both in cylinder head and in cylinder wall near bottom of piston stroke
F02B0025060000;the cylinder-head ports being controlled by working pistons, e.g. by sleeve-shaped extensions thereof
F02B0025080000;Engines with oppositely-moving reciprocating working pistons
F02B0025100000;with one piston having a smaller diameter or shorter stroke than the other
F02B0025120000;Engines with U-shaped cylinders, having ports in each arm
F02B0025140000;using reverse-flow scavenging, e.g. with both inlet and outlet ports arranged near bottom of piston stroke
F02B0025160000;the charge flowing upward essentially along cylinder wall opposite the inlet ports
F02B0025180000;the charge flowing upward essentially along cylinder wall adjacent the inlet ports, e.g. by means of deflection rib on piston
F02B0025200000;Means for reducing the mixing of charge and combustion residues or for preventing escape of fresh charge through outlet ports, not provided for in, or of interest apart from, groups . F02B0025020000-F02B0025180000
F02B0025220000;by forming air cushion between charge and combustion residues
F02B0025240000;Inlet or outlet openings being timed asymmetrically relative to bottom dead-centre
F02B0025260000;Multi-cylinder engines other than those provided for in, or of interest apart from, groups  F02B0025020000-F02B0025240000. (internal-combustion aspects of rotary engines with movable cylinders F02B0057000000)
F02B0025280000;with V-, fan-, or star-arrangement of cylinders
F02B0027000000;Use of kinetic or wave energy of charge in induction systems, or of combustion residues in exhaust systems, for improving quantity of charge or for increasing removal of combustion residues (aspectscharacterised by provision of driven charging or scavenging pumps F02B0033000000-F02B0039000000, e.g. use of driven apparatus for immediate conversion of combustion gas pressure into pressure of fresh charge F02B0033420000)
F02B0027020000;the systems having variable, i.e. adjustable, cross-sectional areas, chambers of variable volume, or like variable means (in exhaust systems only F02B0027060000)
F02B0027040000;in exhaust systems only, e.g. for sucking-off combustion gases
F02B0027060000;the systems having variable, i.e. adjustable, cross-sectional areas, chambers of variable volume, or like variable means
F02B0029000000;Engines characterised by. provision for charging or scavenging not provided for in groupsF02B0025000000,F02B0027000000.  or F02B0033000000-F02B0039000000. Details thereof
F02B0029020000;Other fluid-dynamic features of induction systems for improving quantity of charge (for also imparting a rotation to the charge in the cylinder F02B0031000000. structural features of induction systems F02M)
F02B0029040000;Cooling of air intake supply
F02B0029060000;After-charging, i.e. supplementary charging after scavenging
F02B0029080000;Modifying distribution valve timing for charging purposes (F02B0029060000 takes precedence.valve-gear therefor F01L)
F02B0031000000;Modifying induction systems for imparting a rotation to the charge in the cylinder (structural features of induction systems F02M)
F02B0031020000;in engines having inlet valves arranged eccentrically to cylinder axis (F02B0031080000 takes precedence)..
F02B0031040000;by means within the induction channel, e.g. deflectors
F02B0031060000;Movable means, e.g. butterfly valves
F02B0031080000;having multiple air inlets
F02B0033000000;Engines characterised by provision of driven charging or scavenging pumps
F02B0033000000;Engines characterised by provision ofpumps for charging or scavenging(characterised by the introduction of liquid fuel into cylinders by use of auxiliary fluid F02B0013000000. characterised by after-charging F02B0029060000. characterised by provisionof pumps for sucking combustion residues from cylinders F02B0035000000. characterised by provision ofexhaust-driven pumps F02B0037000000)
F02B0033020000;Engines with reciprocating-piston pumps. Engines with crankcase pumps
F02B0033040000;with simple crankcase pumps, i.e. with the rear face of a non-stepped working piston acting as sole pumping member in co-operation with the crankcase
F02B0033060000;with reciprocating-piston pumps other than simple crankcase pumps
F02B0033080000;with the working-cylinder head arranged between working and pumping cylinders
F02B0033100000;with the pumping cylinder situated between working cylinder and crankcase, or with the pumping cylinder surrounding working cylinder
F02B0033120000;the rear face of working piston acting as pumping member and co-operating with a pumping chamber isolated from crankcase, the connecting-rod passing through the chamber and co-operating with movable isolating member
F02B0033140000;working and pumping pistons forming stepped piston
F02B0033160000;working and pumping pistons having differing movements
F02B0033180000;with crankshaft being arranged between working and pumping cylinders
F02B0033200000;with pumping-cylinder axis arranged at an angle to working-cylinder axis, e.g. at an angle of 90
F02B0033220000;with pumping cylinder situated at side of working cylinder, e.g. the cylinders being parallel
F02B0033240000;with crankcase pumps other than with reciprocating pistons only
F02B0033260000;Four-stroke engines characterised by having crankcase pumps
F02B0033280000;Component parts, details, or accessories of crankcase pumps not provided for in, or of interest apart from, groups . F02B0033020000-F02B0033260000
F02B0033300000;Control of inlet or outlet ports (controlling only working-cylinder inlets F01L)
F02B0033320000;Engines with pumps other than of reciprocating-piston type (with crankcase pumps F02B0033020000)
F02B0033340000;with rotary pumps (with cell-type pressure exchangers or the like F02B0033420000)
F02B0033360000;of positive-displacement type
F02B0033380000;of Roots type
F02B0033400000;of non-positive-displacement type
F02B0033420000;with driven apparatus for immediate conversion of combustion gas pressure into pressure of fresh charge, e.g. with cell-type pressure exchangers (pressure exchangers per seF04F0013000000)
F02B0033440000;Passages conducting the charge from the pump to the engine inlet, e.g. reservoirs (cooling of charge after leaving pump F02B0029040000)
F02B0035000000;Engines characterised by provision of. pumps for sucking combustion residues from cylinders
F02B0035020000;using rotary pumps
F02B0037000000;Engines characterised by provision of pumps driven at least for part of the time by exhaust(characterised by the introduction of liquid fuel into cylinders by use of auxiliary fluid F02B0013000000. characterised by after-charging F02B0029060000. characterised by passages conducting the charge from the pump to the engine inlet F02B0033440000)
F02B0037007000;with exhaust-driven pumps arranged in parallel
F02B0037013000;with exhaust-driven pumps arranged in series
F02B0037020000;Gas passages between engine outlet and pump drive, e.g. reservoirs
F02B0037040000;Engines with exhaust drive and other drive of pumps, e.g. with exhaust-driven pump and mechanically-driven second pump
F02B0037100000;at least one pump being alternately driven by exhaust and other drive
F02B0037110000;driven by other drive at starting only
F02B0037120000;Control of the pumps
F02B0037140000;of the alternation between exhaust drive and other drive of a pump, e.g. dependent on speed
F02B0037160000;by bypassing charging air
F02B0037180000;by bypassing exhaust
F02B0037200000;by increasing exhaust energy, e.g. using combustion chambers
F02B0037220000;by varying the cross-section of exhaust passages or air passages
F02B0037240000;by using pumps or turbines with adjustable guide vanes
F02B0039000000;Component parts, details, or accessories relating to driven charging or scavenging pumps,. not provided for in groups F02B0033000000-F02B0037000000
F02B0039020000;Drives of pumps (exhaust drives or combined exhaust and other drives F02B0037000000). Varying pump drive gear ratio (control acting both on engine and on pump drive gear ratio F02D)
F02B0039040000;Mechanical drives. Variable-gear-ratio drives (non-mechanical pump drives having variable gear ratio F02B0039080000)
F02B0039060000;the engine torque being divided by a differential gear for driving a pump and the engine output shaft
F02B0039080000;Non-mechanical drives, e.g. fluid drives having variable gear ratio
F02B0039100000;electric
F02B0039120000;Drives characterised by use of couplings or clutches therein (using fluid slip couplings for varying gear ratio F02B0039080000)
F02B0039140000;Lubrication of pumps. Safety measures therefor
F02B0039160000;Other safety measures for, or other control of, pumps
F02B0041000000;Engines characterised by special means for improving conversion of heat or pressure energy into mechanical power
F02B0041020000;Engines with prolonged expansion
F02B0041040000;in main cylinders
F02B0041060000;in compound cylinders
F02B0041080000;Two-stroke compound engines
F02B0041100000;using exhaust turbines (use of exhaust turbines for charging F02B0037000000. turbine constructions F01D. gas-turbine plants F02C)
F02B0043000000;Engines operating on non-liquid fuels. Plants including such engines, i.e. combinations of the engine with fuel-generating apparatus
F02B0043000000;Engines characterised by operating on gaseous fuels. Plants including such engines (engines characterised by the gas-air charge being ignited by compression ignition of an additional fuel F02B0007060000. engines convertible from gas to other fuel consumption F02B0069040000)
F02B0043020000;Engines characterised by means for increasing operating efficiency
F02B0043040000;for improving efficiency of combustion
F02B0043060000;for enlarging charge
F02B0043080000;Plants characterised by the engines using gaseous fuel generated in the plant from solid fuel, e.g. wood
F02B0043100000;Engines or plants characterised by use of other specific gases, e.g. acetylene, oxyhydrogen
F02B0043120000;Methods of operating
F02B0045000000;Engines characterised by operating on non-liquid fuels other than gas. Plants including such engines (plants involving generation of gaseous fuel from solid fuel F02B0043080000. engines convertible from gas to other fuel consumption F02B0069040000)
F02B0045020000;operating on powdered fuel, e.g. powdered coal (operating on fuel containing oxidant F02B0045060000)
F02B0045040000;Plants, e.g. having coal-grinding apparatus
F02B0045060000;operating on fuel containing oxidant
F02B0045080000;operating on other solid fuels
F02B0045100000;operating on mixtures of liquid and non-liquid fuels, e.g. in pasty or foamed state
F02B0047000000;Methods of operating engines involving specific pre-treating of, or adding specific substances to, combustion air, fuel or fuel-air mixture of the engines, and not otherwise provided for
F02B0047000000;Methods of operating engines involving adding non-fuel substances or anti-knock agents to combustion air, fuel, or fuel-air mixtures of engines
F02B0047020000;the substances being water or steam
F02B0047040000;the substances being other than water or steam only
F02B0047060000;the substances including non-airborne oxygen (F02B0047100000 takes precedence)..
F02B0047080000;the substances including exhaust gas
F02B0047100000;Circulation of exhaust gas in closed or semi-closed circuits, e.g. with simultaneous addition of oxygen
F02B0049000000;Methods of operating air-compressing compression-ignition engines involving introduction of small quantities of fuel in the form of a fine mist into the air in the engine's intake
F02B0051000000;Other methods of operating engines involving pre-treating of, or adding substances to, combustion air, fuel, or fuel-air mixture of the engines
F02B0051020000;involving catalysts
F02B0051040000;involving electricity or magnetism
F02B0051060000;involving rays or sound waves
F02B0053000000;Internal-combustion aspects of rotary-piston or oscillating-piston engines
F02B0053000000;Internal-combustion aspects of rotary-piston or oscillating-piston engines (internal-combustion aspects of rotary pistons or outer members for co-operation therewith F02B0055000000)
F02B0053020000;Methods of operating
F02B0053040000;Charge admission or combustion-gas discharge
F02B0053060000;Valve control therefor
F02B0053080000;Charging, e.g. by means of rotary-piston pump
F02B0053100000;Fuel supply. Introducing fuel to combustion space
F02B0053120000;Ignition
F02B0053140000;Adaptations of engines for driving, or engine combinations with, other devices (aspects predominantly concerning such devices, see the relevant classes for the devices)..
F02B0055000000;Internal-combustion aspects of rotary pistons. Outer members for co-operation with rotary pistons
F02B0055020000;Pistons
F02B0055040000;Cooling thereof
F02B0055060000;by air or other gas
F02B0055080000;Outer members for co-operation with rotary pistons. Casings
F02B0055100000;Cooling thereof
F02B0055120000;by air or other gas
F02B0055140000;Shapes or constructions of combustion chambers
F02B0055160000;Admission or exhaust passages in pistons or outer members
F02B0057000000;Internal-combustion aspects of reciprocating-piston engines with movable cylinders
F02B0057000000;Internal-combustion aspects of rotary engines in which the combusted gases displace one or more reciprocating pistons
F02B0057020000;Fuel or combustion-air supply (cylinder-charge admission or exhaust control F02B0057040000)
F02B0057040000;Control of cylinder-charge admission or exhaust (peculiar to two-stroke engines or to other engines with working-piston-controlled charge admission or exhaust F02B0057060000)
F02B0057060000;Two-stroke engines or other engines with working-piston-controlled cylinder-charge admission or exhaust (with combustion space in centre of star F02B0057100000)
F02B0057080000;Engines with star-shaped cylinder arrangements
F02B0057100000;with combustion space in centre of star
F02B0059000000;Internal-combustion aspects of other reciprocating-piston engines with movable, e.g. oscillating, cylinders (with yieldable walls F02B0075380000)
F02B0061000000;Adaptations of engines for special use. Combinations of engines with devices other than engine parts or auxiliaries
F02B0061000000;Adaptations of engines for driving vehicles or for driving propellers. Combinations of engines with gearing (the engine torque being divided by a differential gear for driving a scavenging or charging pump and the engine output shaft F02B0039060000. adaptations or combinations of rotary-piston or oscillating-piston engines F02B0053140000)
F02B0061020000;for driving cycles
F02B0061040000;for driving propellers
F02B0061060000;Combinations of engines with mechanical gearing (F02B0061020000, F02B0061040000 take precedence)..
F02B0063000000;Adaptations of engines for driving pumps, hand-held tools or. electric generatorsPortable combinations of engines with engine-driven devices (of rotary-piston or oscillating-piston engines F02B0053140000)
F02B0063020000;for hand-held tools
F02B0063040000;for electric generators
F02B0063060000;for pumps
F02B0065000000;Adaptations of engines for. special uses not provided for in groups F02B0061000000.  or F02B0063000000. Combinations of engines with other devices, e.g. with non-driven apparatus (of rotary-piston or oscillating-piston enginesF02B0053140000. combinations of prime-movers consisting of electric motors and internal combustion engines for mutual or common propulsion B60K0006200000)
F02B0067000000;Engines with pertinent characteristics other than those provided for in, or of interest apart from, preceding main groups
F02B0067000000;Engines characterised by the arrangement of auxiliary apparatus not being otherwise provided for, e.g. the apparatus having different functions. Driving auxiliary apparatus from engines, not otherwise provided for
F02B0067040000;of mechanically-driven auxiliary apparatus
F02B0067060000;driven by means of chains, belts, or like endless members
F02B0067080000;of non-mechanically driven auxiliary apparatus
F02B0067100000;of charging or scavenging apparatus
F02B0069000000;Internal-combustion engines convertible into other combustion-engine type, not provided for in group . F02B0011000000. Internal-combustion engines of different types characterised by constructions facilitating use of same main engine-parts in different types
F02B0069020000;for different fuel types, other than engines indifferent to fuel consumed, e.g. convertible from light to heavy fuel
F02B0069040000;for gaseous and non-gaseous fuels
F02B0069060000;for different cycles, e.g. convertible from two-stroke to four-stroke
F02B0071000000;Free-piston engines. Engines without rotary main shaft
F02B0071020000;Starting
F02B0071040000;Adaptations of such engines for special use. Combinations of such engines with apparatus driven thereby (aspects predominantly concerning driven apparatus, see the relevant classes for such apparatus)..
F02B0071060000;Free-piston combustion gas generators
F02B0073000000;Combinations of two or more engines, not otherwise provided for
F02B0075000000;Other engines, e.g. single-cylinder engines
F02B0075020000;Engines characterised by their cycles, e.g. six-stroke
F02B0075040000;Engines with variable distances between pistons at top dead-centre positions and cylinder heads
F02B0075060000;Engines with means for equalising torque (compensations of inertial forces, suppression of vibration in systems F16F)
F02B0075080000;Engines with means for preventing corrosion in gas-swept spaces
F02B0075100000;Engines with means for rendering exhaust gases innocuous (apparatus for rendering exhaust gases innocuous per seF01N0003080000)
F02B0075120000;Other methods of operation
F02B0075160000;Engines characterised by number of cylinders, e.g. single-cylinder engines (F02B0075260000 takes precedence)..
F02B0075180000;Multi-cylinder engines (scavenging aspects F02B0025000000)
F02B0075200000;with cylinders all in one line
F02B0075220000;with cylinders in V-, fan-, or star-arrangement
F02B0075240000;"with cylinders arranged oppositely relative to main shaft and of ""flat"" type"
F02B0075260000;Engines with cylinder axes coaxial with, or parallel or inclined to, main-shaft axis. Engines with cylinder axes arranged substantially tangentially to a circle centred on main-shaft axis
F02B0075280000;Engines with two or more pistons reciprocating within same cylinder or within essentially coaxial cylinders (arranged oppositely relative to main shaft F02B0075240000)
F02B0075300000;with one working piston sliding inside another
F02B0075320000;Engines characterised by connections between pistons and main shafts and not specific to preceding main groups
F02B0075340000;Ultra-small engines, e.g. for driving models
F02B0075360000;Engines with parts of combustion- or working-chamber walls resiliently yielding under pressure
F02B0075380000;Reciprocating-piston engines (F02B0075040000 takes precedence.with resiliently-urged auxiliary piston in pre-combustion chamber F02B0019060000)
F02B0075400000;Other reciprocating-piston engines
F02B0077000000;Component parts, details, or accessories, not otherwise provided for
F02B0077020000;Surface coverings of combustion-gas-swept parts (of pistons or cylinders only F02F)
F02B0077040000;Cleaning of, preventing corrosion or erosion in, or preventing unwanted deposits in, combustion engines
F02B0077080000;Safety, indicating, or supervising devices (thermal insulation F02B0077110000. monitoring or diagnostic devices for exhaust-gas treatment apparatus F01N0011000000)
F02B0077100000;Safety means relating to crankcase explosions
F02B0077110000;Thermal or acoustic insulation
F02B0077130000;Acoustic insulation
F02B0077140000;Engine-driven auxiliary devices combined into units
F02B0079000000;Running-in of internal-combustion engines (lubrication thereof F01M)
F02C;GAS-TURBINE PLANTS. AIR INTAKES FOR JET-PROPULSION PLANTS. CONTROLLING FUEL SUPPLY IN AIR-BREATHING JET-PROPULSION PLANTS (construction of turbines F01D. jet-propulsion plants F02K. construction of compressors or fans F04. combustion apparatus in which combustion takes place in a fluidised bed of fuel or other particles F23C0010000000. generating combustion products of high pressure or high velocity F23R. using gas turbines in compression refrigeration plants F25B0011000000. using gas-turbine plants in vehicles, see the relevant vehicle classes).
F02C0001000000;Gas-turbine plants characterised by the use of hot gases or unheated pressurised gases, as the working fluid (by the use of combustion products F02C0003000000, F02C0005000000)
F02C0001020000;the working fluid being an unheated pressurised gas
F02C0001040000;the working fluid being heated indirectly
F02C0001050000;characterised by the type or source of heat, e.g. using nuclear or solar energy
F02C0001060000;using reheated exhaust gas (F02C0001080000 takes precedence)..
F02C0001080000;Semi-closed cycles
F02C0001100000;Closed cycles
F02C0003000000;Gas-turbine plants characterised by the use of combustion products as the working fluid (generated by intermittent combustion F02C0005000000)
F02C0003020000;using exhaust-gas pressure in a pressure exchanger to compress combustion-air (pressure exchangers per seF04F0013000000)
F02C0003040000;having a turbine driving a compressor (power transmission arrangements F02C0007360000. control of working fluid flow F02C0009160000)
F02C0003045000;having compressor and turbine passages in a single rotor (F02C0003073000 takes precedence)..
F02C0003050000;the compressor and the turbine being of the radial flow type
F02C0003055000;the compressor being of the positive-displacement type
F02C0003060000;the compressor comprising only axial stages (F02C0003100000 takes precedence)..
F02C0003067000;having counter-rotating rotors (F02C0003073000 takes precedence)..
F02C0003073000;the compressor and turbine stages being concentric
F02C0003080000;the compressor comprising at least one radial stage (F02C0003100000 takes precedence)..
F02C0003090000;of the centripetal type
F02C0003100000;with another turbine driving an output shaft but not driving the compressor
F02C0003107000;with two or more rotors connected by power transmission
